key	text	tooltip
#Loc;1;text/db/advice_info_texts.loc		
advice_info_texts_localised_text_Att.Pro.Olbia.Info.040	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Біг:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.140	[[url:/units]]Війська дальнього бою:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.041	Щоб змусити вибраний загін бігти, двічі клацніть правою кнопкою миші по пункту призначення.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.141	Автоматично стріляють у віддаленого противника.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.042	Утримуйте пробіл, щоб побачити пункт призначення загону.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.142	При наведенні курсора відображається траєкторія пострілу.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.043	Щоб змінити швидкість обраних загонів, клацніть на [[url:script_link_run_button]]кнопці «Біг»[[/url]] або натисніть клавішу R.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.143	Як правило, вразливі в ближньому бою.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.050	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Атака:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.051	Щоб наказати обраному загону піти в атаку, клацніть по ворогу правою кнопкою миші.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.052	Двічі клацніть правою кнопкою миші по ворожих загонах, щоб відправити свої війська в атаку.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.053	Щоб вказати точні позиції для обраних загонів, клацніть ПКМ по побудові і перетягніть його на мапу.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.060	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Захід з флангу:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.061	Найефективніше воїни борються з противником, що знаходиться прямо перед ними.	true
