key	text	tooltip
#Loc;1;text/db/advice_levels.loc		
advice_levels_onscreen_text_2139664523	Противник взяв гору. Треба відступити і перегрупуватися.	true
advice_levels_onscreen_text_2139665423	Вождь, не забувай: допомога і поради доступні в бою. Навчися користуватися ними.	true
advice_levels_onscreen_text_2139663222	Вірність характеризує ставлення персонажа до правлячої партії своєї фракції. До її збільшення призводять деякі політичні дії, а також навички, позитивні особливості та оточення персонажа. Негативні особливості та неприємні події можуть зменшити вірність. Якщо вона впаде до нуля, персонаж почне громадянську війну і може схилити до зради інших ваших підданих.	true
advice_levels_onscreen_text_2139664922	Вирішивши розділити Рим, останній імператор Феодосій довірив вам східну частину імперії. Зараз вона в небезпеці: з північного сходу наближаються орди гунів, від яких тікають навіть найлютіші варвари. Зігнані з насиджених місць вестготи та інші подібні племена пройдуть через ваші землі; не дозволяйте їм завдати шкоди своєму народу! Погляньте і на південний схід: держава Сасанідів досить сильна, щоб зазіхнути на східні землі. На заході поки спокійно, але Західна Римська імперія ледь стримує варварів на своїх кордонах. Можливо, вам вдасться приєднати її і відродити Рим у всій красі колишньої слави!	true
advice_levels_onscreen_text_2139665222	Звістка про напад римлян відправлена нашій кавалерії. Вона скоро повернеться на поле бою. Нам потрібно протриматися до її прибуття!	true
advice_levels_onscreen_text_2139665922	Велісарій поранений, його забрали з поля бою! Втрата полководця нам дорого обійдеться!	true
advice_levels_onscreen_text_2139666022	Тим часом зі сходу до ваших берегів вже придивляються жадібні і кровожерливі вікінги-дани. Будьте насторожі!	true
advice_levels_onscreen_text_1387459530	Обхідний маневр теж може скути ворога. Вишліть потужні бойові порядки противнику в фланг замість того, щоб атакувати в лоб. Тоді противнику доведеться розгорнути фронт, підставивши фланги вашим загонам, які спочатку стояли по центру.	true
advice_levels_onscreen_text_2139658422	Якщо ваша партія стане занадто могутньою, недовіра інших рано чи пізно призведе до боротьби за владу над вашою фракцією. Почнеться [[url:/manual/page/single-player/0037_enc_page_campaign_play_faction_politics#enc_text_politics_civil_war]]громадянська війна[[/url]]: інші партії об'єднаються, щоб захопити столицю і повалити ваш режим. Якщо ж вас вважатимуть занадто слабким правителем, то можуть оголосити ворогом держави і відправити у вигнання.	true
advice_levels_onscreen_text_2139664021	Ми розбиті! Відходимо в місто! Сподіваюся, вороги будуть до нас милосердні!	true
advice_levels_onscreen_text_2139664621	Вождь, вороги напали на наші землі!	true
advice_levels_onscreen_text_2139665021	Язичники встояли! Господи, за що ти залишив нас?!	true
advice_levels_onscreen_text_2139665521	З роками ваші придворні набираються досвіду і мудрості. Слідкуйте за їх розвитком.	true
advice_levels_onscreen_text_2139665621	Щоб наказати стрілецькому загону вступити в рукопашний бій, виберіть цей загін, а потім клацніть по противнику правою кнопкою миші, утримуючи натиснутою клавішу Alt.	true
advice_levels_onscreen_text_1170317847	Загони, що наступають щільним строєм, найкраща мішень для ваших стрільців. Зруйнуйте їх градом стріл, списів і каменів!	true
advice_levels_onscreen_text_2139664620	Вандали перекрили дорогу. В атаку!	true
