key	text	tooltip
#Loc;1;text/db/agent_string_subculture_overrides.loc		
agent_string_subculture_overrides_description_override_87	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_89	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_95	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_67	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_61	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_63	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_71	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_79	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_46	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_48	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_58	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_21	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_37	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_30	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_10	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_18	За кожним великим чоловіком стоїть велика жінка.	true
agent_string_subculture_overrides_description_override_192	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_592	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_792	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_291	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
agent_string_subculture_overrides_description_override_391	Захисник своєї віри і натхненник людей чиї слова можуть з легкістю деморалізувати людину або збити її з істинного шляху.	true
