key	text	tooltip
#Loc;1;text/db/building_culture_variants.loc		
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_4	Рибати	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_4	Міська фортеця	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_2	Казарми ополчення	true
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_1	Міські казарми	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_3	Гарнізонні казарми бейлика	true
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_2	Казарми ополчення	true
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_3	Еміратські гарн. казарми	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_1	Міські казарми	true
building_culture_variants_name_mk_bld_easkingdoms_agriculture_sheep_2	Овеча отара	true
building_culture_variants_name_mk_bld_easkingdoms_agriculture_sheep_3	Прядильна хатина	true
building_culture_variants_name_mk_bld_afrkingdoms_agriculture_goats_4	Козяча ферма	true
building_culture_variants_name_mk_bld_afrkingdoms_agriculture_goats_3	Загони для кіз	true
building_culture_variants_name_mk_bld_afrkingdoms_agriculture_goats_2	Стадо кіз	true
building_culture_variants_name_mk_bld_easkingdoms_agriculture_sheep_4	Овеча ферма	true
building_culture_variants_name_mk_bld_ibekingdoms_military_barracks_2	Придворні казарми	true
building_culture_variants_name_mk_bld_ibekingdoms_military_barracks_3	Королівські казарми	true
building_culture_variants_name_att_bld_all_resources_port_generic_1mk_fact_rebels_italians	Причал	true
building_culture_variants_name_mk_bld_ibekingdoms_military_barracks_1	Тренувальний майданчик	true
building_culture_variants_name_att_bld_barbmigs_community_storage_2	Фургони-сховища	true
building_culture_variants_name_att_bld_barbmigs_community_storage_3	Яма-комора	true
building_culture_variants_name_att_bld_barbmigs_community_storage_4	Підземні схованки	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_3mk_fact_teutonicorder	Католицький монастир	true
building_culture_variants_name_bel_bld_camp_camp_2	Постійний табір	true
building_culture_variants_name_bel_bld_camp_camp_3	Військовий табір	true
building_culture_variants_name_att_bld_all_resources_port_trade_3mk_fact_zagwe	Порт	true
building_culture_variants_name_bel_bld_camp_camp_1	Похідний табір	true
building_culture_variants_name_bel_bld_camp_camp_4	Військове містечко	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_4	Колодязь-поховання	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_3	Осуарій	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_2	Вежа мовчання	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_1	Похоронна платформа	true
building_culture_variants_name_mk_bld_mookingdoms_industry_minor_4	Будинок килимаря	true
building_culture_variants_name_bel_bld_all_industry_major_generic_1	Майстерні	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_1mk_fact_separatists_hungary	Католицький пріорат	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_2mk_fact_separatists_hungary	Католицький монастир	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_3mk_fact_separatists_hungary	Католицьке абатство	true
building_culture_variants_name_mk_bld_mookingdoms_industry_minor_1	Майстерня ремісника	true
building_culture_variants_name_mk_bld_mookingdoms_industry_minor_2	Будинок прядильника	true
building_culture_variants_name_mk_bld_mookingdoms_industry_minor_3	Будинок ткача	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_3mk_fact_portugal	Католицький монастир	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_2mk_fact_portugal	Католицький пріорат	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_1mk_fact_portugal	Католицький пріорат	true
building_culture_variants_name_att_bld_religion_catholic_minor_order_1mk_fact_castile	Пріорат духовно-лицарського ордену	true
building_culture_variants_name_att_bld_religion_catholic_minor_order_2mk_fact_castile	Фортеця духовно-лицарського ордену	true
building_culture_variants_name_att_bld_religion_catholic_minor_order_3mk_fact_castile	Замок духовно-лицарського ордену	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_4mk_fact_portugal	Католицьке абатство	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_3mk_fact_portugal	Католицьке абатство	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_2mk_fact_separatists_iberian	Католицький пріорат	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_3mk_fact_separatists_iberian	Католицький монастир	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_4mk_fact_separatists_iberian	Католицьке абатство	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_2mk_fact_portugal	Католицький монастир	true
