key	text	tooltip
#Loc;1;text/db/building_flavour_texts.loc		
building_flavour_texts_flavour_att_bld_eos_religion_judaism_minor_3	Міква - це спеціальний басейн для ритуальних обмивань, що практикуються в іудаїзмі. Згідно з традицією, вода в неї повинна надходити обов'язково з природного джерела або водойми, в якій є джерела. Глибина басейну достатня для повного занурення людини. Іудаїзм наказує занурюватися в мікву після статевих актів, лікування шкірних хвороб, виділення деяких фізіологічних рідин і дотику до мертвого тіла. Ідея очищення душі водою була характерна не тільки для стародавньої Юдеї, але і для всього античного світу: наприклад, в зороастрійській Персії лазні служили не тільки санітарно-гігієнічним, а й духовним цілям.	true
building_flavour_texts_flavour_att_bld_eos_religion_judaism_minor_2	Міква - це особливий басейн для ритуальних обмивань, що практикуються в іудаїзмі. Згідно з традицією, вода в неї повинна надходити неодмінно з природного джерела або водойми, в якій є джерела. Глибина басейну достатня для повного занурення людини. Іудаїзм наказує занурюватися в мікву після статевих актів, лікування шкірних хвороб, виділення деяких фізіологічних рідин і дотику до мертвого тіла. Ідея очищення душі водою була характерна не тільки для стародавньої Юдеї, але і для всього античного світу: наприклад, в зороастрійській Персії лазні служили не тільки санітарно-гігієнічним, але і духовним цілям.	true
building_flavour_texts_flavour_att_bld_eos_religion_judaism_minor_1	Міква - це особливий басейн для ритуальних обмивань, що практикуються в іудаїзмі. Згідно з традицією, вода в неї повинна надходити неодмінно з природного джерела або водойми, в якій є джерела. Глибина басейну достатня для повного занурення людини. Іудаїзм наказує занурюватися в мікву після статевих актів, лікування шкірних хвороб, виділення деяких фізіологічних рідин і дотику до мертвого тіла. Ідея очищення душі водою була характерна не тільки для стародавньої Юдеї, але і для всього античного світу: наприклад, в зороастрійській Персії лазні служили не тільки санітарно-гігієнічним, а й духовним цілям.	true
building_flavour_texts_flavour_att_bld_roman_civic_market_2	Центром економіки і громадського життя будь-якого римського міста був форум. В першу чергу він був ринком, але на ньому також проводилися збори, мітинги і політичні дебати. Туди йшли як ті, кому є що продати, так і ті, кому є що сказати. Основу форуму складали таберни - невеликі однокімнатні лавки, що виходили на зовнішню сторону ринку. У цих попередницях сучасних кіосків торгували всіма видами товарів від одягу до гарячої їжі. До наших днів зберігся Форум Траяна - останній і найграндіозніший з римських ринків. Його розміри такі, що багато хто вважає його першим у світі торговим центром.	true
building_flavour_texts_flavour_att_bld_roman_water_sewers_4	Для римлян природні потреби були справою колективною. У громадських туалетах було до 30 сидінь, розташованих по квадрату. Поділу на класи не було. Якщо потреба наздоганяла аристократа далеко від дому, а його раб-камердинер не прихопив з собою горщик, то йому доводилося сидіти в вбиральні поруч з вершником або плебеєм. У всіх ста чотирнадцяти римських громадських вбиральнях люди читали, спілкувалися, налагоджували зв'язки. Поет Марціал висміяв одного громадянина за те, що той тинявся в вбиральні, сподіваючись отримати запрошення на вечерю. Також в дусі товариства римляни підтиралися за собою однією на всіх губкою. Туалети знаходилися ближче до кінця знаменитої водопровідної системи Риму: з вбиралень вода і відходи надходили в каналізацію.	true
building_flavour_texts_flavour_att_bld_roman_water_sewers_2	Каналізація ефективно видаляє сміття і нечистоти з поселення, сприяючи чистоті місцевого повітря. Можна сказати, що з неї починається цивілізація. Добре розуміючи, що відходи життєдіяльності повинні знаходитися якомога далі від людського носа, римляни створили розвинену каналізаційну систему. Чиста вода в їх поселення надходила по акведуках, а потім розподілялася між міськими фонтанами, лазнями і туалетами, а стічні води зливалися через клоаку в море або велику річку. Ця система була недосконалою, але все ж дозволяла уникати епідемій, поки населення не виростало настільки, що переповнена клоака переставала справлятися зі своєю функцією.	true
building_flavour_texts_flavour_att_bld_roman_water_sewers_3	Каналізація ефективно видаляє сміття і нечистоти з поселення, сприяючи чистоті місцевого повітря. Можна сказати, що з неї починається цивілізація. Добре розуміючи, що відходи життєдіяльності повинні знаходитися якомога далі від людського носа, римляни створили розвинену каналізаційну систему. Чиста вода в їх поселення надходила по акведуках, а потім розподілялася між міськими фонтанами, лазнями і туалетами, а стічні води зливалися через клоаку в море або велику річку. Ця система була недосконалою, але все ж дозволяла уникати епідемій, поки населення не виростало настільки, що переповнена клоака переставала справлятися зі своєю функцією.	true
building_flavour_texts_flavour_att_bld_eastmig_leadership_elders_4	Племена лахмідів і танухідів надавали великого значення своїм арабським традиціям. Особливо це стало помітно в період піднесення перської династії Сасанідів, правителі якої відверто зневажали арабів. Так, імператор Хосров I називав цей народ жадібними обжерливими, засуджуючи його гордість примітивними умовами побуту, байдужість до матеріальних благ (в першу чергу, до хорошої їжі і демонстративного багатства) і надмірну доброту до чужинців. Араби, в свою чергу, у своїй поезії висміювали персів і прославляли свою чесність і гостинність як найвищі чесноти.	true
building_flavour_texts_flavour_att_bld_eastmig_leadership_elders_2	Племена лахмідів і танухідів надавали великого значення своїм арабським традиціям. Особливо це стало помітно в період піднесення перської династії Сасанідів, правителі якої відверто зневажали арабів. Так, імператор Хосров I називав цей народ жадібними обжерливими, засуджуючи його гордість примітивними умовами побуту, байдужість до матеріальних благ (в першу чергу, до хорошої їжі і демонстративного багатства) і надмірну доброту до чужинців. Араби, в свою чергу, у своїй поезії висміювали персів і прославляли свою чесність і гостинність як найвищі чесноти.	true
building_flavour_texts_flavour_att_bld_eastmig_leadership_elders_3	Племена лахмідів і танухідів надавали великого значення своїм арабським традиціям. Особливо це стало помітно в період піднесення перської династії Сасанідів, правителі якої відверто зневажали арабів. Так, імператор Хосров I називав цей народ жадібними обжерливими, засуджуючи його гордість примітивними умовами побуту, байдужість до матеріальних благ (в першу чергу, до хорошої їжі і демонстративного багатства) і надмірну доброту до чужинців. Араби, в свою чергу, у своїй поезії висміювали персів і прославляли свою чесність і гостинність як найбільші чесноти.	true
building_flavour_texts_flavour_att_bld_barbarian_civic_market_free	В одній з легенд про походження лангобардів фігурує фраза «краще захищати свободу зі зброєю в руках, ніж оскверняти її сплатою данини». Воїни цього народу завжди воліли вільну смерть рабському життю. За свідченням історика Павла Діакона, своє прагнення до свободи вони поширювали навіть на полонених і чужих рабів, звільняючи їх і дозволяючи служити в своїх військах. Така практика не тільки була прогресивнішою, ніж звичаї сучасників, але й благотворно впливала на життя народу завдяки збільшенню різноманітності культур і традицій.	true
building_flavour_texts_flavour_cha_bld_gold_3	Золото приваблювало і захоплювало людей з тих часів, коли перші золоті самородки були знайдені в гірських річках. З цього ковкого металу можна зробити фактично все, що завгодно - від прикрас до обладунків. Правда, золото занадто м'яке, щоб виготовляти з нього зброю або інструменти. Видобувати золото відносно просто, так як воно зустрічається в чистому вигляді і його легко відрізнити від інших мінералів. Спочатку родовищ золота в Греції та Римі було небагато, але завдяки завоюванням греки і римляни отримали широкий доступ до джерел цього металу. Раби працювали в шахтах на глибині близько двохсот метрів. Шахти експлуатувалися до тих пір, поки не обвалювалися. Греки цінували золото так високо, що навіть пробували перетворювати на нього інші метали - так зародилося «мистецтво» алхімії. До початку середньовіччя золото остаточно утвердилося в ролі найдорожчого і найбажанішого металу на Землі, витіснивши з цієї ролі срібло.	true
building_flavour_texts_flavour_cha_bld_gold_2	Золото приваблювало і захоплювало людей з тих часів, коли перші золоті самородки були знайдені в гірських річках. З цього ковкого металу можна зробити фактично все, що завгодно - від прикрас до обладунків. Правда, золото занадто м'яке, щоб виготовляти з нього зброю або інструменти. Видобувати золото відносно просто, так як воно зустрічається в чистому вигляді і його легко відрізнити від інших мінералів. Спочатку родовищ золота в Греції і Римі було небагато, але завдяки завоюванням греки і римляни отримали широкий доступ до джерел цього металу. Раби працювали в шахтах на глибині близько двохсот метрів. Шахти експлуатувалися до тих пір, поки не обвалювалися. Греки цінували золото так високо, що навіть пробували перетворювати на нього інші метали - так зародилося «мистецтво» алхімії. До початку середньовіччя золото остаточно утвердилося в ролі найдорожчого і найбажанішого металу на Землі, витіснивши з цієї ролі срібло.	true
building_flavour_texts_flavour_cha_bld_gold_1	Золото приваблювало і захоплювало людей з тих часів, коли перші золоті самородки були знайдені в гірських річках. З цього ковкого металу можна зробити фактично все, що завгодно - від прикрас до обладунків. Правда, золото занадто м'яке, щоб виготовляти з нього зброю або інструменти. Видобувати золото відносно просто, так як воно зустрічається в чистому вигляді і його легко відрізнити від інших мінералів. Спочатку родовищ золота в Греції та Римі було небагато, але завдяки завоюванням греки та римляни отримали широкий доступ до джерел цього металу. Раби працювали в шахтах на глибині близько двохсот метрів. Шахти експлуатувалися до тих пір, поки не обвалювалися. Греки цінували золото так високо, що навіть пробували перетворювати на нього інші метали - так зародилося «мистецтво» алхімії. До початку середньовіччя золото остаточно утвердилося в ролі найдорожчого і найбажанішого металу на Землі, витіснивши з цієї ролі срібло.	true
