key	text	tooltip
#Loc;1;text/db/campaign_battle_presets.loc		
campaign_battle_presets_onscreen_name_coastal_preset_01	Берег	true
campaign_battle_presets_onscreen_name_coastal_preset_02	Набережна	true
campaign_battle_presets_onscreen_name_att_western_city_rome	Рим	true
campaign_battle_presets_onscreen_name_cha_port_small_01	Генуя	true
campaign_battle_presets_onscreen_name_cha_land_01	Аль-Андалус	true
campaign_battle_presets_onscreen_name_cha_land_03	Долина річки По	true
campaign_battle_presets_onscreen_name_cha_land_02	Саксонія	true
campaign_battle_presets_onscreen_name_att_nordic_port_a_minor	Алабу	true
campaign_battle_presets_onscreen_name_att_nordic_port_b_minor	Флев	true
campaign_battle_presets_onscreen_name_bel_town_01	Асторга	true
campaign_battle_presets_onscreen_name_bel_town_02	Тагаста	true
campaign_battle_presets_onscreen_name_bel_port_01	Новий Карфаген	true
campaign_battle_presets_onscreen_name_bel_port_02	Тінгіс	true
campaign_battle_presets_onscreen_name_att_nordic_city_a_minor	Вірун	true
campaign_battle_presets_onscreen_name_att_nordic_city_b_minor	Петродава	true
campaign_battle_presets_onscreen_name_att_nordic_city_c_minor	Белз	true
campaign_battle_presets_onscreen_name_bel_city_02	Равенна	true
campaign_battle_presets_onscreen_name_bel_city_03	Рим	true
campaign_battle_presets_onscreen_name_bel_city_01	Карфаген	true
campaign_battle_presets_onscreen_name_cha_city_04	Париж	true
campaign_battle_presets_onscreen_name_cha_city_03	Вінчестер	true
campaign_battle_presets_onscreen_name_cha_city_02	Кордова	true
campaign_battle_presets_onscreen_name_cha_city_01	Равенна	true
campaign_battle_presets_onscreen_name_att_western_city_port_ravenna	Равенна	true
campaign_battle_presets_onscreen_name_bel_land_01	Африканське узбережжя	true
campaign_battle_presets_onscreen_name_bel_land_02	Італія	true
campaign_battle_presets_onscreen_name_bel_land_03	Іспанія	true
campaign_battle_presets_onscreen_name_bel_land_04	Галлія	true
campaign_battle_presets_onscreen_name_cha_port_01	Равенна	true
campaign_battle_presets_onscreen_name_cha_town_01	Вюрцбург	true
campaign_battle_presets_onscreen_name_cha_town_02	Коїмбра	true
campaign_battle_presets_onscreen_name_cha_town_03	Ангулем	true
campaign_battle_presets_onscreen_name_att_eastern_city_port_constantinople	Константинополь	true
campaign_battle_presets_onscreen_name_att_eastern_port_constantinople	Константинополь	true
campaign_battle_presets_onscreen_name_ambush_preset_02	Болота	true
campaign_battle_presets_onscreen_name_ambush_preset_01	Гірський хребет	true
campaign_battle_presets_onscreen_name_land_preset_04	Піренеї	true
campaign_battle_presets_onscreen_name_land_preset_05	Трясовина	true
campaign_battle_presets_onscreen_name_land_preset_01	Рівнини	true
campaign_battle_presets_onscreen_name_land_preset_02	Кам'янисте поле	true
campaign_battle_presets_onscreen_name_land_preset_03	Ліс	true
campaign_battle_presets_onscreen_name_naval_preset_01	Мис Бон	true
campaign_battle_presets_onscreen_name_naval_preset_03	Середземномор'я	true
campaign_battle_presets_onscreen_name_naval_preset_02	Чорне море	true
campaign_battle_presets_onscreen_name_river_preset_01	Тібр	true
campaign_battle_presets_onscreen_name_river_preset_02	Ніл	true
campaign_battle_presets_onscreen_name_att_western_port_ravenna	Равенна	true
campaign_battle_presets_onscreen_name_bel_bridge_01	Злиття річок	true
campaign_battle_presets_onscreen_name_bel_naval_01	Корсика і Сардинія	true
campaign_battle_presets_onscreen_name_bel_naval_02	Галльське море	true
campaign_battle_presets_onscreen_name_att_sassanid_port_a_minor	Мешан	true
campaign_battle_presets_onscreen_name_att_sassanid_port_b_minor	Евдемон	true
campaign_battle_presets_onscreen_name_att_eastern_port_a_minor	Трапез	true
campaign_battle_presets_onscreen_name_att_eastern_port_b_minor	Тір	true
campaign_battle_presets_onscreen_name_att_western_port_a_minor	Генуя	true
campaign_battle_presets_onscreen_name_att_western_port_b_minor	Сегонтій	true
campaign_battle_presets_onscreen_name_att_western_port_a	Тарент	true
campaign_battle_presets_onscreen_name_att_western_port_b	Тарракон	true
campaign_battle_presets_onscreen_name_att_eastern_city_b	Кесарія Евсебія	true
campaign_battle_presets_onscreen_name_att_eastern_city_c	Анкира	true
campaign_battle_presets_onscreen_name_att_eastern_city_a	Едеса	true
campaign_battle_presets_onscreen_name_bel_port_unf_02	Алерія	true
campaign_battle_presets_onscreen_name_bel_port_unf_01	Гіппон Діарріт	true
campaign_battle_presets_onscreen_name_att_eastern_city_a_minor	Іконій	true
campaign_battle_presets_onscreen_name_att_eastern_city_b_minor	Елія Капітоліна	true
campaign_battle_presets_onscreen_name_att_eastern_city_c_minor	Домавія	true
campaign_battle_presets_onscreen_name_att_western_city_a_minor	Турон	true
campaign_battle_presets_onscreen_name_att_western_city_b_minor	Сісція	true
campaign_battle_presets_onscreen_name_att_western_city_c_minor	Астуріка	true
campaign_battle_presets_onscreen_name_att_sassanid_city_a_minor	Хіра	true
campaign_battle_presets_onscreen_name_att_sassanid_city_b_minor	Харев	true
campaign_battle_presets_onscreen_name_att_sassanid_city_c_minor	Пайтакаран	true
campaign_battle_presets_onscreen_name_att_nordic_city_a	Туесіс	true
campaign_battle_presets_onscreen_name_att_nordic_city_c	Касургіс	true
campaign_battle_presets_onscreen_name_att_nordic_city_b	Убурсіс	true
campaign_battle_presets_onscreen_name_cha_river_01	Луара	true
campaign_battle_presets_onscreen_name_cha_naval_01	Білі скелі	true
campaign_battle_presets_onscreen_name_cha_naval_02	Середземномор'я	true
campaign_battle_presets_onscreen_name_att_sassanid_city_a	Абаршахр	true
campaign_battle_presets_onscreen_name_att_sassanid_city_c	Зафар	true
campaign_battle_presets_onscreen_name_att_sassanid_city_b	Кят	true
campaign_battle_presets_onscreen_name_att_eastern_port_a	Антіохія	true
campaign_battle_presets_onscreen_name_att_eastern_port_b	Птолемаїда	true
campaign_battle_presets_onscreen_name_att_western_city_b	Весонтіо	true
campaign_battle_presets_onscreen_name_att_western_city_c	Кордуба	true
campaign_battle_presets_onscreen_name_att_western_city_a	Лондіній	true
campaign_battle_presets_onscreen_name_cha_ambush_02	Альпи	true
campaign_battle_presets_onscreen_name_cha_ambush_01	Ронсеваль	true
campaign_battle_presets_onscreen_name_bel_ambush_01	Гірський перевал	true
campaign_battle_presets_onscreen_name_att_sassanid_city_ctesiphon	Ктесіфон	true
campaign_battle_presets_onscreen_name_cha_coastal_01	Калабрія	true
campaign_battle_presets_onscreen_name_bel_coastal_01	Нікея	true
campaign_battle_presets_onscreen_name_att_sassanid_port_b	Омана	true
