key	text	tooltip
#Loc;1;text/db/campaign_effect_scopes.loc		
campaign_effect_scopes_localised_text_faction_to_province_own	(всі провінції)	true
campaign_effect_scopes_localised_text_force_to_province_enemy	(ворожа провінція)	true
campaign_effect_scopes_localised_text_force_to_force_own_factionwide_horde	(всі орди)	true
campaign_effect_scopes_localised_text_force_to_province_own	(ця провінція)	true
campaign_effect_scopes_localised_text_character_to_force_regionwide	(війська в цьому регіоні)	true
campaign_effect_scopes_localised_text_character_to_force_own_character_when_spouse_commanding	(чоловік, якщо командує)	true
campaign_effect_scopes_localised_text_agent_to_agent_action_hinder_province	\\nМісце служби: чужа провінція	true
campaign_effect_scopes_localised_text_agent_to_agent_action_passive	\\nПостійний місцевий ефект	true
campaign_effect_scopes_localised_text_agent_to_agent_action_hinder_settlement	\\nМета: чуже поселення	true
campaign_effect_scopes_localised_text_region_to_region_neighbouring	(сусідні регіони)	true
campaign_effect_scopes_localised_text_building_to_faction_own	(вся фракція)	true
campaign_effect_scopes_localised_text_province_to_regions_own_in_adjacent_province	(всі регіони в суміжній провінції)	true
campaign_effect_scopes_localised_text_general_to_sea_region_own_provincewide_when_governor	(довірена провінція)	true
campaign_effect_scopes_localised_text_region_to_province_own_edict	(провінційні едикти)	true
campaign_effect_scopes_localised_text_faction_to_force_own	(всі війська)	true
campaign_effect_scopes_localised_text_agent_to_agent_action_assist_province	\\nМісце служби: своя провінція	true
campaign_effect_scopes_localised_text_agent_to_agent_action_hinder_character	\\nЦіль: будь-який чужий персонаж	true
campaign_effect_scopes_localised_text_faction_to_faction_own	(вся фракція)	true
campaign_effect_scopes_localised_text_general_to_force_own	(підлеглі війська)	true
campaign_effect_scopes_localised_text_character_to_province_edict_own	(провінційні едикти)	true
campaign_effect_scopes_localised_text_character_to_province_own_factionwide	(всі провінції)	true
campaign_effect_scopes_localised_text_general_to_province_own_when_governor	(довірена провінція)	true
campaign_effect_scopes_localised_text_province_to_province_own_factionwide	(вся фракція)	true
campaign_effect_scopes_localised_text_general_to_force_when_governing	(ця провінція)	true
campaign_effect_scopes_localised_text_character_to_region_own	(цей регіон)	true
campaign_effect_scopes_localised_text_character_to_region_own_character_when_spouse_governing	(чоловік, якщо править)	true
campaign_effect_scopes_localised_text_general_to_character_when_commanding_army_own	(як полководець)	true
campaign_effect_scopes_localised_text_building_to_forces_factionwide	(вся фракція)	true
campaign_effect_scopes_localised_text_province_to_sea_region_own_factionwide	(вся фракція)	true
campaign_effect_scopes_localised_text_force_to_region_enemy	(вороже поселення)	true
campaign_effect_scopes_localised_text_province_to_navy_factionwide	(всі флоти)	true
campaign_effect_scopes_localised_text_province_to_force_enemy	(місцеві ворожі армії)	true
campaign_effect_scopes_localised_text_navy_to_sea_region_own	(місцевий морський регіон)	true
campaign_effect_scopes_localised_text_general_to_character_when_governing_own	(як губернатор)	true
campaign_effect_scopes_localised_text_province_to_force_factionwide	(всі армії і флоти)	true
campaign_effect_scopes_localised_text_agent_to_parent_army_own_horde	(своя орда)	true
campaign_effect_scopes_localised_text_force_to_sea_region_own	(місцевий морський регіон)	true
campaign_effect_scopes_localised_text_faction_to_region_own	(всі регіони)	true
campaign_effect_scopes_localised_text_province_to_force_any	(місцеві армії)	true
campaign_effect_scopes_localised_text_province_to_army_factionwide	(всі армії)	true
campaign_effect_scopes_localised_text_province_to_character_when_commanding_own_factionwide	(всі армії і флоти)	true
campaign_effect_scopes_localised_text_force_to_force_own_factionwide	(всі війська)	true
campaign_effect_scopes_localised_text_general_to_character_when_commanding_navy_own	(як флотоводець)	true
campaign_effect_scopes_localised_text_character_to_faction	(вся фракція)	true
campaign_effect_scopes_localised_text_character_to_character_own_factionwide	(всі ваші персонажі)	true
campaign_effect_scopes_localised_text_province_to_province_own_adjacent_food	(у всіх суміжних провінціях)	true
campaign_effect_scopes_localised_text_force_to_enemy_force_regionwide	(цей регіон)	true
campaign_effect_scopes_localised_text_character_to_region_own_provincewide	(ця провінція)	true
campaign_effect_scopes_localised_text_force_to_faction_own_factionwide_expedition	(всі експедиції)	true
campaign_effect_scopes_localised_text_region_to_force_any	(місцеві армії)	true
campaign_effect_scopes_localised_text_province_to_character_when_commanding_navy_own_factionwide	(всі флоти)	true
campaign_effect_scopes_localised_text_force_to_faction_own_factionwide	(всі орди)	true
campaign_effect_scopes_localised_text_character_to_character_own_character_when_spouse	(чоловік)	true
campaign_effect_scopes_localised_text_agent_to_parent_army_general_own	(при полководці)	true
campaign_effect_scopes_localised_text_character_to_faction_own_character_when_spouse_governing	(чоловік, якщо править)	true
campaign_effect_scopes_localised_text_agent_to_parent_army_own	(своя армія)	true
campaign_effect_scopes_localised_text_building_to_enemy_characters_in_province	(ця провінція)	true
campaign_effect_scopes_localised_text_province_to_force_own_in_adjacent_regions	(всі війська в суміжних регіонах)	true
campaign_effect_scopes_localised_text_character_to_region_own_factionwide	(всі провінції)	true
campaign_effect_scopes_localised_text_force_to_region_any_provincewide	(ця провінція)	true
campaign_effect_scopes_localised_text_general_to_region_own_provincewide_when_governor	(довірена провінція)	true
campaign_effect_scopes_localised_text_character_to_region_own_pseudo_provincewide	(ця провінція)	true
campaign_effect_scopes_localised_text_general_to_force_enemy_regionwide	(цей регіон)	true
campaign_effect_scopes_localised_text_building_to_forces_on_province_own	(армії в провінції)	true
campaign_effect_scopes_localised_text_general_to_sea_region_own	(місцевий морський регіон)	true
campaign_effect_scopes_localised_text_force_to_region_any	(цей регіон)	true
