key	text	tooltip
#Loc;1;text/db/campaign_ground_types.loc		
campaign_ground_types_onscreen_name_mountain	Гори	true
campaign_ground_types_onscreen_name_sea_coast	Мілина	true
campaign_ground_types_onscreen_name_tundra	Тундра	true
campaign_ground_types_onscreen_name_jungle	Джунглі	true
campaign_ground_types_onscreen_name_sea_lake	Озеро	true
campaign_ground_types_onscreen_name_plains	Рівнини	true
campaign_ground_types_onscreen_name_sea_ocean	Відкрите море	true
campaign_ground_types_onscreen_name_desert	Пустеля	true
campaign_ground_types_onscreen_name_grassland	Луки	true
campaign_ground_types_onscreen_name_river	Річка	true
campaign_ground_types_onscreen_name_hills	Пагорби	true
campaign_ground_types_onscreen_name_swamp	Трясовина	true
campaign_ground_types_onscreen_name_marsh	Болото	true
campaign_ground_types_onscreen_name_dense_forest	Густий ліс	true
campaign_ground_types_onscreen_name_light_forest	Рідколісся	true
campaign_ground_types_onscreen_name_hilly_light_forest	Горбисте рідколісся	true
