key	text	tooltip
#Loc;1;text/db/campaign_localised_strings.loc		
campaign_localised_strings_string_unit_exchange_commanders_invalid	Армії не обмінюються командирами.	true
campaign_localised_strings_string_public_order_rebellion_next_turn	За поточного стану справ повстання почнеться наступного ходу!	true
campaign_localised_strings_string_cha_faction_wales	Уельс	true
campaign_localised_strings_string_military_force_morale_bonus_value_politics	Політика	true
campaign_localised_strings_string_force_not_in_correct_stance_not_enough_ap	Ця армія не є осілою і не має достатнього запасу очок дій для переходу в цей стан.	true
campaign_localised_strings_string_military_force_growth_tax	Податок	true
campaign_localised_strings_string_politics_character_cannot_become_governor_wounded	Цей персонаж не зможе стати губернатором, поки не залікує рани.	true
campaign_localised_strings_string_events_attrition_summary_location	Провінція:	true
campaign_localised_strings_string_MPC_cannot_construct_not_your_turn	[[col:red]]Ви не можете зводити споруди під час ходу іншої фракції.[[/col]]	true
campaign_localised_strings_string_politics_character_regent	Регент	true
campaign_localised_strings_string_end_turn_warning_public_order_low	Рівень громадського порядку в цій провінції небезпечно низький:	true
campaign_localised_strings_string_province_fertility_factor_buildings	Фракція або споруди	true
campaign_localised_strings_string_military_history_battles_victory_decisive	Рішуча перемога над:	true
campaign_localised_strings_string_politics_assign_governor	Клацніть ЛКМ, щоб призначити персонажа на цю посаду.	true
campaign_localised_strings_string_cha_mission_pope_attacked_1	Направте персонажа, в оточення якого входить папа римський, в регіон Рим.	true
campaign_localised_strings_string_recruit_assassin_tooltip	Найняти таємного вбивцю||Таємні вбивці спеціалізуються на усуненні ворожих полководців і агентів. Крім того, вони можуть навчати воїнів своєму мистецтву і виснажувати ворожі армії.	true
campaign_localised_strings_string_details_panel_skills_cannot_select	Цей персонаж не може освоїти цю навичку:	true
campaign_localised_strings_string_raise_navy_capped	Неможливо створити флот.||У вас недостатньо імперіуму.	true
campaign_localised_strings_string_raise_legacy_capped	Неможливо відновити спадщину.||У вас недостатньо імперіуму.	true
campaign_localised_strings_string_end_turn_warning_not_researching	Зараз ви не досліджуєте жодних технологій.	true
campaign_localised_strings_string_military_force_growth_technologies	Технології	true
campaign_localised_strings_string_development_points_tooltip_hordes_insufficent_development_points_number_expedition	Необхідний надлишок населення: %n.||Ваша експедиція зросте з часом. Щоб прискорити її зростання, здійснюйте набіги, розбивайте табори і зводите певні споруди.	true
campaign_localised_strings_string_province_fertility_factor_climate	Клімат	true
campaign_localised_strings_string_development_points_tooltip_hordes_growth	Населення орди поступово зростає. Його надлишок можна використовувати для посилення існуючої орди або створення нової.	true
campaign_localised_strings_string_imperium_01_description	Ви поки що не впливаєте майже ні на що... але це поки що!	true
campaign_localised_strings_string_military_force_morale_bonus_value_foreign_territory	Ворожа територія	true
campaign_localised_strings_string_imperium_02_description	Ви зайняли гідне місце в світі.	true
campaign_localised_strings_string_character_type_wife	Дружина	true
campaign_localised_strings_string_imperium_03_description	Слава про ваші успіхи розноситься по всьому світу.	true
campaign_localised_strings_string_imperium_04_description	Ваші досягнення увійшли в легенди.	true
campaign_localised_strings_string_imperium_05_description	Ваша могутність вселяє заздрість і страх.	true
campaign_localised_strings_string_imperium_06_description	Світ тремтить перед вами.	true
campaign_localised_strings_string_imperium_07_description	Ви досягли найвищої могутності.	true
campaign_localised_strings_string_public_order_food_tooltip	Їжа	true
campaign_localised_strings_string_military_history_battles	Всі битви:	true
campaign_localised_strings_string_building_restriction_bel_bld_all_resources_olives_4	Для доступу до цієї споруди вам потрібно контролювати всі 4 регіони, в яких є оливки, і звести в кожному з них по споруді з ланцюжка відповідного ресурсу.	true
campaign_localised_strings_string_politics_power_support_popular_description	Панування - це міра вашого впливу на свою фракцію і свій народ. Ця характеристика залежить від того, наскільки впливові члени вашої родини в порівнянні з іншими політичними силами фракції.\\n\\nПоєднання панування і контролю визначає загальний рівень влади вашої родини.	true
campaign_localised_strings_string_politics_cannot_assign_age	Цей персонаж ще не досяг віку, в якому можна стати губернатором.	true
campaign_localised_strings_string_military_force_morale_unit_transfer	Переведення загонів	true
campaign_localised_strings_string_recruitment_hire_from_horde	Найняти з орди	true
campaign_localised_strings_string_public_order_taxes_tooltip	Люди радіють низьким податкам, а не високим.	true
campaign_localised_strings_string_public_order_other_tooltip	Від вашої реакції на дилеми та події залежить ставлення ваших підданих.	true
campaign_localised_strings_string_province_contested	Спірна провінція	true
campaign_localised_strings_string_politics_ministerial_position_required_rank	Необхідний ранг:	true
campaign_localised_strings_string_details_panel_skills_cannot_no_skill_points	Немає очок навичок.	true
campaign_localised_strings_string_unit_upgrade_multiple_units	Клацніть ЛКМ, щоб поліпшити всі вибрані загони.	true
campaign_localised_strings_string_raise_force_reinstate_cannot_no_legacies	[[col:red]]У вас немає військової спадщини, яку можна було б відновити.[[/col]]	true
campaign_localised_strings_string_politics_power_support_political_current	Поточний контроль:	true
campaign_localised_strings_string_att_eos_religious_mission_build_att_rel_semitic_paganism	Зведіть 4 споруди семітського язичництва, не будуючи інших релігійних будівель.	true
campaign_localised_strings_string_public_order_other	Інше	true
campaign_localised_strings_string_public_order_taxes	Податки	true
campaign_localised_strings_string_politics_action_impossible_target_retainer_rank_too_high	[[col:red]]Слугою може стати тільки персонаж з нижчим рангом.[[/col]]	true
campaign_localised_strings_string_cha_faction_saxon_kingdom	Королівство саксів	true
campaign_localised_strings_string_unit_details_rank	Ранг:	true
campaign_localised_strings_string_military_history_battles_defeat_decisive	Важка поразка від:	true
campaign_localised_strings_string_raise_force_navy_no_surplus	Не вдалося створити флот.||У вас немає достатнього надлишку населення.	true
campaign_localised_strings_string_zeal_desc	Захист від дій агента, що знижують завзяття.	true
campaign_localised_strings_string_military_force_morale_faction_leader_died	Занепокоєння	true
