key	text	tooltip
#Loc;1;text/db/campaign_map_tooltip_texts.loc		
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_transfer_units	ПКМ - перевести	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_major_settlement_port_unoccupied_self	Прибережне поселення	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_minor_settlement_port_unoccupied_self	Прибережне поселення	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_sea_region	Поповнення та найм:	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_army_cannot_embed_agent_accompanied	Цю армію супроводжує інший агент.\\n\\nУ кожному війську може перебувати тільки один агент.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_navy_self	Ваш флот \\n\\nМоже брати участь у морських битвах, супроводжувати вантажні судна, влаштовувати блокади і захоплювати прибережні поселення противника.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_army_self	[[rgba:255:255:0:255]]Ваша армія та її полководець %S[[/rgba:255:255:0:255]]||Можуть захоплювати та захищати поселення, а також битися з іншими військами.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_hostile_sea_region	Поповнення та найм:	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_must_break_siege	ЛКМ - вибрати.\\nСпочатку прорвіть облогу.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_no_replenishment	[[col:red]]Флоти неможливо поповнювати в чужих або ворожих водах![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_no_access	[[col:red]]Порушення кордонів може мати дипломатичні наслідки![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_sea_trade_route_self	Морський торговий шлях	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_settlement_siege_left_clk_select	ПКМ - атакувати\\nЛКМ - вибрати	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_settlement_under_blockade	[[col:red]]Це поселення в блокаді.[[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_trade_route_self	Ваш торговий шлях	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_garrison_port	ПКМ - стати гарнізоном	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_must_break_siege	ЛКМ - вибрати.\\nСпочатку прорвіть облогу.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_hostile_sea_region_self	Ні (ворожий морський регіон)	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_character_left_clk_select	ПКМ - діяти\\nЛКМ - оглянути	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_disembark_at_coast	ПКМ - висадитися в найближчому місці, підхожому для висадки.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_navy_escort_self	Ваш флот і вантажні судна під його супроводом	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_right_clk_move_to_coast	ЛКМ - оглянути.\\nПКМ - йти до найближчого місця висадки.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_sea_region_self	Морський регіон	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_major_settlement_self	Велике поселення	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_minor_settlement_self	Поселення	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_diplomatic_impact_attack	[[col:red]]Напад на чужі володіння розцінюється як оголошення війни![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_must_break_siege	Спочатку прорвіть облогу.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_non_player_admiral	Флот, командир: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_non_player_general	Армія, командир: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_player_general_on_sea	Ваші вантажні судна, командир: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_enemy_general	Ворожа армія, командир: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_enemy_admiral	Ворожий флот, командир: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_character	ПКМ - діяти	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_player_agent	%S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select	ЛКМ - вибрати	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_garrison_port_left_clk_select	ПКМ - розмістити гарнізон в порту\\nЛКМ - вибрати	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_diplomatic_impact_action	[[col:red]]Дії проти чужих володінь можуть викликати дипломатичні наслідки![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_enemy_agent	Ворожий %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_right_declare_war	ПКМ - оголосити війну\\nЛКМ - оглянути	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_settlement_siege	ПКМ - атакувати	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_already_besieged	Це поселення вже в облозі.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_army	ПКМ - діяти	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_minor_settlement_port_occupied_self	Ваше прибережне поселення	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_sea_trade_route_self	Ворожий морський торговий шлях\\n\\nВикористовуйте флот, щоб влаштовувати на нього нальоти.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_agent_self	Ваш %S||Може влаштовувати диверсії у військах і містах противника та усувати інших агентів.	true
