key	text	tooltip
#Loc;1;text/db/campaign_statistics_categories.loc		
campaign_statistics_categories_localised_description_stat_cat_battles_general	Битви	true
campaign_statistics_categories_localised_description_stat_cat_agents_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_general	Проходження гри	true
campaign_statistics_categories_localised_description_stat_cat_empire_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_economy_income	Дохід	true
campaign_statistics_categories_localised_description_stat_cat_military_forces	Війська	true
campaign_statistics_categories_localised_description_stat_cat_empire	Імперія	true
campaign_statistics_categories_localised_description_stat_cat_battles_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_general_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_battles_defeats	Поразки	true
campaign_statistics_categories_localised_description_stat_cat_agents_general	Агенти	true
campaign_statistics_categories_localised_description_stat_cat_economy_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_agents_actions	Дії	true
campaign_statistics_categories_localised_description_stat_cat_military_units	Війська	true
campaign_statistics_categories_localised_description_stat_cat_diplomacy	Дипломатія	true
campaign_statistics_categories_localised_description_stat_cat_economy_expenditure	Витрати	true
campaign_statistics_categories_localised_description_stat_cat_military_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_battles_aftermath	Наслідки	true
campaign_statistics_categories_localised_description_stat_cat_battles_victories	Перемоги	true
