key	text	tooltip
#Loc;1;text/db/campaign_statistics_strings.loc		
campaign_statistics_strings_localised_description_military_captives_executed	Страчено військовополонених:	true
campaign_statistics_strings_localised_description_empire_technologies_civil	Цивільні технології:	true
campaign_statistics_strings_localised_description_military_generals_recruited	Найнято полководців:	true
campaign_statistics_strings_localised_description_agents_recruited_champions	Найнято воїнів:	true
campaign_statistics_strings_localised_description_agents_assassinated_spies	Підглядників вбито:	true
campaign_statistics_strings_localised_description_military_captives_released	Викуплено полонених:	true
campaign_statistics_strings_localised_description_military_battles_heroic_victories	Героїчні перемоги:	true
campaign_statistics_strings_localised_description_empire_factions_destroyed	Знищено фракцій:	true
campaign_statistics_strings_localised_description_diplomacy_trade_max	Макс. торгових угод:	true
campaign_statistics_strings_localised_description_economy_expenditure_total_upkeep	Витрати на утримання загонів:	true
campaign_statistics_strings_localised_description_diplomacy_allies_current	Союзників зараз:	true
campaign_statistics_strings_localised_description_military_battles_defeats	Всього поразок:	true
campaign_statistics_strings_localised_description_military_captives_enslaved	Полонені набрані:	true
campaign_statistics_strings_localised_description_agents_lost_spies	Підглядників втрачено:	true
campaign_statistics_strings_localised_description_economy_income_total_trade	Дохід від торгівлі:	true
campaign_statistics_strings_localised_description_agents_successful_actions	Всього успішних дій:	true
campaign_statistics_strings_localised_description_empire_provinces_current	Зараз провінцій під контролем:	true
campaign_statistics_strings_localised_description_military_armies_established	Всього створено армій:	true
campaign_statistics_strings_localised_description_empire_settlements_captured	Захоплено поселень:	true
campaign_statistics_strings_localised_description_military_battles_settlement	Битви в поселеннях:	true
campaign_statistics_strings_localised_description_military_settlements_looted	Розграбовано поселень:	true
campaign_statistics_strings_localised_description_agents_failed_actions_spies	Невдалі дії підглядників:	true
campaign_statistics_strings_localised_description_military_forces_established	Всього створено військ:	true
campaign_statistics_strings_localised_description_military_battles_defeats_settlement	Поразки в битвах за поселення:	true
campaign_statistics_strings_localised_description_military_battles_defeats_combined	Поразки в змішаних битвах:	true
campaign_statistics_strings_localised_description_agents_recruited	Всього найнято агентів:	true
campaign_statistics_strings_localised_description_military_battles_victories_ambush	Перемоги в битвах із засідками:	true
