key	text	tooltip
#Loc;1;text/db/campaign_subject_strings.loc		
campaign_subject_strings_string_att_subject_politics_civil_challenger_flavour	Один молодий оратор привертає все більшу увагу натовпу. Він уже користується підтримкою серед політиків і черні. Поки що він не кидав вам виклик, але й не говорив, що схвалює ваші починання.	true
campaign_subject_strings_string_att_subject_domestic_none_foreign_migrants_1_flavour	Через війну в сусідніх країнах до нас потягнулися чужинці. Від них є певна вигода, але вони приносять на наші землі свої сумнівні вірування і звичаї. Деякі з ваших радників вважають, що їх слід вигнати.	true
campaign_subject_strings_string_att_subject_nomadic_tribal_strife_1_flavour	Наш народ складається з безлічі племен, між якими іноді спалахують давні чвари. Ось і зараз два племені повстали одне проти одного. Якщо не вжити заходів, це може закінчитися розколом орди!	true
campaign_subject_strings_string_att_subject_domestic_nomad_sword_of_attila_flavour	До вас з'явився пастух з прекрасним мечем. Він стверджує, що знайшов цей клинок, коли об нього порізалася одна з овець. За його словами, такої могутньої зброї гідні тільки ви.	true
campaign_subject_strings_string_att_subject_domestic_barb_temple_sacrilege_flavour	Один дурень був спійманий за осквернення храму Юпітера. Такий злочин не може залишитися безкарним.	true
campaign_subject_strings_string_att_subject_religious_christian_pontifex_maximus_1_flavour	Наш єпископ увійшов до числа кандидатів на папський престол.	true
campaign_subject_strings_string_att_subject_religious_manichaeism_illegal_practice_1_flavour	Ця людина викрита в порушенні заборони на сповідання маніхейства.	true
campaign_subject_strings_string_att_subject_domestic_roman_a_little_flutter_2_flavour	Наступного місяця на арену вийде загартований ветеран, який здобув безліч перемог. Його суперником буде якийсь молодик. Не хочете зробити ставку? Всього 500 талантів!	true
campaign_subject_strings_string_att_subject_domestic_roman_a_little_flutter_1_flavour	Перспективному молодому гладіатору, який має всі шанси прославитися, належить бій з досвідченим суперником. Не хочете зробити ставку? Всього 500 талантів!	true
campaign_subject_strings_string_att_subject_military_none_the_spy_1_flavour	Ми зловили старого, який шпигував за нашими військами. Він уже визнав свою провину. Як ми поступимо з ним?	true
campaign_subject_strings_string_att_subject_military_nomad_master_swordsmith_flavour	Наші грабіжники взяли в полон досвідченого майстра. Він каже, що вміє кувати смертоносні криві мечі, якими воюють воїни Сходу. Як ми вчинимо з ним?	true
campaign_subject_strings_string_att_subject_religious_manichaeism_pilgrims_1_flavour	У Месопотамії, де народився Мані, щорічно проводиться велике маніхейське свято Бема. Чи варто нам терпіти таке на своїй землі?	true
campaign_subject_strings_string_att_subject_military_none_drunk_on_watch_1_flavour	Цей солдат був виявлений п'яним на посту. А все через те, що ми розбавляємо ряди наших елітних військ всякими неотесаними мужиками!	true
campaign_subject_strings_string_att_subject_religious_barb_stranger_flavour	Чужинець в пошарпаному балахоні стверджує, що йому відомо місцезнаходження давно забутої святині. За гідну плату він готовий розкрити його вам.	true
campaign_subject_strings_string_att_subject_diplomatic_none_tribute_1_flavour	Вітаю. Я приніс дар від імені всього нашого народу. Сподіваюся, він сприятиме поліпшенню наших стосунків.	true
campaign_subject_strings_string_att_subject_religious_zoroastrian_illegal_practice_1_flavour	Цей чоловік влаштував у своєму будинку вівтар вічного полум'я. Це порушення законів нашої землі.	true
