key	text	tooltip
#Loc;1;text/db/campaign_unit_stat_bonuses.loc		
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses2	Конярство III (підвищення швидкості на полі бою для нових кінних загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses1	Конярство II (підвищення швидкості на полі бою для нових кінних загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses0	Конярство I (підвищення швидкості на полі бою для нових кінних загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack4	навчання нападу: гвардія	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack1	навчання нападу: звичайне військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack0	навчання нападу: новобранці	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack3	навчання нападу: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack2	навчання нападу: досвідчене військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon0	Ковка зброї I (збільшення шкоди в ближньому бою для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon1	Ковка зброї II (збільшення шкоди в ближньому бою для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon2	Ковка зброї III (збільшення шкоди в ближньому бою для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale3	Зміцнення бойового духу: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale2	Зміцнення бойового духу: досвідчене військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale1	Зміцнення бойового духу: звичайне військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale0	Зміцнення бойового духу: новобранці	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale4	Зміцнення бойового духу: гвардія	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge0	навчання натиску: новобранці	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge1	навчання натиску: звичайне військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge2	навчання натиску: досвідчене військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge3	навчання натиску: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge4	навчання натиску: гвардія	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield0	Виробництво щитів I (підвищення ефективності щитів для нових загонів з цим спорядженням)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield1	Виробництво щитів II (підвищення ефективності щитів для нових загонів з цим спорядженням)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield2	Виробництво щитів III (підвищення ефективності щитів для нових загонів з цим спорядженням)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour0	Ковка обладунків I (поліпшення обладунків для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour1	Ковка обладунків II (поліпшення обладунків для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour2	Ковка обладунків III (поліпшення обладунків для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence4	навчання захисту: гвардія	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence2	навчання захисту: досвідчене військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence3	навчання захисту: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence0	навчання захисту: новобранці	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence1	навчання захисту: звичайне військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health2	Корпуси рівня III	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health0	Корпуси рівня I	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health1	Корпуси рівня II	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy0	навчання точності: новобранці	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy1	навчання точності: звичайне військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy2	навчання точності: досвідчене військо	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy3	навчання точності: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy4	навчання точності: гвардія	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition0	Виготовлення стріл I (збільшення боєзапасу нових стрілецьких і метальних загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition1	Виготовлення стріл II (збільшення боєзапасу нових стрілецьких і метальних загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition2	Виготовлення стріл III (збільшення боєзапасу нових стрілецьких і метальних загонів)	true
