key	text	tooltip
#Loc;1;text/db/character_skill_node_sets.loc		
character_skill_node_sets_enc_title_bel_army_legacy	Військові традиції	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_germanic_north	Варварські морські традиції	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_east	Навички жриці	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_west	Навички жриці	true
character_skill_node_sets_enc_title_mk_priest_skills	Навички священнослужителя	true
character_skill_node_sets_enc_title_cha_army_legacy	Військові традиції	true
character_skill_node_sets_enc_title_att_army_legacy_eastern_caucasian	Східні військові традиції	true
character_skill_node_sets_enc_title_att_navy_legacy_eastern_caucasian	Східні морські традиції	true
character_skill_node_sets_enc_title_mk_army_legacy	Військові традиції	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_caucasian	Навички волхва	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_north	Навички жриці	true
character_skill_node_sets_enc_title_cha_spy_skills	Навички підглядника	true
character_skill_node_sets_enc_title_bel_navy_legacy	Морські традиції	true
character_skill_node_sets_enc_title_bel_spy_skills	Навички підглядника	true
character_skill_node_sets_enc_title_att_agent_skills_priest_nomadic_sarmatian	Навички шамана	true
character_skill_node_sets_enc_title_att_army_legacy_nomadic_sarmatian	Військові традиції кочівників	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_north	Варварські морські традиції	true
character_skill_node_sets_enc_title_mk_navy_legacy	Морські традиції	true
character_skill_node_sets_enc_title_cha_general_skills_danes	Навички полководців	true
character_skill_node_sets_enc_title_bel_priest_skills	Навички жерця	true
character_skill_node_sets_enc_title_cha_priest_skills	Навички жерця	true
character_skill_node_sets_enc_title_cha_navy_legacy	Морські традиції	true
character_skill_node_sets_enc_title_cha_priest_skills_nomad	Навички жерця	true
character_skill_node_sets_enc_title_cha_priest_skills_islam	Навички жерця	true
character_skill_node_sets_enc_title_cha_priest_skills_pagan	Навички жерця	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_sassanid	Навички волхва	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_east	Варварські морські традиції	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_west	Варварські морські традиції	true
character_skill_node_sets_enc_title_mk_priest_skills_pagan	Навички священнослужителя	true
character_skill_node_sets_enc_title_mk_priest_skills_islam	Навички священнослужителя	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_celtic	Варварські морські традиції	true
character_skill_node_sets_enc_title_mk_priest_skills_nomad	Навички священнослужителя	true
character_skill_node_sets_enc_title_att_general_skills_eastern_desert	Навички східних полководців	true
character_skill_node_sets_enc_title_att_agent_skills_spy_roman_east	Навички підглядника	true
character_skill_node_sets_enc_title_att_agent_skills_spy_roman_west	Навички підглядника	true
character_skill_node_sets_enc_title_att_army_legacy_nomadic_hunnic	Військові традиції кочівників	true
character_skill_node_sets_enc_title_att_agent_skills_spy_eastern_caucasian	Навички інспектора	true
character_skill_node_sets_enc_title_att_agent_skills_champion_nomadic_hunnic	Навички воєначальника	true
character_skill_node_sets_enc_title_att_army_legacy_eastern_sassanid	Східні військові традиції	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_desert	Навички віщуна	true
character_skill_node_sets_enc_title_att_agent_skills_champion_barbarian_germanic_east	Навички героя	true
character_skill_node_sets_enc_title_att_agent_skills_champion_barbarian_germanic_west	Навички героя	true
character_skill_node_sets_enc_title_att_agent_skills_priest_nomadic_hunnic	Навички шамана	true
character_skill_node_sets_enc_title_mk_general_skills	Навички полководця	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_germanic_east	Варварські морські традиції	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_germanic_west	Варварські морські традиції	true
character_skill_node_sets_enc_title_att_agent_skills_spy_nomadic_sarmatian	Навички нальотника	true
character_skill_node_sets_enc_title_att_army_legacy_eastern_desert	Східні військові традиції	true
character_skill_node_sets_enc_title_att_navy_legacy_eastern_sassanid	Східні морські традиції	true
character_skill_node_sets_enc_title_att_agent_skills_champion_eastern_desert	Навички воїна	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_celtic	Навички жриці	true
character_skill_node_sets_enc_title_att_general_skills_nomadic_hunnic	Навички кочових полководців	true
character_skill_node_sets_enc_title_att_navy_legacy_eastern_desert	Східні морські традиції	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_celtic	Варварські морські традиції	true
character_skill_node_sets_enc_title_cha_army_legacy_danes	Військові традиції	true
