key	text	tooltip
#Loc;1;text/db/commodity_unit_names.loc		
commodity_unit_names_plural_barrels	Бочки	true
commodity_unit_names_singular_logs	Колода	true
commodity_unit_names_plural_loaves	Булки	true
commodity_unit_names_singular_chests	Скриня	true
commodity_unit_names_plural_chunks	Шматки	true
commodity_unit_names_singular_pounds	Фунт	true
commodity_unit_names_plural_bundle	Зв'язки	true
commodity_unit_names_plural_hundreds	Сотні	true
commodity_unit_names_plural_sextarius	Секстарій	true
commodity_unit_names_plural_kilnful	випал	true
commodity_unit_names_singular_bundle	Зв'язка	true
commodity_unit_names_plural_amphora	Амфори	true
commodity_unit_names_plural_pounds	Фунти	true
commodity_unit_names_singular_cask	Бочонок	true
commodity_unit_names_plural_chests	Скрині	true
commodity_unit_names_singular_loaves	Булка	true
commodity_unit_names_singular_chunks	Шматок	true
commodity_unit_names_singular_bales	Тюк	true
commodity_unit_names_singular_ounce	Унція	true
commodity_unit_names_singular_slabs	Блок	true
commodity_unit_names_singular_kilnful	випал	true
commodity_unit_names_singular_ingot	Злиток	true
commodity_unit_names_singular_amphora	Амфора	true
commodity_unit_names_singular_tusks	Бивень	true
commodity_unit_names_singular_sacks	Мішок	true
commodity_unit_names_singular_barrels	Бочка	true
commodity_unit_names_singular_sextarius	Секстарій	true
commodity_unit_names_plural_cask	Діжечки	true
commodity_unit_names_singular_hundreds	Сотня	true
commodity_unit_names_plural_ounce	Унції	true
commodity_unit_names_plural_slabs	Блоки	true
commodity_unit_names_plural_bales	Тюки	true
commodity_unit_names_plural_sacks	Мішки	true
commodity_unit_names_plural_tusks	Бивні	true
commodity_unit_names_plural_logs	Колоди	true
commodity_unit_names_plural_ingot	Злитки	true
