key	text	tooltip
#Loc;1;text/db/cultures_subcultures.loc		
cultures_subcultures_confederation_summary_name_bel_sub_cult_roman	Західні римляни	true
cultures_subcultures_name_bel_sub_cult_roman	Римська	true
cultures_subcultures_name_att_sub_cult_nomadic_hunnic	Гунська	true
cultures_subcultures_name_mk_sub_cult_eastern_turcopersian	Тюрко-перська	true
cultures_subcultures_name_att_sub_cult_eastern_desert	Пустельна	true
cultures_subcultures_name_att_sub_cult_eastern_caucasian	Кавказька	true
cultures_subcultures_name_att_sub_cult_roman_east	Східноримська	true
cultures_subcultures_name_att_sub_cult_roman_west	Західноримська	true
cultures_subcultures_name_att_sub_cult_barbarian_germanic_north	Північногерманська	true
cultures_subcultures_name_att_sub_cult_nomadic_sarmatian	Сарматська	true
cultures_subcultures_name_att_sub_cult_eastern_sassanid	Сасанідська	true
cultures_subcultures_confederation_screen_name_bel_sub_cult_roman	Зах. Римська імперія	true
cultures_subcultures_name_att_sub_cult_barbarian_celtic	Кельтська	true
cultures_subcultures_name_att_sub_cult_barbarian_germanic_east	Східногерманська	true
cultures_subcultures_name_att_sub_cult_barbarian_germanic_west	Західногерманська	true
