key	text	tooltip
#Loc;1;text/db/deployables.loc		
deployables_description_deployable_brimstone	Сірка з бітумом, як і деякі інші речовини, можуть бути вкрай небезпечною зброєю. Бітум робив сірчані суміші клейкими, так що ворогам було дуже складно струсити з себе повільно палаючу сірчану суміш: вона навіть якщо не вбивала, то викликала серйозні опіки. Таку суміш наносили на стріли, її ж іноді виливали зі стін під час облоги. Сірчані ями - ще один спосіб використовувати горючі речовини. Такі ями рили перед боєм і підпалювали, щоб зупинити натиск противника. Чим пізніше пастку підпалювали, тим вище була ймовірність, що ворог не встигне перед нею зупинитися.	true
deployables_description_deployable_spiketrap	Ями з шипами - це прикопані кілля, приховані листям. Коли воїн наступає на таку пастку, вона обрушується, ранячи або навіть вбиваючи жертву.	true
deployables_name_deployable_stakes	Кілля	true
deployables_tooltip_deployable_sharp_stones	Гострі камені ускладнюють рух загону, роблячи його легкою мішенню для стрільців.	true
deployables_name_deployable_caltrop	Шипи	true
deployables_description_deployable_caltrop	Шипи були універсальним інструментом римської армії. Завдяки їх однотипній конструкції, шипи можна було закопувати в землю, створюючи огорожу, або з'єднувати попарно у вигляді «їжака». У формі «їжаків» шипи вражали як наступаючі, так і тікаючі війська (незалежно від напрямку руху - на відміну від кіл).	true
deployables_name_deployable_spiketrap	Вовчі ями	true
deployables_name_deployable_brimstone	Ями з сіркою	true
deployables_tooltip_deployable_stakes	Кілля завдають шкоди кінним загонам, що йдуть попереду. Чим швидше рухається ворог, тим сильніше буде шкода.	true
deployables_description_deployable_fireball	Палаючі камені, колоди і пуки сіна використовувалися, щоб розірвати ряди супротивників або послабити бойовий дух захисників. Якщо була така можливість, предмети просочували горючими речовинами: смолою, сіркою, дьогтем і так далі. Всі вони горіли з різною швидкістю і різним ефектом. Такі засоби були найбільш ефективні при нападі з засідки і на горбистій місцевості.	true
deployables_name_deployable_fireball	Вогняні кулі	true
deployables_description_deployable_sharp_stones	Поля гострих каменів викладали з підручних матеріалів навколо поселення. Такий захист не міг вбити нападників, але непогано затримував їх. Камені вкопували в землю або скидали в нерівномірні купи. Піхота сповільнювалася на подібних ділянках, а кінноті доводилося акуратно вибирати шлях між перешкодами. Все це робило нападників легкою мішенню для стрільців.	true
deployables_tooltip_deployable_fireball	Скочуючись по схилу пагорба, вогняна куля завдає великої шкоди всім загонам, що опинилися на її шляху. Щоб її підпалити, клацніть спочатку на загін, а потім - на кулю.\\n\\nЩоб підпалювати кулі, загін повинен перебувати в режимі ближнього бою.	true
deployables_description_deployable_stakes	Дерев'яні кілля були одним з найбільш поширених методів захисту поселень в Стародавньому світі. Це простий, але ефективний засіб проти ворожої піхоти і (особливо) кінноти. Ряди кілків встановлювалися під 45 градусів, а їх краї загострювалися. Кілля можна було легко обійти, рухаючись повільно, але тоді нападники ставали легкою мішенню для стрільців. Кілля, встановлені під кутом, дозволяли захисникам влаштовувати стрімкі вилазки, не боячись наразитися на власний захист.	true
deployables_name_deployable_sharp_stones	Гострі камені	true
deployables_tooltip_deployable_caltrop	Шипи завдають шкоди кінному загону незалежно від напрямку його руху. Чим швидше рухається ворог, тим більшої шкоди він зазнає.	true
deployables_tooltip_deployable_brimstone	Ями з сіркою можна підпалити, щоб вогонь охопив нічого не підозрюючі загони ворога. Їх можна запалити палаючими стрілами або вручну.	true
deployables_tooltip_deployable_spiketrap	Вовчі ями непомітні здалеку і завдають шкоди будь-якому загону, який спробує пройти по них.	true
