key	text	tooltip
#Loc;1;text/db/diplomacy_strings.loc		
diplomacy_strings_string_barb_hun_offer_request_peace_01	Я слухав голоси предків. Вони говорять лише про мир...	true
diplomacy_strings_string_barb_hun_offer_request_peace_03	Суперники злетілися, як стерв'ятники, і годуються нашою ворожнечею. Час сховати мечі в піхви!	true
diplomacy_strings_string_barb_hun_offer_request_peace_02	І живі, і мертві проявили силу і мужність. Час укласти перемир'я...	true
diplomacy_strings_string_barb_hun_offer_request_peace_05	Скільки ще буде пролито крові, перш ніж ми схаменемося?	true
diplomacy_strings_string_barb_hun_offer_request_trade_02	Якщо ми почнемо торгувати, виграють обидві сторони. Що скажеш?	true
diplomacy_strings_string_barb_hun_offer_request_peace_04	Наші боги вважають цю війну безглуздою. Чи не час укласти мир?	true
diplomacy_strings_string_barb_hun_offer_request_trade_03	Наш товар ходовий, та й ваш у господарстві згодиться. Ви хочете з нами торгувати?	true
diplomacy_strings_string_barb_hun_offer_request_peace_06	Ви збираєтеся битися, поки обидва наші народи не впадуть на коліна від втоми?	true
diplomacy_strings_string_barb_hun_offer_request_trade_01	Потік золота і товарів збагачує обидва береги. Ти хочеш торгувати з нами?	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_03	Відтепер і надалі наше військо обиратиме інші шляхи.	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_02	Мій благородний володар закличе до ноги своїх псів війни.	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_01	Прикро! Однак не буду сперечатися. Наші воїни надалі не перетинатимуть твоїх кордонів.	true
diplomacy_strings_string_rome_christian_cancel_military_access_01	Наші кордони закриті для твоїх воїнів. Імператор втрачає сон, коли по наших землях ходять чужі війська.	true
diplomacy_strings_string_barb_christian_generic_reject_08	У твоїх словах багато хорошого... багато, але не достатньо!	true
diplomacy_strings_string_barb_christian_generic_reject_09	Господь цього не допустить! Прийнявши твою пропозицію, я прогніваю і Бога, і народ. Я не стану так ризикувати.	true
diplomacy_strings_string_barb_christian_generic_reject_02	Мій народ такого не пробачить, а мій Бог покарає мене - і буде правий!	true
diplomacy_strings_string_barb_christian_generic_reject_01	Ні, ні, ні! Якщо я підпишуся на таке, Всемогутній нас покарає!	true
diplomacy_strings_string_barb_christian_reject_demand_single_payment_02	Господь розгнівається, якщо я куплю твою честь за презренний метал.	true
diplomacy_strings_string_rome_reject_attack_faction_01	Здійснити напад було б розумно, але, боюся, консули не дадуть на це військ.	true
diplomacy_strings_string_rome_reject_attack_faction_03	Наші легіони виконують накази. На твоє нещастя, їм не наказано підкорятися тобі.	true
diplomacy_strings_string_rome_reject_attack_faction_02	Ми не вважаємо за потрібне ризикувати людьми і грошима заради сумнівних підприємств на кшталт цього.	true
diplomacy_strings_string_barbarian_reject_angry_demand_single_payment_01	Ти хочеш золота? Я влаштую тобі золотий дощ з сечі моїх рабів... та й тієї мені для тебе шкода!	true
diplomacy_strings_string_barbarian_reject_angry_demand_single_payment_02	Нехай слабкі тілом і духом кидають тобі подачки. Я не стану підгодовувати приблудних псів!	true
diplomacy_strings_string_barbarian_reject_angry_demand_single_payment_03	Думаєш, у мене немає мізків? Або у мого народу? Або у моїх предків? Якщо я дам тобі хоч монету, ти будеш вічно тягнути з нас гроші!	true
diplomacy_strings_string_diplomatic_option_nonaggression_pact_warning	Розірвати договір про ненапад||Ви хочете розірвати договір про ненапад з цією фракцією?	true
diplomacy_strings_string_current_treaty_peace	Мирний договір	true
diplomacy_strings_string_personality_desc_short_dislikes_huns	Не любить кочівників	true
