key	text	tooltip
#Loc;1;text/db/effects.loc		
effects_description_att_effect_morale_against_nomads	Бойовий дух: %+n проти кочівників	true
effects_description_att_effect_damage_against_nomads	Шкода у ближ. бою: %+n проти кочівників	true
effects_description_att_effect_attack_against_nomads	Атака в ближ. бою: %+n проти кочівників	true
effects_description_mk_effect_force_army_battle_cannon_missile_rate	Атака при стрільбі: %+n для гарматних загонів	true
effects_description_att_effect_force_navy_battle_support_ship_missile_damage	Шкода від пострілів: %+n% для стрілецьких кораблів	true
effects_description_att_effect_imported_food	Імпорт їжі: %+n від діючих торгових шляхів	true
effects_description_att_effect_agent_action_outcome_target_army_replenishment_increase_dummy	Швидкість поповнення: %+n%	true
effects_description_att_effect_economy_gdp_mod_commerce_land_horde	Багатство: %+n% від торгівлі	true
effects_description_att_effect_edict_eastern_enlightenment_sanitation	Санітарія: %+n	true
effects_description_att_effect_force_navy_battle_unit_morale_blockade	Бойовий дух: %+n проти блокади	true
effects_description_att_effect_force_unit_stat_missile_damage	Шкода від пострілів: %+n%	true
effects_description_att_effect_agent_action_outcome_local_province_recruitment_points	Чисельність військ: %+n	true
effects_description_att_effect_force_army_campaign_military_morale_add_when_fortified	Згуртованість: %+n в таборі	true
effects_description_mk_effect_force_army_campaign_experience_militia	Досвід: %+n для загонів ополчення	true
effects_description_att_effect_unit_training_morale_infantry	Тренування бойового духу: %+n% для нових загонів піхоти	true
effects_description_mk_effect_force_army_campaign_upkeep_cost_nobles	Вартість утримання: %+n% для загонів знаті	true
effects_description_att_effect_agent_action_outcome_target_gather_intelligence_dummy	Отримана інформація: %+n	true
effects_description_att_mission_issued_dummy	Нове завдання!	true
effects_description_att_effect_agent_field_line_of_sight_mod	Зона огляду: %+n%	true
effects_description_att_faction_trait_venedi_growth	Зростання: %+n	true
effects_description_att_effect_force_army_battle_unit_morale_during_ambushes	Бойовий дух: %+n при засідках	true
effects_description_mk_faction_trait_serbia_4	Фракційність. Згуртованість: %+n на своїй або союзній території	true
effects_description_att_effect_force_army_campaign_military_morale_add_when_settled	Згуртованість: %+n в таборі	true
effects_description_mk_faction_trait_serbia_1	Кодифікація права і реформи: громадський порядок від політичних реформ +1, а також корупція -10%	true
effects_description_mk_faction_trait_serbia_2	Автономія жуп: вартість будівництва %+n%, а також відсутність витрат на утримання гарнізонних споруд	true
effects_description_mk_faction_trait_serbia_3	Сербська ударна тактика: посилення натиску %+n% і швидкість пересування +3% для загонів кінноти	true
effects_description_mk_faction_trait_castile_3_range	Тактика хінетів. Дальність стрільби: %+n% для кінних стрільців	true
effects_description_mk_faction_trait_norway_1	Північна таласократія: можливість міграції і переміщення на мапі кампанії для флотів %+n%	true
effects_description_mk_faction_trait_norway_3	Гості: досвід нових підглядників %+n, а максимальна кількість підглядників на службі збільшена на +1	true
effects_description_mk_faction_trait_norway_2	Лейданг: чисельність морських військ %+n, а також збільшена кількість гарнізонних загонів у портових спорудах	true
effects_description_mk_faction_trait_norway_4	Виборні місця. Вартість політичних дій: %+n% особистого впливу	true
effects_description_att_effect_general_religious_roman_unrest	Громад. порядок: до %+n від наявності римських язичників	true
effects_description_mk_effect_force_army_battle_unit_morale_militia	Бойовий дух: %+n для загонів ополчення	true
effects_description_mk_faction_trait_castile_2_ibadi	Іберійські хрестоносці. Бойовий дух: %+n в боях з фракціями ібадитів	true
effects_description_att_effect_general_local_mod_construction_costs	Вартість будівництва: %+n%	true
effects_description_cha_effect_agent_action_sabotage_building_enable	Доступ: [[col:yellow]]Пошкодження споруди[[/col]]	true
effects_description_cha_effect_religion_osmosis_islam	Проникнення релігії: %+n для ісламу	true
effects_description_att_effect_religion_osmosis_arian	Проникнення релігії: %+n для аріанства	true
effects_description_mk_faction_trait_milan_1	Міланське зброярське виробництво. Вартість утримання: %+n% для загонів знаті	true
effects_description_att_effect_force_navy_campaign_recruitment_points	Чисельність морських військ: %+n	true
effects_description_mk_faction_trait_milan_2	Констанцький мир: вартість будівництва для цивільних і виробничих споруд -25%, а також багатство від виробництва +10%	true
effects_description_mk_faction_trait_milan_3	Чотиридесятниця: досвід нових підглядників +2 і ймовірність успіху для дій підглядників +10%	true
effects_description_mk_faction_trait_milan_4	Суперники Делла Торре. Вірність: %+n	true
effects_description_mk_faction_trait_marinids_2_range	Родовід зенета. Дальність стрільби: %+n% для кінних стрільців	true
effects_description_att_effect_agent_action_enable_champion_hinder_character_assault	Доступ: [[col:yellow]]Напад[[/col]]	true
effects_description_att_effect_agent_action_buff_champion_hinder_settlement_sabotage_building_damage	Пошкодження споруди. Завдана шкода: %+n%	true
effects_description_att_effect_edict_catholic_ecumenical_matters_corruption	Корупція: %+n%	true
effects_description_att_effect_edict_arian_docrines_arius_religious_conversion_mod	Едикт «Вчення Арія». Вплив аріанства: %+n	true
effects_description_att_effect_agent_action_buff_spy_hinder_army_ruin_provisions_fatigue_resistance	Псування припасів. Накопичення втоми: %+n%	true
effects_description_att_effect_plague_outbreak_mod_besieger	Хвороба: подвоєння ймовірності спалаху	true
effects_description_mk_faction_trait_papacy_4	Римський непотизм. Корупція: %+n%	true
effects_description_mk_faction_trait_papacy_3	Святий Престол і Папська кафедра. Дип. відносини: %+n з католицькими фракціями	true
effects_description_mk_faction_trait_papacy_2	Жебрацькі ордени: досвід для нових священнослужителів +2, а максимальна кількість священнослужителів на службі збільшена на +1	true
effects_description_mk_faction_trait_papacy_1	Ювілейні роки: громадський порядок від присутності католиків до +4, а також вартість будівництва -10%	true
effects_description_att_effect_agent_recruitment_cost_mod_spy	Вартість найму агентів: %+n% для підглядників	true
effects_description_att_effect_unit_equipment_weapon_bronze	Ковка зброї I. Шкода в ближньому бою: %+n% для всіх нових загонів	true
effects_description_mk_effect_force_army_campaign_upkeep_cost_professionals	Вартість утримання: %+n% для професійних військ	true
effects_description_att_effect_force_army_battle_enable_defensive_deployables_fortification_eastern	Дає невеликий набір оборонних засобів у разі нападу ворога	true
effects_description_mk_effect_force_army_campaign_recruitment_time_cannons	Термін найму: %+n для загонів з гарматами	true
effects_description_att_effect_force_unit_stat_melee_attack	Атака в ближньому бою: %+n	true
effects_description_att_effect_enemy_force_morale_vs_himyar	Бойовий дух противника: %+n проти Хім'яра	true
effects_description_att_effect_force_army_battle_cavalry_light_missile_firing_rate	Атака при стрільбі: %+n% для легкої кінноти	true
effects_description_mk_faction_trait_volga_1	Волзький торговий шлях і знамениті ремісники: дохід від торгових мит %+n%, а також виробництво промислових виробів і шкіри +20%	true
effects_description_mk_faction_trait_volga_2	Великі міста Волги: вартість будівництва для головних і цивільних споруд %+n%, а також тривалість облоги (для портових міст удвічі більше) для сухопутних армій +1	true
effects_description_mk_faction_trait_volga_3	Розселені племена: вартість найму для загонів кінноти %+n%, а також додатково 2 загони новобанців з васальних держав	true
effects_description_mk_faction_trait_volga_4	Реформи чурі. Вартість утримання: %+n% для загонів знаті	true
effects_description_att_effect_force_army_campaign_experience_sassanid_azedan	Досвід: %+n для азадана	true
