key	text	tooltip
#Loc;1;text/db/encyclopedia_blocks.loc		
encyclopedia_blocks_content_enc_text_manual_campaign_characters_abilities_generals	The general has a huge influence on his army’s fortunes in battle, not least because the abilities at his disposal can turn the tide in their favour. You can unlock generals’ abilities and develop them in-line with skills and experience, sometimes upgrading them to become stronger or affect more units. There are three attributes that unlock different categories of general’s ability: “Warrior”, which is unlocked by high zeal; “Commander”, which become available when authority is high; “Strategist”, which is dependent on high cunning. As a general or admiral improves each of his three attributes, he will progressively unlock further abilities.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_controls	Basic Controls	true
encyclopedia_blocks_content_enc_text_manual_battle_conflict_controls_compass	The manoeuvre compass is used for fine-tuning orders on the battlefield. The three arrows within its top half can be used to direct a unit or group straight ahead, or turn left or right. The button in the centre of the lower half causes the selected unit to step backwards. Holding down this button will make them turn and walk backwards. Clicking and holding down the rank and file buttons on either side change the depth of a unit's formation by increasing or decreasing the number of rows the troops stand in.	true
encyclopedia_blocks_content_enc_text_manual_actions_campaign_construction_demolish	Buildings can be demolished if you want to construct something else in their place (or leave nothing of value to an invader if you are about to lose a region to them) by use of the demolish button that appears when you mouse over a building on the settlement panel. Settlements and ports cannot be demolished at their base levels.	true
encyclopedia_blocks_heading_enc_text_politics_power	Influence & Support	true
encyclopedia_blocks_heading_enc_text_characters_agents_spies_wells	Poison Wells	true
encyclopedia_blocks_content_enc_text_manual_hud_diplomacy_options_war_declare	The declare war option is used to officially open armed hostilities with another faction, as opposed to simply marching into their territory to stake your claim. Never declare war without first considering the consequences, as an ill-prepared assault could have consequences resulting in your reduction to satrapy or client status, or worse: the annihilation of your faction. Note that when making your declaration the check box asking allies to join you is defaulted to yes. Your allies will assess the situation and may agree to declare war, but might just as easily break off your alliance, leaving you to fend for yourself.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_abilities_shield_screen	Shield Screen Formation	true
encyclopedia_blocks_content_enc_text_manual_battle_conflict_formations_naval_flanking_melee_double	This variant of the melee double formation arranges its ships two deep in order to smash through the enemy centre to split their formation. Heavier ships are furthest from the centre of the formation.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_crossings_attack	Attacking a River Crossing	true
encyclopedia_blocks_content_enc_text_manual_fleet_access_on	When an army attempts to cross the sea, a transport ship is automatically supplied to provide passage. While these ships are similar to military vessels, they are slower, more cumbersome and are unable to withstand sustained damage. With that in mind, transport ships require the protection of your fleets if they are to transport large armies across the sea. Selecting a fleet and right-clicking on a transport provides an armed escort for the journey: any attacks on the transport will have to face the fleet first. To disembark an army or agent onto land, select its transport ship and right-click on the coast.	true
encyclopedia_blocks_heading_enc_text_manual_actions_campaign_construction_resources	Resources	true
encyclopedia_blocks_content_enc_text_manual_agents_authority	Authority is a measure of the strength of a character’s personality. It is the ability to get things done in their particular field, and also resist authoritarian agent actions. For agents, high authority reduces the cost of their actions; for generals, it increases their radius of influence and unlocks the "commander" set of abilities.	true
encyclopedia_blocks_heading_enc_text_manual_army_fragments_replenish	Unit Replenishment	true
encyclopedia_blocks_content_enc_text_manual_battle_conflict_attributes_ignore	Battlefield movement speed penalties are ignored by any unit with this attribute.	true
