key	text	tooltip
#Loc;1;text/db/encyclopedia_historical_info_blocks.loc		
encyclopedia_historical_info_blocks_content_enc_text_hist_characters_punic_hannibal	“God has given to man no sharper spur to victory than contempt of death.” – Hannibal Barca\\n\\nHannibal is widely regarded as one of the greatest military commanders in history. He was a son of Hamilcar Barca, a Carthaginian leader who had fought in the First Punic War, remaining undefeated when Carthage sued for peace. Afterwards, Hamilcar conquered Iberia to regain Carthage’s lost fortunes, exploiting the silver deposits found there to pay its war reparations to Rome and make his nation powerful again. He famously made his young son swear that he would “never be a friend to the Romans”. Following eight successful years in the region, Hamilcar was killed during battle against the Iberian tribes in 228BC.\\n\\nDespite his young age – 26 years - Hannibal assumed power in Iberia following the assassination of his brother-in-law, Hasdrubal “the Fair” – so named for his preference for diplomacy over conflict. From here, he sacked the Roman protectorate of Saguntum and began the Second Punic War. His army’s journey over the Alps has become legend; a feat of daring and endurance that took Rome entirely by surprise.\\n\\nHannibal’s efforts during the war - scoring devastating victories at Trebia, Lake Trasimene and Cannae - ravaged the Roman state and nearly brought the Republic to its knees. It is due to Hannibal, without a doubt, that Carthage’s war effort was successful for so many years. Ultimately, however, a series of setbacks, betrayals and a lack of support at home for the lengthy war stalled the conquest of Italy, eventually leading to his defeat at the climactic Battle of Zama in 202BC.\\n\\nAfter the war, Hannibal became a successful governor of Carthage. However, political opponents soon forced him into exile, where he became military advisor to the Seleucid Empire and several other eastern Hellenistic states. Unfortunately, pressure from the Romans as they expanded into the east eventually led to Hannibal’s betrayal, and he poisoned himself to evade capture around 182BC.	true
encyclopedia_historical_info_blocks_content_enc_text_hist_battles_carthage	Commencing 149-148BC, the Siege of Carthage was the defining action of the Third Punic War between Rome and Carthage. With the city refusing to surrender, the Carthaginians held out for over two years. The Roman forces, led by Manius Manilius, initially suffered losses at the hands of Hasdrubal and, following Manius’ failure, Scipio Aemilianus was appointed consul and charged with taking Carthage. Under Roman law, he was technically too young for the job. His first action was to defeat Diogenes’ army holding Nepheris by blockading the harbour of Carthage, cutting off their supplies, and forcing them into the field. With Nepheris crushed, Scipio intensified the main siege. In the final assault, Tiberius Gracchus, Scipio’s military tribune and brother-in-law, was the first over the wall. After hours of bitter fighting in the streets, houses and temples, the Carthaginians surrendered. The surviving population was enslaved, and Carthage levelled. Hasdrubal himself begged for mercy. His wife, unable to face such shame, killed herself and their sons. For his service, Scipio was greatly rewarded, and during his triumph was able to add “Africanus” to his name. Unusually, Hasdrubal was displayed rather than killed, possibly because of the greater humiliation involved. Despite his bravery at Carthage, Tiberius’ military fortunes waned during the Numantine War, but his later actions as a plebeian tribune earned him the favour of the common people.	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_battles_carthage	The Siege of Carthage (146BC)	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_vesuvius	Vesuvius is perhaps the most famous volcano in the world and the only one on the European mainland to have erupted in the last hundred years. Responsible for the complete destruction of the Roman cities of Pompeii and Herculaneum, the eruption of Vesuvius in 79AD killed approximately 16,000 people, including the philosopher Pliny the Elder. 	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_characters_punic_hannibal	The Carthaginians\\n\\nHannibal Barca	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_damavand	Mount Damavand	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_damavand	Mount Damavand is located in the Alborz mountain range and is the highest peak in Iran. Its impressive height and volcanic nature made it a place of magic and power in Persian mythology. According to Zoroastrian texts it was the home of the three-headed dragon Azi Dahaka, who was imprisoned there until the end of days. 	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_vesuvius	Mount Vesuvius	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_colossus	The Colossus of Rhodes	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_behistun	Located in the Kermanshah Province of Iran, Mount Behistun is home to the Behistun Inscription. This multilingual inscription includes an autobiography of Darius the Great. As the same piece of text was translated into three different languages, Old Persian, Elamite, and Babylonian, it is similar to the Rosetta Stone as the key to languages thought to be lost.	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_behistun	Mount Behistun	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_colossus	The Colossus of Rhodes was a giant bronze statue constructed to commemorate the Rhodian victory against Antigonus I, ruler of Cyprus.  A representation of the sun god Helios, it stood over thirty metres high, but not astride the harbour as has been suggested. It is thought to have fallen during an earthquake in 226BC. The broken chunks of statue were eventually sold off as scrap metal some 800 years later.	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_hercules	According to Greek legend, the Pillars of Hercules were created by Hercules himself as one of his twelve labours. Rather than waste time scaling the mountain that had once been Atlas, Hercules punched through it, so joining the Mediterranean Sea to the Atlantic Ocean and creating the Strait of Gibraltar.	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_hercules	The Pillars of Hercules	true
encyclopedia_historical_info_blocks_content_enc_text_hist_characters_gaul_boduognatus	Leader of the ferocious Nervii, a Celto-Germanic tribe that resided in northwest Gaul, Boduognatus led his people against Caesar’s legions in 57BC. A shrewd war-leader, Boduognatus used the advantage of his local knowledge of the terrain to spring an ambush on the Romans at the Battle of Sabis. The attack of the Nervii and their allied client tribes, the Atrebates and Viromandui, took Caesar’s forces by surprise and almost overwhelmed them. However, the 10th legion, under the command of Titus Labienus, turned the tide of battle. Boduognatus, like his warriors, refused to give ground, even in defeat, and was killed, while the strength of the Nervii was decimated. In his Commentaries, Caesar praises their heroic courage, stating that they fought almost to the last man, standing on the bodies of their fallen brothers to fight on.	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_sanctuary	Located on the island of Samothrace off the coast of Greece, the Sanctuary of the Great Gods was home to a strange religion known as the Eleusinian Mysteries.  The Spartan leader, Lysander, the historian Herodotus, and King Philip II of Macedon, who met his future wife and mother of his son Alexander the Great at the site, were all initiates of the mysteries.	true
encyclopedia_historical_info_blocks_content_enc_text_hist_characters_gaul_ariovistus	Ariovistus was the leader of the Germanic Suebi, or “our people”. Invited by the Arverni and Sequani to aid them in their struggle against the pro-Roman Aedui, Ariovistus led his people across the Rhine, defeating the Aedui at the Battle of Magetobriga in 63 BC. In the aftermath, in exchange for their aid, the Suebi began to settle in Sequani territory. This put considerable pressure on the surrounding tribes, sparking the mass migration of the Helvetii. Rome was equally uncomfortable with the Ariovistus taking root in Gaul, but the Senate recognised him as a ‘King and Friend of the Roman People’, reputedly at Caesar’s behest, in a move to appease him. By 58BC, with the situation worsening, the Aedui and other Gallic tribes petitioned Caesar for aid. Given an ultimatum by Caesar to cease Suebian settlement and warring in Gaul, Ariovistus challenged Caesar to stop him. Conflict was inevitable as their envoys failed to reach agreement. In the battle that followed however, Ariovistus’ tribal force was broken and he and his surviving kin fled back across the Rhine, after which he was never heard from again.	true
