key	text	tooltip
#Loc;1;text/db/encyclopedia_template_strings.loc		
encyclopedia_template_strings_text_total_war_rome_ii	Total War: ROME II	true
encyclopedia_template_strings_text_starting_region	Starting Region(s)	true
encyclopedia_template_strings_text_featured_tutorial	Featured Tutorial	true
encyclopedia_template_strings_text_view_by_faction	View By Faction	true
encyclopedia_template_strings_text_hannibal_at_the_gates_only	Hannibal at the Gates only	true
encyclopedia_template_strings_text_tutorials	Tutorials	true
encyclopedia_template_strings_text_satrapy_client_state_of	Satrapy/Client State Of	true
encyclopedia_template_strings_text_select_a_culture	Select a Culture	true
encyclopedia_template_strings_text_enables	Enables	true
encyclopedia_template_strings_text_regions	Regions	true
encyclopedia_template_strings_text_actions	Actions	true
encyclopedia_template_strings_text_resources	Resources	true
encyclopedia_template_strings_text_buildings	Buildings	true
encyclopedia_template_strings_text_view_by_culture	View By Culture	true
encyclopedia_template_strings_text_select_a_faction	Select a Faction	true
encyclopedia_template_strings_text_featured_videos	Featured Videos:	true
encyclopedia_template_strings_text_abilities	Abilities	true
encyclopedia_template_strings_text_historical_info	Historical Info	true
encyclopedia_template_strings_text_read_more	Read More	true
encyclopedia_template_strings_text_specialist_units	Specialist Units	true
encyclopedia_template_strings_text_an_error_occurred	An error occurred	true
encyclopedia_template_strings_text_settlement_name	Settlement Name	true
encyclopedia_template_strings_text_compare	Compare	true
encyclopedia_template_strings_text_comparison_tool	Comparison Tool	true
encyclopedia_template_strings_text_unit_name	Unit Name	true
encyclopedia_template_strings_text_recruitment_cost	Recruitment Cost	true
encyclopedia_template_strings_text_traditions	Traditions	true
encyclopedia_template_strings_text_requires	Requires	true
encyclopedia_template_strings_text_eastern_buildings	Eastern Buildings	true
encyclopedia_template_strings_text_characters	Characters	true
encyclopedia_template_strings_text_search_results_found_for	%d search results found for "%s".	true
encyclopedia_template_strings_text_settlement	Settlement	true
encyclopedia_template_strings_text_region_information	Region Information	true
encyclopedia_template_strings_text_prologue	(prologue)	true
encyclopedia_template_strings_text_strengths_and_weaknesses	Strengths & Weaknesses	true
encyclopedia_template_strings_text_military	Military	true
encyclopedia_template_strings_text_provincial_capital	Provincial Capital	true
encyclopedia_template_strings_text_glossary	Glossary	true
encyclopedia_template_strings_text_search_the_encyclopaedia	Search the Manual	true
encyclopedia_template_strings_text_compare_selected	Compare Selected	true
encyclopedia_template_strings_text_total_war_rome_2_only	Total War: ROME II only	true
encyclopedia_template_strings_text_character_skills	Character Skills	true
encyclopedia_template_strings_text_clear_selection	Clear Selection	true
encyclopedia_template_strings_text_speciality	Speciality	true
encyclopedia_template_strings_text_view_by_character	View By Character	true
encyclopedia_template_strings_text_roman_buildings	Roman Buildings	true
encyclopedia_template_strings_text_view_all	View All	true
encyclopedia_template_strings_text_read_the	Read The	true
encyclopedia_template_strings_text_specialty_units	Speciality Units	true
encyclopedia_template_strings_text_local_resources	Local Resources	true
encyclopedia_template_strings_text_level_4	Level 4	true
encyclopedia_template_strings_text_level_5	Level 5	true
encyclopedia_template_strings_text_level_1	Level 1	true
encyclopedia_template_strings_text_level_2	Level 2	true
encyclopedia_template_strings_text_level_3	Level 3	true
encyclopedia_template_strings_text_politics	Politics	true
encyclopedia_template_strings_text_province	Province	true
encyclopedia_template_strings_text_province_capital	Province Capital	true
encyclopedia_template_strings_text_factions	Factions	true
encyclopedia_template_strings_text_ruined	(Ruined)	true
encyclopedia_template_strings_text_cost	Cost	true
encyclopedia_template_strings_text_specialty_buildings	Speciality Buildings	true
encyclopedia_template_strings_text_search	Search	true
encyclopedia_template_strings_text_barbarian_buildings	Barbarian Buildings	true
encyclopedia_template_strings_text_available_local_mercenaries	Available Local Mercenaries	true
encyclopedia_template_strings_text_choose_faction	Choose Faction	true
encyclopedia_template_strings_text_faction_availability	Faction Availability	true
encyclopedia_template_strings_text_skills	Skills	true
encyclopedia_template_strings_text_save_changes	Save changes	true
encyclopedia_template_strings_text_local_garrison	Local Garrison	true
encyclopedia_template_strings_text_repair_cost_if_ruined	Repair cost if ruined	true
encyclopedia_template_strings_text_hellenistic_buildings	Hellenistic Buildings	true
encyclopedia_template_strings_text_caesar_in_gaul_only	Caesar in Gaul only	true
encyclopedia_template_strings_text_repair_cost_lc	Repair cost	true
encyclopedia_template_strings_text_caesar_in_gaul	Caesar in Gaul	true
encyclopedia_template_strings_text_all_you_need_to_know_to_get_started.	All you need to know to get started.	true
encyclopedia_template_strings_text_tech	Tech	true
encyclopedia_template_strings_text_random_article	Random Article	true
encyclopedia_template_strings_text_view_more_tutorials	View More Tutorials	true
encyclopedia_template_strings_text_manual	Manual	true
encyclopedia_template_strings_text_view_by_class	View By Class	true
encyclopedia_template_strings_text_description_	Description 	true
encyclopedia_template_strings_text_home	Home	true
encyclopedia_template_strings_text_belongs_to_province	Belongs to Province	true
encyclopedia_template_strings_text_controlling_faction	Controlling Faction	true
encyclopedia_template_strings_text_multiplayer	Multiplayer	true
encyclopedia_template_strings_text_hannibal_at_the_gates	Hannibal at the Gates	true
encyclopedia_template_strings_text_development	Development	true
encyclopedia_template_strings_text_repair_cost	Repair Cost	true
encyclopedia_template_strings_text_building_chain	Building Chain	true
encyclopedia_template_strings_text_encyclopaedia	Encyclopaedia	true
encyclopedia_template_strings_text_manual_index	Manual Index	true
encyclopedia_template_strings_text_allies_with	Allies With	true
encyclopedia_template_strings_text_civil	Civil	true
encyclopedia_template_strings_text_units	Units	true
encyclopedia_template_strings_text_at_war_with	At War With	true
encyclopedia_template_strings_text_single_player	Single Player	true
encyclopedia_template_strings_text_close	Close	true
encyclopedia_template_strings_text_rank_2	Rank 2	true
encyclopedia_template_strings_text_rank_3	Rank 3	true
encyclopedia_template_strings_text_rank_4	Rank 4	true
encyclopedia_template_strings_text_rank_5	Rank 5	true
encyclopedia_template_strings_text_region_availability	Region Availability	true
