key	text	tooltip
#Loc;1;text/db/event_feed_categories.loc		
event_feed_categories_category_title_att_event_category_agent	Дії агентів	true
event_feed_categories_category_title_att_event_category_world	Світ	true
event_feed_categories_category_title_att_event_category_traits_ancillaries	Особливості та оточ.	true
event_feed_categories_category_title_att_event_category_faction	Фракція	true
event_feed_categories_category_title_att_event_category_diplomacy	Дипломатія	true
event_feed_categories_category_title_att_event_category_military	Військові дії	true
event_feed_categories_category_title_att_event_category_conquest	Завоювання	true
event_feed_categories_category_title_att_event_category_character	Персонажі	true
event_feed_categories_category_title_att_event_category_provinces	Провінції	true
