key	text	tooltip
#Loc;1;text/db/event_feed_events.loc		
event_feed_events_event_title_diplomacy_war_declared	Війна оголошена	true
event_feed_events_event_title_diplomacy_war_coordination_target_not_available	Зникла мета для взаємодії	true
event_feed_events_event_title_faction_succession_heir_comes_of_age	Спадкоємець зайняв трон	true
event_feed_events_event_title_faction_famine	Голод	true
event_feed_events_event_title_provinces_plague_spreads_force_to_force	Хвороба передається між арміями	true
event_feed_events_event_title_diplomacy_treaty_broken_trade_dissolved	Торговельна угода розірвана	true
event_feed_events_event_title_faction_religion_change	Зміна релігії	true
event_feed_events_event_title_provinces_edict_issued	Видано едикт	true
event_feed_events_event_title_military_army_founded	Армія заснована	true
event_feed_events_event_title_horde_unrest_imminent_rebellion	Повстання неминуче	true
event_feed_events_event_title_character_rank_gained	Підвищено ранг	true
event_feed_events_event_title_conquest_blockade_established	Блокада встановлена	true
event_feed_events_event_title_faction_civil_war_force	Почалася громадянська війна	true
event_feed_events_event_title_conquest_battle	Битва	true
event_feed_events_event_title_diplomacy_trespassing	Порушення кордонів!	true
event_feed_events_event_title_conquest_sea_region_controlled	Захоплено морський регіон	true
event_feed_events_event_title_character_dies_battle	Смерть у битві	true
event_feed_events_event_title_faction_civil_war_ends	Громадянська війна припинена	true
event_feed_events_event_title_character_dies_hostile	Смерть від руки ворога	true
event_feed_events_event_title_character_dies_infant_mortality	Дитяча смертність	true
event_feed_events_event_title_military_navy_founded	Флот засновано	true
event_feed_events_event_title_provinces_food_shortage_ends	Перебої з продовольством усунуто	true
event_feed_events_event_title_provinces_building_constructed	Зведено споруду	true
event_feed_events_event_title_character_dies_natural	Природна смерть	true
event_feed_events_event_title_military_path_blocked	Шлях перекрито	true
event_feed_events_event_title_faction_imperium_level_increase	Імперіум	true
event_feed_events_event_title_faction_event_incident	Інцидент	true
event_feed_events_event_title_character_trait_gained	Нова особливість	true
event_feed_events_event_title_faction_resource_gained	Отримано ресурси	true
event_feed_events_event_title_conquest_siege_lifted	Облога знята	true
event_feed_events_event_title_diplomacy_faction_encountered	Зустрічено фракцію	true
event_feed_events_event_title_diplomacy_treaty_broken_client_state	Держава-данник розриває стосунки	true
event_feed_events_event_title_diplomacy_war_coordination_ally_mobilisation_vs_force	Союзник нападає на ворожу армію	true
event_feed_events_event_title_provinces_building_demolished	Знесено будівлю	true
event_feed_events_event_title_character_loyalty_low	Зниження вірності	true
event_feed_events_event_title_world_climate_change	Зміна клімату	true
event_feed_events_event_title_provinces_slums	Нетрі	true
event_feed_events_event_title_military_ambusher_discovered	Виявлено засідку	true
event_feed_events_event_title_agent_action_vs_army	Агент проти армії	true
event_feed_events_event_title_provinces_settlement_abandoned	Поселення покинуто	true
event_feed_events_event_title_agent_recruited	Найнято агента	true
event_feed_events_event_title_provinces_food_shortage	Перебої з продовольством	true
event_feed_events_event_title_provinces_unseasonal_conditions	Несезонні умови	true
event_feed_events_event_title_diplomacy_treaty_broken_military_alliance_manipulated	Військовий союз розірвано	true
event_feed_events_event_title_faction_technology_researched	Розвиток	true
event_feed_events_event_title_diplomacy_treaty_broken_soft_military_access	Угода про право проходу розірвана	true
event_feed_events_event_title_conquest_settlement_surrender_warning	Капітуляція неминуча	true
event_feed_events_event_title_military_navy_destroyed	Флот знищено	true
event_feed_events_event_title_faction_horde_begins	Орда	true
event_feed_events_event_title_military_army_withdraws	Армія відступає	true
event_feed_events_event_title_agent_discovered_yours	Виявлено агента	true
event_feed_events_event_title_conquest_settlement_captured	Поселення захоплено	true
event_feed_events_event_title_military_navy_withdraws	Флот відступає	true
event_feed_events_event_title_conquest_enemy_raid_trade_route	Напад на торговий шлях!	true
event_feed_events_event_title_military_army_destroyed	Армія знищена	true
event_feed_events_event_title_character_dies_executed	Політичне вбивство	true
event_feed_events_event_title_faction_political_party_power_change	Баланс сил	true
event_feed_events_event_title_faction_resource_lost	Втрачені ресурси	true
event_feed_events_event_title_provinces_development_points_available	Надлишок населення	true
event_feed_events_event_title_provinces_plague_starts	Почалася епідемія	true
event_feed_events_event_title_diplomacy_treaty_broken_trade	Торговельна угода розірвана	true
event_feed_events_event_title_military_army_raised	Армія зібрана	true
event_feed_events_event_title_military_navy_disbanded	Флот розформований	true
event_feed_events_event_title_faction_heir_nominated	Оголошено спадкоємця	true
event_feed_events_event_title_conquest_enemy_raid_settlement	Напад на поселення!	true
event_feed_events_event_title_diplomacy_treaty_broken_vassal	Незалежність маріонеткової держави	true
event_feed_events_event_title_character_trait_lost	Втрачено особливість	true
event_feed_events_event_title_conquest_sea_region_contested	Триває боротьба за морський регіон	true
event_feed_events_event_title_diplomacy_war_coordination_ally_mobilisation_vs_region	Союзник нападає на ворожу територію	true
event_feed_events_event_title_conquest_settlement_capital_captured	Захоплено столицю	true
event_feed_events_event_title_diplomacy_treaty_broken_defensive_alliance_manipulated	Оборонний союз розірвано	true
event_feed_events_event_title_faction_event_mission_issued	Нове завдання	true
event_feed_events_event_title_diplomacy_treaty_broken_non_aggression_pact_manipulated	Договір про ненапад розірвано	true
event_feed_events_event_title_diplomacy_treaty_negotiated_defensive_alliance	Укладено оборонний союз	true
event_feed_events_event_title_faction_campaign_lost	Кампанія програна	true
event_feed_events_event_title_faction_event_mission_aborted	Завдання перервано	true
event_feed_events_event_title_faction_event_mission_success	Завдання виконано	true
event_feed_events_event_title_faction_event_mission_failed	Завдання провалено	true
event_feed_events_event_title_military_unit_recruited	Найнято загін	true
event_feed_events_event_title_military_navy_raised	Флот зібрано	true
event_feed_events_event_title_diplomacy_treaty_negotiated_military_alliance	Укладено військовий союз	true
event_feed_events_event_title_diplomacy_treaty_negotiated_non_aggression_pact	Укладено договір про ненапад	true
event_feed_events_event_title_faction_event_dilemma	Дилема	true
event_feed_events_event_title_military_army_disbanded	Армію розформовано	true
event_feed_events_event_title_diplomacy_treaty_negotiated_peace	Укладено мир	true
event_feed_events_event_title_provinces_plague_spreads_region_to_region	Хвороба передається між регіонами	true
event_feed_events_event_title_diplomacy_treaty_negotiated_vassal	Засновано державу-васал	true
event_feed_events_event_title_diplomacy_treaty_broken_vassal_manipulated	Маніпуляція маріонетковою державою	true
event_feed_events_event_title_scripted_persistent_event	Особливі події	true
event_feed_events_event_title_diplomacy_treaty_broken_non_aggression_pact	Договір про ненапад розірвано	true
event_feed_events_event_title_diplomacy_treaty_broken_defensive_alliance	Оборонний союз розірвано	true
event_feed_events_event_title_character_ancillary_lost	Втрати в оточенні	true
event_feed_events_event_title_diplomacy_treaty_negotiated_trade	Укладено торговельну угоду	true
event_feed_events_event_title_agent_action_vs_settlement	Агент проти поселення	true
event_feed_events_event_title_provinces_settlement_sacked	Поселення розорене	true
event_feed_events_event_title_horde_development_points_available	Надлишок населення	true
event_feed_events_event_title_provinces_unrest_rebellion	Повстання	true
event_feed_events_event_title_faction_political_subject	Державна справа	true
event_feed_events_event_title_character_ready_for_duty	Готовність до служби	true
event_feed_events_event_title_conquest_blockade_lifted	Блокаду знято	true
event_feed_events_event_title_provinces_settlement_razed	Поселення зруйновано	true
event_feed_events_event_title_provinces_edict_cancelled	Скасовано едикт	true
event_feed_events_event_title_diplomacy_treaty_negotiated_soft_military_access	Укладено угоду про право проходу	true
event_feed_events_event_title_horde_food_shortage	Перебої з продовольством	true
event_feed_events_event_title_conquest_siege_established	Облога почалася	true
event_feed_events_event_title_conquest_province_contested	Йде боротьба за провінцію	true
event_feed_events_event_title_diplomacy_treaty_broken_soft_military_access_manipulated	Угода про право проходу порушена	true
event_feed_events_event_title_provinces_settlement_looted	Поселення розграбовано	true
event_feed_events_event_title_agent_action_vs_character	Агент проти персонажа	true
event_feed_events_event_title_diplomacy_treaty_broken_military_alliance	Військовий союз розірвано	true
event_feed_events_event_title_provinces_cannot_abandon_settlement	Не вдалося покинути поселення	true
event_feed_events_event_title_scripted_transient_located_event	Особливі події	true
event_feed_events_event_title_character_born_illegitimate	Позашлюбна дитина	true
event_feed_events_event_title_faction_political_dilemma	Політична дилема	true
event_feed_events_event_title_military_attrition	Небойові втрати!	true
event_feed_events_event_title_diplomacy_war_coordination_target_available	Доступна мета для взаємодії	true
event_feed_events_event_title_diplomacy_treaty_broken_trade_manipulated	Торговельна угода порушена	true
event_feed_events_event_title_agent_discovered	Замаскований агент розкритий	true
event_feed_events_event_title_military_army_rank_gained	Ранг армії підвищено	true
event_feed_events_event_title_faction_horde_ends	Орда осіла	true
event_feed_events_event_title_faction_campaign_victory_objective_complete	Умова перемоги виконана	true
event_feed_events_event_title_character_wounded	Поранення	true
event_feed_events_event_title_provinces_plague_spreads_force_to_region	Хвороба передається від армії до регіону	true
event_feed_events_event_title_scripted_transient_event	Особливі події	true
event_feed_events_event_title_diplomacy_treaty_broken_client_state_manipulated	Маніпуляція державою-данником	true
event_feed_events_event_title_character_born_legitimate	Шляхетний нащадок	true
event_feed_events_event_title_horde_building_demolished	Споруду знесено	true
event_feed_events_event_title_horde_food_shortage_ends	Перебої з продовольством усунуто	true
event_feed_events_event_title_faction_campaign_chapter_objective_complete	Мета досягнута	true
event_feed_events_event_title_diplomacy_faction_destroyed	Фракція знищена	true
