key	text	tooltip
#Loc;1;text/db/event_feed_strings.loc		
event_feed_strings_text_att_event_feed_string_faction_succession_description_king_of_kings	Цар царів помер. Влада перейшла до його спадкоємця.\\n\\nХай живе Цар царів!	true
event_feed_strings_text_att_event_feed_string_faction_technology_researched_secondary_detail	#(technology.description)	true
event_feed_strings_text_att_event_feed_string_character_born_legitimate_description_female	О, славний день! У членів правлячої родини народилася дочка.	true
event_feed_strings_text_att_event_feed_string_scripted_event_independence_secondary_detail	Історія знає чимало прикладів, коли талант великих людей губили слабкі правителі. На жаль, імператор Юстиніан виявився саме таким - заздрість і ревнощі змушували його на кожному кроці чинити Велісарію перешкоди, а в кінці кінців поставити під загрозу становище і саме життя геніального полководця. Імператор народився для влади, але і Велісарію визначено велике майбутнє. Жодні перешкоди не завадять йому відродити колишню славу Західної Римської імперії. Впоратися з розгніваним Юстиніаном буде не легше, ніж підкорити Італію, але Велісарій не має наміру здаватися. Він поставить світ на коліна!	true
event_feed_strings_text_att_event_feed_string_scripted_bel_olives_buildings_secondary_detail	Практика - шлях до досконалості. Ваш народ навчився вирощувати оливки краще за всіх у світі.	true
event_feed_strings_text_att_event_feed_string_character_ancillary_all_primary_detail	#(ancillary)	true
event_feed_strings_text_att_event_feed_string_scripted_event_military_building_title	Доступний палац бардів	true
event_feed_strings_text_att_event_feed_string_diplomacy_treaty_broken_trade_agreement_dissolved_description	Через обставини, що змінилися, ми змушені розірвати торговельні відносини з цією фракцією.	true
event_feed_strings_text_att_event_feed_string_diplomacy_faction_destroyed_description_theirs	Ця фракція знищена ворогами.	true
event_feed_strings_text_att_event_feed_string_diplomacy_trespassing_secondary_detail	Місце порушення: #(force.region)\\n\\nФракція: #(faction)\\n	true
event_feed_strings_text_att_event_feed_string_scripted_bel_hilderic_imprisoned_primary_detail	 	true
event_feed_strings_text_att_event_feed_string_provinces_settlement_sacked_description	Ворог розграбував наше поселення!	true
event_feed_strings_text_att_event_feed_string_character_dies_suspicious_description	Наш підданий помер за підозрілих обставин. Остерігайтеся ворожих агентів!	true
event_feed_strings_text_att_event_feed_string_diplomacy_war_coordination_target_unavailable_primary_details	Цілі втрачені	true
event_feed_strings_text_att_event_feed_string_plague_starts_secondary_detail	Місце: #(region)	true
