key	text	tooltip
#Loc;1;text/db/event_feed_subcategories.loc		
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_missions_objectives	Цілі та завдання	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_war_peace	Війна і мир	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_occupation	Окупація	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_enemy_raids	Нальоти	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_civil_war	Громадянська війна	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_war_coordination	Взаємодія на війні	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_buildings	Будівлі	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_broken_manipulated	Маніпуляція договорами	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_attrition	Небойові втрати	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_negotiated	Укладення договорів	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_ambushes	Засідки	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_developments	Розвиток фракцій	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_action	Дії агентів	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_navy_developments	Доповіді флоту	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_army_developments	Доповіді армії	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_recruited	Вербування агента	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_traits	Особливості	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_ancillaries	Оточення персонажа	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_deaths	Смерті та поранення	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_development	Розвиток персонажів	true
event_feed_subcategories_subcategory_title_att_event_subcategory_world_climate	Зміна клімату	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_births	Народження	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_settlement_abandoned	Покинуті поселення	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_broken	Розірвані договори	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_state_matters	Дипломатичні доповіді	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_plague	Чума	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_crises	Кризи в провінціях	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_territorial_disputes	Територіальні суперечки	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_discovered	Виявлення агента	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_unit_recruited	Найм військ	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_developments	Розвиток провінцій	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_event_dilemma_incident	Дилеми та події	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_battle	Битви	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_force_decimated	Децимація	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_governor_edict	Губернатори та едикти	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_crises	Кризи фракцій	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_siege_blockade	Облоги та блокади	true
