key	text	tooltip
#Loc;1;text/db/event_feed_summary_events.loc		
event_feed_summary_events_title_horde_food_shortage	Нестача їжі	true
event_feed_summary_events_title_conquest_province_contested	Спірні провінції	true
event_feed_summary_events_title_provinces_settlement_looted	Розграбовано поселень	true
event_feed_summary_events_title_provinces_food_shortage_ends	Нестача їжі закінчилася	true
event_feed_summary_events_title_military_attrition	Небойові втрати	true
event_feed_summary_events_title_diplomacy_faction_encountered	Зустрічені фракції	true
event_feed_summary_events_title_provinces_settlement_razed	Зруйновано поселень	true
event_feed_summary_events_title_provinces_settlement_sacked	Розорено поселень	true
event_feed_summary_events_title_character_rank_gained	Підвищено ранг	true
event_feed_summary_events_title_agent_action_vs_settlement	Дії агентів: поселення	true
event_feed_summary_events_title_diplomacy_trespassing	Порушники кордонів	true
event_feed_summary_events_title_provinces_unrest_rebellion	Повстання	true
event_feed_summary_events_title_horde_development_points_available	Надлишок населення	true
event_feed_summary_events_title_character_dies_battle	Смерті: в бою	true
event_feed_summary_events_title_conquest_sea_region_contested	Спірні морські регіони	true
event_feed_summary_events_title_character_ancillary_gained	Нове в оточенні	true
event_feed_summary_events_title_character_trait_lost	Втрачені особливості	true
event_feed_summary_events_title_provinces_unrest_imminent_rebellion	Повстання неминуче	true
event_feed_summary_events_title_faction_civil_war_province	Громадянська війна: повстання	true
event_feed_summary_events_title_faction_civil_war_character	Громадянська війна: дезертирство	true
event_feed_summary_events_title_agent_action_vs_army	Дії агентів: армії	true
event_feed_summary_events_title_conquest_settlement_captured	Територіальні суперечки	true
event_feed_summary_events_title_faction_resource_lost	Втрачені ресурси	true
event_feed_summary_events_title_diplomacy_faction_destroyed	Знищені фракції	true
event_feed_summary_events_title_character_trait_gained	Набуті особливості	true
event_feed_summary_events_title_agent_action_vs_character	Дії агентів: агенти	true
event_feed_summary_events_title_faction_resource_gained	Набуті ресурси	true
event_feed_summary_events_title_character_dies_hostile	Смерті: від рук ворогів	true
event_feed_summary_events_title_provinces_building_constructed	Зведені споруди	true
event_feed_summary_events_title_character_dies_natural	Смерті: природні	true
event_feed_summary_events_title_character_ancillary_lost	Втрати в оточенні	true
event_feed_summary_events_title_conquest_sea_region_controlled	Захоплені морські регіони	true
event_feed_summary_events_title_character_ready_for_duty	Готовність до служби	true
event_feed_summary_events_title_horde_unrest_imminent_rebellion	Повстання неминуче	true
event_feed_summary_events_title_conquest_battle	Доповіді про битви	true
event_feed_summary_events_title_faction_civil_war_force	Громадянська війна: заколоти	true
event_feed_summary_events_title_conquest_province_secured	Захоплені провінції	true
event_feed_summary_events_title_diplomacy_faction_emerges	Фракції, що з'явилися	true
event_feed_summary_events_title_conquest_enemy_raid_settlement	Нальоти на регіон	true
event_feed_summary_events_title_military_navy_rank_gained	Морські традиції	true
event_feed_summary_events_title_military_unit_recruited	Набрані загони	true
event_feed_summary_events_title_military_army_rank_gained	Військові традиції	true
event_feed_summary_events_title_provinces_food_shortage	Нестача їжі	true
event_feed_summary_events_title_provinces_unseasonal_conditions	Несезонні умови	true
event_feed_summary_events_title_provinces_development_points_available	Надлишок населення	true
event_feed_summary_events_title_horde_food_shortage_ends	Нестача їжі закінчилася	true
event_feed_summary_events_title_conquest_enemy_raid_trade_route	Нальоти на торгові шляхи	true
event_feed_summary_events_title_character_dies_suspicious	Смерті: підозрілі	true
