key	text	tooltip
#Loc;1;text/db/faction_groups.loc		
faction_groups_name_localised_att_fact_group_slavs	Італія	true
faction_groups_name_localised_att_fact_group_celts	Галлія і Фризія	true
faction_groups_name_localised_att_fact_group_norse	Германія	true
faction_groups_description_localised_att_fact_group_nomadic	Середньоазіатські кочівники почали вторгнення в південно-східну Європу. У них немає ні поселень, ні царів, проте вони з дитинства звикли до верхової їзди і тягот кочового життя. Чутки про неперевершену влучність їхніх лучників і стрімкі маневри кінноти вселяють жах у серця людей. Для багатьох осілих народів навала кочівників обернеться смертю і кінцем часів.	true
faction_groups_name_localised_att_fact_group_roman	Рутенія і Прибалтика	true
faction_groups_description_localised_att_fact_group_eastern	Завоювавши Парфію і створивши на її руїнах імперію Сасанідів, цар Ардашир I відродив перську культуру після довгих років еллінізації. Однак розширення його держави до східних кордонів Риму призвело до конфлікту, який неминуче закінчиться війною. Втім, сасанідська армія вправна як в облозі ворожих міст, так і в обороні власних, а важка кіннота катафрактів, що становить її основу, являє собою грізну силу.	true
faction_groups_name_localised_att_fact_group_germania	Германія	true
faction_groups_name_localised_att_fact_group_arabia	Арабська затока	true
faction_groups_name_localised_att_fact_group_eastern	Велика Персія	true
faction_groups_name_localised_att_fact_group_france	Галлія і Фризія	true
faction_groups_description_localised_att_fact_group_barbarian	Германці першими з варварів переселилися на римські землі. Хоча багато хто з них погодилися стати федератами, вони, як і раніше, залишаються лютими воїнами, які високо цінують свою незалежність. Коли Рим почав втрачати контроль над північно-західними провінціями, конфедерації германських племен охоче скористалися цим, не втрачаючи жодної можливості розширити свої володіння.	true
faction_groups_name_localised_att_fact_group_italia	Італія	true
faction_groups_name_localised_att_fact_group_northsea	Північне море	true
faction_groups_description_localised_att_fact_group_france	Кельтські племена, що населяли околиці римської Британії, міцно трималися своїх давніх традицій і були готові відстоювати їх зі зброєю в руках. Північні пікти і каледонці успішно воювали з Римом, не даючи йому захопити весь острів, а західні ебдани, захищені від імперських амбіцій Ірландським морем, тим часом зміцнювали племінні зв'язки і формували свій власний варіант кельтської культури. Тепер, коли Західна Римська імперія опинилася на межі розпаду, у кельтів з'явився шанс об'єднатися і знайти достатню силу, щоб підкорити собі всі Британські острови. Цей народ існував задовго до римлян - і продовжить процвітати ще багато століть після їх відходу!	true
faction_groups_name_localised_att_fact_group_nomadic	Понтійсько-Каспійський степ	true
faction_groups_description_localised_att_fact_group_northsea	Кельтські племена, що населяли околиці римської Британії, міцно трималися за свої давні традиції і були готові відстоювати їх зі зброєю в руках. Північні пікти і каледонці успішно воювали з Римом, не даючи йому захопити весь острів, а західні ебдани, захищені від імперських амбіцій Ірландським морем, тим часом зміцнювали племінні зв'язки і формували свій власний варіант кельтської культури. Тепер, коли Західна Римська імперія опинилася на межі розпаду, у кельтів з'явився шанс об'єднатися і знайти достатню силу, щоб підкорити собі всі Британські острови. Цей народ існував задовго до римлян - і продовжить процвітати ще багато століть після їх відходу!	true
faction_groups_description_localised_att_fact_group_italia	PLACEHOLDER	true
