key	text	tooltip
#Loc;1;text/db/factions.loc		
factions_clan_summary_name_when_shogun_cha_fact_rebel_saxon	placeholder	true
factions_senator_text_gain_n_mk_fact_muscovy	Підтримка придворних: +%n	true
factions_senator_text_lose_n_mk_fact_swabia	Підтримка придворних: -%n	true
factions_senator_text_lose_1_mk_fact_swabia	Підтримка придворних: -%n	true
factions_senator_text_n_out_of_n_mk_fact_separatists_seljuks	%n з %n придворних	true
factions_screen_name_when_shogun_mk_fact_separatists_trier	placeholder	true
factions_senator_text_lose_n_mk_fact_makuria	Підтримка придворних: -%n	true
factions_screen_name_mk_fact_rebels_north_italians	Ломбардські бунтівники	true
factions_senator_text_n_out_of_n_mk_fact_hospitaller	%n з %n придворних	true
factions_senator_text_lose_n_mk_fact_serbia	Підтримка сенаторів: -%n	true
factions_senator_text_lose_1_mk_fact_serbia	Підтримка сенаторів: -%n	true
factions_senator_text_lose_n_mk_fact_bavaria	Підтримка сенаторів: -%n	true
factions_senator_text_gain_n_mk_fact_aleppo	Підтримка знаті: +%n	true
factions_senator_text_gain_1_mk_fact_aleppo	Підтримка знаті: +%n	true
factions_defend_desc_att_fact_iuti	На вас напали юти!	true
factions_clan_summary_name_when_shogun_cha_fact_rebel_muslim	placeholder	true
factions_attack_desc_mk_fact_rebels_berber	Ви напали на берберських бунтівників!	true
factions_screen_name_att_fact_separatist_visigothic	Вестготські сепаратисти	true
factions_screen_name_when_shogun_mk_fact_rebels_rus	placeholder	true
factions_senator_text_gain_n_mk2_fact_separatists_austria	Підтримка придворних: +%n	true
factions_defend_desc_mk_fact_rebels_steppe	На вас напали степові бунтівники!	true
factions_senator_text_gain_n_mk2_fact_separatists_brabant	Підтримка придворних: +%n	true
factions_clan_summary_name_mk_fact_earldoms	placeholder	true
factions_senator_text_n_out_of_n_mk2_fact_castile	%n з %n придворних	true
factions_screen_name_mk2_fact_separatists_timurids	Тимуридські самозванці	true
factions_senator_text_gain_n_mk2_fact_separatists_ireland	Підтримка придворних: +%n	true
factions_screen_adjective_mk2_fact_separatists_epirus	Епіроти	true
factions_clan_summary_name_when_shogun_cha_fact_papal_states	placeholder	true
factions_senator_text_lose_1_mk2_fact_schwyz	Підтримка сенаторів: -%n	true
factions_defend_desc_mk_fact_rebels_bulgar	На вас напали болгарські бунтівники!	true
factions_attack_desc_mk_fact_rebels_nordic	Ви напали на бунтівників-північан!	true
factions_clan_summary_name_cha_fact_sicily	placeholder	true
factions_screen_name_cha_fact_avars	Авари	true
factions_senator_text_gain_n_mk_fact_burgundy	Підтримка сенаторів: +%n	true
factions_senator_text_gain_n_mk_fact_marinids	Підтримка придворних: +%n	true
factions_clan_summary_name_mk2_fact_brandenburg	placeholder	true
