key	text	tooltip
#Loc;1;text/db/famous_battle_pools.loc		
famous_battle_pools_battle_name_8	Битва при Каннах	true
famous_battle_pools_battle_name_9	Битва при Замі	true
famous_battle_pools_battle_name_6	Битва при Треббії	true
famous_battle_pools_battle_name_7	Битва при Рафії	true
famous_battle_pools_battle_name_4	Битва при Іссі	true
famous_battle_pools_battle_name_5	Битва при Гавгамелах	true
famous_battle_pools_battle_name_2	Марафонська битва	true
famous_battle_pools_battle_name_3	Фермопільська битва	true
famous_battle_pools_battle_name_1	Битва при Херонеї	true
famous_battle_pools_battle_name_11	Битва при Підні	true
famous_battle_pools_battle_name_10	Битва при Каррах	true
famous_battle_pools_battle_name_13	Битва при Кіноскефалах	true
famous_battle_pools_battle_name_12	Битва при Іпсі	true
