key	text	tooltip
#Loc;1;text/db/ground_types.loc		
ground_types_tooltip_shallow_water	Мілина. Рух всіх загонів сповільнюється.	true
ground_types_tooltip_forest	Ліс. Тут легко сховати війська, але швидкість їх пересування падає.	true
ground_types_tooltip_burnt	Випалена земля. Спалена рівнина, де повітря насичене димом і попелом.	true
ground_types_tooltip_scrub	Чагарник	true
ground_types_tooltip_grass	Луки. Немає кращого місця для прогулянки пішки чи верхи.	true
ground_types_tooltip_sharp_stones	Гостре каміння. Кам’яні поля, навмисно розкладені, щоб сповільнити ворога.	true
ground_types_tooltip_sand	Пісок. Грубий, шорсткий, докучливий — і проникає всюди.	true
ground_types_tooltip_snow	Сніг. Милує око, але холодний і нещадний для тих, хто мусить його долати.	true
ground_types_tooltip_road	Дороги. Всі загони пересуваються швидше.	true
ground_types_tooltip_rock	Скелі. Там, де важко втримати впевнену ходу.	true
ground_types_tooltip_wooden_floor	Дерев’яний настил. Підлога будівель і бойових укріплень.	true
ground_types_tooltip_deep_water	Глибокі води. Для кожного — потонути або плисти.	true
ground_types_tooltip_mud	Бруд. Жалюгідне трясовиння, що змушує важко пробиратися.	true
