key	text	tooltip
#Loc;1;text/db/historical_characters.loc		
historical_characters_on_screen_name_att_bel_photius	Фотій	true
historical_characters_on_screen_name_ollam_ri_pillage	Лютий король-оллам	true
historical_characters_on_screen_name_att_bel_ioannina	Іоанніна	true
historical_characters_on_screen_name_att_bel_narses	Нарсес	true
historical_characters_on_screen_name_ollam_ri_wisdom	Мудрий король-оллам	true
historical_characters_on_screen_name_ollam_ri_bounty	Багатий король-оллам	true
historical_characters_on_screen_name_att_hist_char_hunni_attila_the_hun	Гун Аттіла	true
historical_characters_on_screen_name_ybor_wrath	Ібор, гнів Годана	true
historical_characters_on_screen_name_ollam_ri_judgement	Рішучий король-оллам	true
historical_characters_on_screen_name_ybor_poet	Ібор, скальд Годана	true
historical_characters_on_screen_name_ollam_ri_obstinance	Непохитний король-оллам	true
historical_characters_on_screen_name_ybor_healer	Ібор, цілитель Годана 	true
historical_characters_on_screen_name_ybor_prophet	Ібор, пророк Годана	true
historical_characters_on_screen_name_att_bel_anastasius	Анастазій	true
historical_characters_on_screen_name_att_bel_theodosius	Феодосій	true
