key	text	tooltip
#Loc;1;text/db/incidents.loc		
incidents_localised_title_att_dilemma_religious_tengri_religious_sanctions_1_FIRST	Свобода віросповідання	true
incidents_localised_description_att_incident_religious_arian_emmigration_1	У сусідніх землях поширюється аріанство: населення масово переходить в цю віру.	true
incidents_localised_description_slav_incident_venedians_bonus	Мій пане, перед нами відкрилася приваблива можливість. Гуни залишили нас у спокої і вирушили розоряти сусідні регіони, але вони не захоплюють їх, а лише грабують і спалюють все на своєму шляху. Землі, по яких вони пройшли, зараз беззахисні. Ми можемо забрати ці землі собі і вдихнути в них нове життя. Місцеві жителі будуть нам вдячні, а наша сила зросте. Вперед, мій пане, назустріч величі!	true
incidents_localised_title_att_subject_military_none_the_lanista_1_b	Ланіста	true
incidents_localised_title_att_subject_military_none_the_lanista_1_c	Ланіста	true
incidents_localised_title_att_subject_military_none_the_lanista_1_a	Ланіста	true
incidents_localised_title_att_subject_military_none_the_lanista_1_d	Ланіста	true
incidents_localised_title_att_incident_religious_chirstian_vandalism_religious_other	Християнський фанатизм	true
incidents_localised_description_cha_incident_verden_failure	Винищивши язичників, ви пробудили ненависть всього народу саксів. Ваші зазіхання на їхні звичаї та богів призвели до відкритого повстання. Принижені та ображені до глибини душі, вони більше не мають наміру терпіти. До зброї, в ім'я Господа, бо саксонська лють буде нещадною!	true
incidents_localised_description_att_incident_religious_orthodox_emmigration_1	У сусідніх землях поширюється православ'я: населення масово переходить в цю віру.	true
incidents_localised_title_att_eos_sassanid_insult_mid	Балаканина	true
incidents_localised_title_att_eos_incident_marib_dam_1_fully_repaired	Супутня шкода	true
incidents_localised_description_att_incident_religious_chirstian_vandalism_religious_zoroastrian_major_burial	Декрети Феодосія призвели до важких наслідків у всьому християнському світі. У запалі релігійної завзятості послідовники Христа прагнули знищити все «язичницьке», в тому числі книги і твори мистецтва.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_C	Правда про злочини цього лиходія і вашу участь в його долі врешті-решт вийшла назовні. Містом ходять розмови про ваше боягузтво. Честь вашої родини заплямована назавжди.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_B	Злочинець був засуджений до смерті. Ваше рішення притягнути його до відповідальності всі визнали справедливим.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_A	Ваші люди вбили вільновідпущеника і кинули його в річку; незабаром роздутий труп був знайдений рибалками. Хоча ніхто не має прямих доказів, по місту вже ходять різні чутки...	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_D	Вільновідпущеник пішов з вашого дому. Ходять чутки, що брати вбитого врешті-решт помстилися йому...	true
incidents_localised_description_cha_incident_rebels_ireland	Ірландці пам'ятають свою довгу і багату історію. Століттями живши самі по собі, вони ненавидять будь-яке чужеземне ярмо. У відповідь на спробу поневолення вони підняли заколот, щоб звільнити Зелений острів раз і назавжди.	true
incidents_localised_description_att_subject_religious_barb_stones_i_D	Ви послали туди своїх людей. Коли вони прибули на місце, земля вже перестала тремтіти, а кам'яні воїни повернулися до свого вічного сну. Вашому народу нічого не загрожує.	true
incidents_localised_title_att_subject_religious_zoroastrian_pilgrims_1_SECOND	Паломники	true
incidents_localised_description_att_subject_religious_barb_stones_i_A	Поклавши руки на камені, мудрець читав заклинання всю ніч. Коли зійшло сонце, камені як і раніше стояли. Духи полеглих воїнів не вирвалися зі своєї темниці.	true
incidents_localised_description_att_subject_religious_barb_stones_i_B	Коли ви вийшли вперед з підношенням, один із каменів раптово впав і розколовся надвоє. Народ у жаху, бо тепер дух ворога вільно розгулює серед нас.	true
incidents_localised_description_att_subject_religious_barb_stones_i_C	Як тільки кров забарвила камені, земля перестала тремтіти. Народ славить вашу винахідливість.	true
incidents_localised_title_att_subject_politics_civil_challenger_i_D	Вискочень	true
incidents_localised_title_att_eos_incident_religious_event_rebellion_att_fact_axum_att_rel_semitic_paganism	Релігійне повстання!	true
incidents_localised_title_att_subject_politics_civil_challenger_i_B	Вискочень	true
incidents_localised_title_att_subject_politics_civil_challenger_i_C	Вискочень	true
incidents_localised_title_att_subject_politics_civil_challenger_i_A	Вискочень	true
incidents_localised_description_cha_incident_rebels_croatia	Коли ви вперше підкорили слов'ян, вони схилилися перед вами. Але ці горді люди більше не бажають бути вашими рабами. Ви гнобили їхню віру, підриваючи самі основи життя. І ось, вони відкопують стародавню зброю, щоб підняти її проти вас.\\nЇхні армії продовжать поширювати язичництво, поки не будуть знищені.	true
incidents_localised_title_att_incident_religious_zoroastrian_emmigration_1	Еміграція	true
incidents_localised_title_att_eos_incident_tanukhid_mission_1	Зустріч з Мавією – загроза	true
incidents_localised_title_att_eos_incident_tanukhid_mission_3	Зустріч з Мавією – коронація	true
incidents_localised_title_att_eos_incident_tanukhid_mission_2	Зустріч з Мавією – звільнення	true
incidents_localised_title_cha_incident_rebels_saxony	Саксонське повстання	true
incidents_localised_title_att_political_action_incident_diminish_popularity_followup_lynched_target	За заслугами	true
incidents_localised_description_cha_incident_rome_attacked	Воістину, сьогодні чорний день! Вороги напали на Рим; Святий Престол знову опоганений пролиттям крові. Не дивно, що для християн усього світу настав час великої скорботи.	true
incidents_localised_description_cha_incident_carloman_2_bankroll	Гроші виявилися не гірші за мечі: заплативши сепаратистам, ви зобов'язали їх прийняти ваші умови. На ваші кошти вони купили зброю і підготували повстання, яке дозволило їм захопити більшу частину колишніх земель Карломана. Потім вони принесли клятву вірності і передали знову захоплені землі вам. Ви зуміли уникнути великої війни; вдавшись до хитрості замість сили, ви остаточно послабили прихильників свого брата і одночасно розширили власні кордони. Тепер перед вами стоїть новий вибір: продовжити об'єднання земель або зупинитися на досягнутому і зайнятися іншими справами.	true
incidents_localised_description_cha_incident_seasonal_drought	Через тривалу спеку пересохли всі колодязі й канали. Врожаї загинули ще на корені, а худоба голодує. Населення стурбоване загрозою голоду.	true
incidents_localised_title_att_incident_event_festival	Свято	true
incidents_localised_description_att_subject_domestic_barb_nomad_hostile_dispute_i_A	Ви суворо покарали сина і відіслали його геть зализувати рани. Чутки про це дійшли до ворожого племені, яке залишилося задоволеним. Однак син пробачить вас ще не скоро...	true
incidents_localised_description_att_subject_domestic_barb_nomad_hostile_dispute_i_B	Зі зникненням вашого сина в племені запанував мир. Тепер люди можуть спокійно жити, не побоюючись чергової витівки цього шибеника. З іншого боку, ваша дружина зовсім іншої думки...	true
incidents_localised_description_att_subject_domestic_barb_nomad_hostile_dispute_i_C	Заступившись за сина, ви заплямували свою репутацію. Прихильники стали менше вам довіряти, а вороги вважають вас безвольним і залежним.	true
incidents_localised_description_att_subject_domestic_barb_nomad_hostile_dispute_i_D	Ви проігнорували витівку свого сина. Проблема з сусіднім племенем вирішилася сама собою, але хто знає, що ваш непосидючий нащадок витворять наступного разу?	true
incidents_localised_title_cha_incident_lombard_pope_demands_3	Обіцянка ломбардів	true
incidents_localised_title_cha_incident_lombard_pope_demands_1	Обіцянка ломбардів	true
incidents_localised_title_cha_incident_lombard_pope_demands_4	Обіцянка ломбардів	true
incidents_localised_title_cha_incident_lombard_pope_demands_5	Відлучення від церкви	true
incidents_localised_title_political_event_assassination_failure_retaliation	Змова вбивць	true
incidents_localised_description_att_political_action_incident_divorce_success	Шлюбні узи не завжди бувають священними. Цей персонаж розлучився.	true
incidents_localised_title_att_incident_religious_chirstian_vandalism_religious_zoroastrian_major_fire	Християнський фанатизм	true
incidents_localised_description_att_incident_religious_germanic_emmigration_1	У сусідніх землях поширюється германське язичництво: населення масово переходить в цю віру.	true
incidents_localised_title_att_subject_diplomatic_none_the_feast_1_a	Бенкет	true
incidents_localised_title_att_subject_diplomatic_none_the_feast_1_b	Бенкет	true
incidents_localised_title_att_subject_diplomatic_none_the_feast_1_c	Бенкет	true
incidents_localised_description_att_dilemma_religious_orthodox_religious_sanctions_1_FIRST	Грецькі християни в захваті від вашої віротерпимості. Вони збираються на вулицях і прославляють свого милостивого правителя.	true
incidents_localised_description_att_dilemma_religious_germanic_religious_sanctions_1_FIRST	Язичники в захваті від вашої віротерпимості. Вони збираються на вулицях і прославляють свого милостивого правителя.	true
incidents_localised_title_cha_incident_seasonal_trade_muslim	Ярмарок	true
incidents_localised_description_cha_incident_saxon_1	Король франків Карл Великий продовжує насаджувати християнство з усією можливою завзятістю. Дехто з саксів вже звернувся до «Істинного Бога», але більшість продовжує чинити опір чужій релігії - часом зі зброєю в руках. Нещодавно ваші воїни напали на почет франкського монарха, чим дуже сильно розгнівали його. Захопивши їх у полон, Карл Великий поставив перед вами ультиматум: або ви приймете християнство, або бунтівники будуть страчені. Вибір за вами, але врахуйте: ваше рішення матиме далекосяжні наслідки.	true
incidents_localised_title_att_incident_setback_piracy	Піратство	true
incidents_localised_description_att_incident_disaster_drought_spreads	Посуха триває. Води залишилося так мало, що вона коштує дорожче за золото. Тільки найбагатші можуть дозволити собі уникнути спраги.	true
incidents_localised_description_att_dilemma_religious_hellenic_martyrdom_1	Смерть за віру - найбільша честь. Цей мученик став справжнім героєм для свого народу.	true
incidents_localised_description_slav_incident_sclaveneans_1	Світ гине. З північного заходу стрімко котиться орда гунів, спалюючи все на своєму шляху. Рано чи пізно вона опиниться біля нашого порогу. Але ми, склавини, не підкоряємося нікому - а значить, не поступимося і цим дикунам. Коли вони прийдуть, ми відкинемо їх назад у степ, звідки вони з'явилися. Не щадіть ворогів і не опускайте зброю!	true
incidents_localised_description_att_political_action_generic_followup_devotion_male	Ця людина вдячна вам за допомогу, надану в ході недавньої політичної інтриги.	true
incidents_localised_title_att_political_action_incident_assassinate_followup_bloody_revenge	Кровна помста	true
incidents_localised_description_att_eos_incident_religious_event_rebellion_att_fact_axum_att_rel_church_east	Ось відповідь на твою відмову: фанатики повстали проти твого царства зі зброєю в руках! Вони рвуться захопити твій трон і правити твоєю країною. Потрібно діяти швидко і рішуче, щоб раз і назавжди покінчити з бунтівниками і зміцнити свою владу. Перемігши єретиків, ти будеш винагороджений сповна.	true
incidents_localised_description_cha_incident_rebels_denmark	Вам вдалося приборкати гордих і лютих вікінгів, але вони не забули ні старих богів, ні старих звичаїв. У відповідь на утиски своєї віри вони підняли заколот. Їх єресь благородна, але залишається єрессю. Її необхідно викорінити.\\nЇхні армії продовжать поширювати язичництво, поки не будуть знищені.	true
incidents_localised_description_att_political_action_incident_become_retainer_failure	Не у всіх є час чекати. Бажання цієї людини служити високопоставленому панові залишилося без уваги.	true
incidents_localised_description_cha_incident_carloman_2_alliance	Зараз син Карломана лише безвусий юнак, але колись він стане чоловіком і займе трон. Ваша доброта до племінника стала свідченням тісного зв'язку між двома королівствами франків, який збережеться через століття. Можливо, разом ви зможете перемогти всіх ворогів? Якщо так, то колись Європою будуть правити франки - дві держави, що діють як одна. Що ж стосується нинішніх часів, то своїм рішенням поставити сімейну честь вище особистої слави ви заслужили загальну повагу підданих.	true
incidents_localised_description_att_incident_religious_tengri_emmigration_1	У сусідніх землях поширюється культ Тенгрі: населення масово переходить в цю віру.	true
incidents_localised_description_slav_incident_venedians_2_2	Ваша хоробра і благородна відмова пробудила гнів орди. Вже зараз гуни кидають на нас зловісні погляди. Ми повинні як слід підготуватися до їх нападу - а в тому, що він буде, немає ніяких сумнівів. Гуни не прощають непокірних.	true
incidents_localised_description_slav_incident_venedians_2_1	Гуни пішли, задоволені зібраною даниною і гостинністю нашого народу. Їх милість - рідкісний і цінний товар в ці непрості роки. Безсумнівно, орда ще повернеться, але часу, який ми виграли, вистачить, щоб як слід підготуватися до нової зустрічі.	true
incidents_localised_description_att_subject_religious_zoroastrian_corpse_i_D	Рідні цієї людини простежать, щоб його дружина була похована належним чином. Сам він переселився в будинок свого брата.	true
incidents_localised_description_att_subject_religious_zoroastrian_corpse_i_A	Людина явно збожеволіла, тому її родині доведеться заплатити штраф. Народ задоволений вашим справедливим рішенням і поблажливістю до убогого.	true
incidents_localised_description_att_subject_religious_zoroastrian_corpse_i_B	Порушник спочив разом із трупом своєї дружини. Народ задоволений, що ви не дозволяєте мертвим перебувати серед живих.	true
incidents_localised_description_att_subject_religious_zoroastrian_corpse_i_C	Дізнавшись, що зробив цей чоловік, його сусіди обурилися тим, що ви дозволили йому творити таке. Незабаром чутки про це поширилися серед народу...	true
incidents_localised_description_att_subject_religious_manichaeism_pilgrims_1_SECOND	Свято Бема заборонено, а маніхейцям наказано не збиратися на публіці.	true
