key	text	tooltip
#Loc;1;text/db/land_units.loc		
land_units_onscreen_name_mk_bulg_t1_heavy_spearmen	Списоносці деспота (Ранні)	true
land_units_onscreen_name_mk_bulg_t2_heavy_spearmen	Списоносці деспота (Старші)	true
land_units_onscreen_name_mk_bulg_t3_heavy_spearmen	Списоносці деспота (Пізні)	true
land_units_onscreen_name_att_rom_civilian_townsfolk	Мирні жителі	true
land_units_onscreen_name_cha_vik_axe_freemen	Селяни з сокирами	true
land_units_onscreen_name_att_merc_nor_nordic_brigade	Наймана група сканд. воїнів	true
land_units_onscreen_name_att_mar_est_sassanid_bowman_marines	Морські стрільці Сасанідів	true
land_units_onscreen_name_att_nom_steppe_mounted_tribespeople	Кінні степовики	true
land_units_onscreen_name_mk_gran_t3_ghumara_tribal_gunners	Джумарські мідфаія	true
land_units_onscreen_name_mk_vlach_t3_curteni_foot_archers	Піші куртені	true
land_units_onscreen_name_mk_vlach_t2_voynik_archer_spearmen	Волоські войники (Старші)	true
land_units_onscreen_name_mk_vlach_t3_voynik_archer_spearmen	Волоські войники (Пізні)	true
land_units_onscreen_name_mk_rum_t1_martolos_crossbowmen	Мартолоси з арбалетами (Ранні)	true
land_units_onscreen_name_cha_mus_armoured_cav	Обладункова кіннота	true
land_units_onscreen_name_mk_tre_t1_tourkoupoloi	Туркополи (Ранні)	true
land_units_onscreen_name_mk_nic_t1_siphonatores	Сифонатори (Ранні)	true
land_units_onscreen_name_mk_rus_t3_pomostniki_cavalry	Помісники	true
land_units_onscreen_name_mk_mio_t1_templar_confraters	Побратими тамплієрів	true
land_units_onscreen_name_mk_epi_t3_tzangratoroi	Цангратори (Пізні)	true
land_units_onscreen_name_mk_zag_t2_hara_sagarat_guard	Хара сагарат	true
land_units_onscreen_name_cha_cel_levy_archers	Лучники-новобранці	true
land_units_onscreen_name_att_mar_rom_roman_artillery_dbl_crew	Римські інженери	true
land_units_onscreen_name_mk_ayy_t2_bedouin_camel_riders	Урбан ат-Таа на верблюдах (Старші)	true
land_units_onscreen_name_bel_ost_milites_comitatenses	Комітатські війська	true
land_units_onscreen_name_att_merc_nom_steppe_raiders	Наймані степові розбійники	true
land_units_onscreen_name_mk_byz_naval_t3_handgunner	Ромейські моряки-стрільці (Пізні)	true
land_units_onscreen_name_att_merc_nom_steppe_lancers	Наймані степові кін. списники	true
land_units_onscreen_name_att_mar_cel_celtic_light_marauders	Легкоозброєні кельтські грабіжники	true
land_units_onscreen_name_att_mar_nor_nordic_light_marauders	Легкоозброєні скандинавські грабіжники	true
land_units_onscreen_name_att_nom_chosen_uar_warriors	Добірні варські воїни	true
land_units_onscreen_name_mk_rus_naval_t1_ushkuinik	Ушкуйники	true
land_units_onscreen_name_mk_rus_naval_t2_ushkuinik	Ушкуйники	true
land_units_onscreen_name_mk_rus_naval_t3_ushkuinik	Ушкуйники	true
land_units_onscreen_name_att_mar_nor_nordic_transport_crew	Скандинавська команда вантажного судна	true
land_units_onscreen_name_mk_ant_t1_mounted_serjeants	Кінні антіохійські сержанти (Ранні)	true
land_units_onscreen_name_mk_ant_t2_mounted_serjeants	Кінні антіохійські сержанти (Старші)	true
land_units_onscreen_name_mk_ant_t3_mounted_serjeants	Кінні антіохійські сержанти (Пізні)	true
land_units_onscreen_name_att_ger_visigothic_slingers	Вестготські пращники	true
land_units_onscreen_name_mk_merc_transox_t2_chagatai_horse_archers	Наймані чагатайські кінні лучники (Старші)	true
land_units_onscreen_name_mk_merc_transox_t3_chagatai_horse_archers	Наймані чагатайські кінні лучники (Пізні)	true
land_units_onscreen_name_mk_fre_t1_chevaliers_mounted	Французькі лицарі (Ранні)	true
land_units_onscreen_name_mk_fre_t2_chevaliers_mounted	Французькі лицарі (Старші)	true
land_units_onscreen_name_mk_fre_t3_chevaliers_mounted	Французькі лицарі (Пізні)	true
land_units_onscreen_name_mk_mil_t1_foot_knights	Піші італійські латники (Ранні)	true
land_units_onscreen_name_mk_hun_t3_szekely_lofo_HA	Секейські кінні лучники	true
land_units_onscreen_name_cha_lom_levy	Ломбардські новобранці	true
land_units_onscreen_name_mk_swi_t2_konstafler	Констафлери (Старші)	true
land_units_onscreen_name_mk_tou_t1_chevaliers_mounted	Тулузькі лицарі (Ранні)	true
land_units_onscreen_name_mk_tou_t2_chevaliers_mounted	Тулузькі лицарі (Старші)	true
land_units_onscreen_name_mk_tou_t3_chevaliers_mounted	Тулузькі лицарі (Пізні)	true
land_units_onscreen_name_mk_hre_t1_konstafler	Констафлери (Ранні)	true
land_units_onscreen_name_mk_hre_t2_konstafler	Констафлери (Старші)	true
land_units_onscreen_name_mk_fre_t1_arbaletriers_mounted	Французькі кінні арбалетники (Ранні)	true
land_units_onscreen_name_mk_epi_t2_tzangratoroi	Цангратори (Старші)	true
land_units_onscreen_name_cha_lom_levy_archers	Лучники-новобранці	true
land_units_onscreen_name_mk_aus_t1_konstafler	Констафлери (Ранні)	true
land_units_onscreen_name_mk_aus_t2_konstafler	Констафлери (Старші)	true
land_units_onscreen_name_mk_pis_t1_foot_knights	Піші італійські латники (Ранні)	true
land_units_onscreen_name_mk_zag_t2_horse_sewa	Кінні чоуа (Старші)	true
