key	text	tooltip
#Loc;1;text/db/military_force_legacy_names.loc		
military_force_legacy_names_localised_name_mk_army_eas_legacy_alexanderatt_sub_cult_barbarian_germanic_west	Спадкоємці Рюрика	true
military_force_legacy_names_localised_name_cha_navy_gen_holy_seabel_sub_cult_romancha_attila	Святе море	true
military_force_legacy_names_localised_name_att_legacy_roman_west_emperor_furyatt_sub_cult_roman_westmk_attila_late	Гнів Імператора	true
military_force_legacy_names_localised_name_cha_army_lom_spirits_enduranceatt_sub_cult_roman_eastcha_attila	Стійкі душі	true
military_force_legacy_names_localised_name_att_legacy_roman_east_pegasus_wingsatt_sub_cult_roman_eastmk_attila_late	Крила пегаса	true
military_force_legacy_names_localised_name_cha_army_mus_fists_cordobaatt_sub_cult_eastern_sassanidcha_attila	Кулаки Кордови	true
military_force_legacy_names_localised_name_mk_army_eas_protectors_palaceatt_sub_cult_barbarian_germanic_west	Захисники палацу	true
military_force_legacy_names_localised_name_att_legacy_barbarian_celtic_cernunos_hornsatt_sub_cult_barbarian_celtic	Роги Кернунна	true
military_force_legacy_names_localised_name_cha_navy_avar_waterbound_survivorsatt_sub_cult_nomadic_sarmatiancha_attila	Долаючі воду	true
military_force_legacy_names_localised_name_cha_navy_mus_cresting_wavesatt_sub_cult_eastern_sassanidcha_attila	Гребені хвиль	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_sassanid_tide_scourgeatt_sub_cult_eastern_sassanidmk_attila_late	Бич узбереж	true
military_force_legacy_names_localised_name_att_legacy_barbarian_germanic_west_sons_of_bearsatt_sub_cult_barbarian_germanic_westmk_attila_late	Ведмежі кігті	true
military_force_legacy_names_localised_name_mk_navy_nom_mad_raidersatt_sub_cult_nomadic_hunnic	Безумні нальотники	true
military_force_legacy_names_localised_name_att_legacy_barbarian_germanic_west_dragonslayersatt_sub_cult_barbarian_germanic_westmk_attila_late	Вбивці	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_celtic_oak_ridersatt_sub_cult_barbarian_celtic	Наїзники дуба	true
military_force_legacy_names_localised_name_att_legacy_barbarian_celtic_rolling_menhirsatt_sub_cult_barbarian_celtic	Біжучі менгіри	true
military_force_legacy_names_localised_name_mk_army_ara_heroes_caliphateatt_sub_cult_eastern_desert	Герої халіфату	true
military_force_legacy_names_localised_name_mk_legacy_african_navy_fleet_silkatt_sub_cult_eastern_caucasian	Шовковий флот	true
military_force_legacy_names_localised_name_cha_army_mus_lions_shahadaatt_sub_cult_eastern_sassanidcha_attila	Леви Шахади	true
military_force_legacy_names_localised_name_cha_army_lom_men_gastaldatt_sub_cult_roman_eastcha_attila	Воїни гастальда	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_desert_harbingers_houratt_sub_cult_eastern_desertmk_attila_late	Вісники часу	true
military_force_legacy_names_localised_name_mk_army_eas_emperors_vanguardatt_sub_cult_barbarian_germanic_west	Княжий загін	true
military_force_legacy_names_localised_name_mk_army_eas_lights_absolutionatt_sub_cult_barbarian_germanic_west	Вогні визволення	true
military_force_legacy_names_localised_name_mk_army_nom_warriors_old_waysatt_sub_cult_nomadic_hunnic	Воїни старих традицій	true
military_force_legacy_names_localised_name_att_legacy_nomadic_sarmatian_riders_roughatt_sub_cult_nomadic_sarmatian	Невтомні вершники	true
military_force_legacy_names_localised_name_cha_army_eng_terror_wessexatt_sub_cult_barbarian_germanic_westcha_attila	Гроза Вессекса	true
military_force_legacy_names_localised_name_mk_army_ara_pride_islamatt_sub_cult_eastern_desert	Гордість ісламу	true
military_force_legacy_names_localised_name_att_legacy_eastern_caucasian_undying_survivorsatt_sub_cult_eastern_caucasianmk_attila_late	Переможці смерті	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_celtic_sea_horsesatt_sub_cult_barbarian_celtic	Морські коники	true
military_force_legacy_names_localised_name_mk_army_eas_hunters_heresyatt_sub_cult_eastern_sassanid	Мисливці за єрессю	true
military_force_legacy_names_localised_name_mk_army_eas_inheritors_poweratt_sub_cult_barbarian_germanic_west	Спадкоємці влади	true
military_force_legacy_names_localised_name_mk_army_eas_heroes_among_menatt_sub_cult_barbarian_germanic_east	Герої серед людей	true
military_force_legacy_names_localised_name_att_legacy_nomadic_sarmatian_larch_childrenatt_sub_cult_nomadic_sarmatian	Таємниця модрини	true
military_force_legacy_names_localised_name_att_legacy_barbarian_germanic_west_friagabis_championsatt_sub_cult_barbarian_germanic_westmk_attila_late	Герої Фріагабіс	true
military_force_legacy_names_localised_name_att_legacy_eastern_caucasian_manticore_clawsatt_sub_cult_eastern_caucasianmk_attila_late	Жало мантікори	true
military_force_legacy_names_localised_name_att_legacy_eastern_desert_allatu_heraldsatt_sub_cult_eastern_desertmk_attila_late	Гінці Аллат	true
military_force_legacy_names_localised_name_cha_navy_slav_storm_bringersatt_sub_cult_barbarian_germanic_eastcha_attila	Буреносці	true
military_force_legacy_names_localised_name_att_legacy_barbarian_germanic_west_howlign_fistsatt_sub_cult_barbarian_germanic_westmk_attila_late	Ревна десниця	true
military_force_legacy_names_localised_name_mk_army_wes_defenders_faithatt_sub_cult_roman_west	Захисники віри	true
military_force_legacy_names_localised_name_att_legacy_eastern_sassanid_watchmenatt_sub_cult_eastern_sassanidmk_attila_late	Хранителі	true
military_force_legacy_names_localised_name_att_legacy_barbarian_germanic_east_bloodswornatt_sub_cult_barbarian_germanic_eastmk_attila_late	Клятва на крові	true
military_force_legacy_names_localised_name_mk_army_nom_reckoningatt_sub_cult_nomadic_hunnic	Розплата	true
military_force_legacy_names_localised_name_mk_navy_balt_storm_bringersatt_sub_cult_barbarian_germanic_north	Буревісники	true
