key	text	tooltip
#Loc;1;text/db/ministerial_positions_strings.loc		
ministerial_positions_strings_on_screen_att_minister_string_barbarian_1_retainer	Тисяцький	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_2_master_supplies	Мухтасіб	true
ministerial_positions_strings_on_screen_att_minister_string_sands_negus_negast_aksum	Негус нагаст	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_3_master_infantry	Мустауфі	true
ministerial_positions_strings_on_screen_cha_minister_royal_companion	Королівський супутник	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_3_judge	Тивун	true
ministerial_positions_strings_on_screen_cha_minister_royal_protector	Королівський захисник	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_great_kan	Хан	true
ministerial_positions_strings_on_screen_cha_minister_marshal_court	Маршал двору	true
ministerial_positions_strings_on_screen_mk_minister_byz_4_logothetes	Логофет	true
ministerial_positions_strings_on_screen_cha_minister_courtier	Придворний	true
ministerial_positions_strings_on_screen_cha_minister_retainer	Слуга	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_2_noble	Посадник	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_6_high_judge	Воєвода	true
ministerial_positions_strings_on_screen_att_minister_string_sands_lord_of_jews_himyar	Владика іудеїв	true
ministerial_positions_strings_on_screen_cha_minister_noble	Аристократ	true
ministerial_positions_strings_on_screen_cha_minister_missi_dominici	Missus Dominicus	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_5_venerable_elder	Чербі	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_2_grand_despoiler	Даруга	true
ministerial_positions_strings_on_screen_cha_minister_comes	Коміт	true
ministerial_positions_strings_on_screen_cha_minister_vizier	Візир	true
ministerial_positions_strings_on_screen_att_minister_string_roman_supreme_commander	Канцлер	true
ministerial_positions_strings_on_screen_placeholder	[Placeholder]	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_foot	Барон скарбниці	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_4_noble_companion	Бей	true
ministerial_positions_strings_on_screen_bel_minister_string_generic	Ватажок	true
ministerial_positions_strings_on_screen_cha_minister_marshal	Маршал	true
ministerial_positions_strings_on_screen_mk_minister_byz_3_protostrator	Протостратор	true
ministerial_positions_strings_on_screen_cha_leader_duke	Герцог	true
ministerial_positions_strings_on_screen_cha_leader_emir	Емір	true
ministerial_positions_strings_on_screen_att_minister_string_sands_king_or_arabs	Цар всіх арабів	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_4_tribal_chief	Намісник	true
ministerial_positions_strings_on_screen_cha_minister_earldoman	Елдормен	true
ministerial_positions_strings_on_screen_cha_leader_king	Король	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_soldiers	Шателен	true
ministerial_positions_strings_on_screen_cha_leader_wali	Валі	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_5_master_guard	Арід аль-Джаїш	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_4_master_horse	Емір	true
ministerial_positions_strings_on_screen_att_minister_string_roman_emperor	Король	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_6_supreme_commander	Візир	true
ministerial_positions_strings_on_screen_cha_minister_magistrate	Магістрат	true
ministerial_positions_strings_on_screen_cha_minister_seneschal	Сенешаль	true
ministerial_positions_strings_on_screen_mk_minister_byz_6_megas_domestikos	Великий доместик	true
ministerial_positions_strings_on_screen_cha_minister_chief_justice_court	Голова Верховного суду	true
ministerial_positions_strings_on_screen_mk_minister_byz_2_kephale	Кефал	true
ministerial_positions_strings_on_screen_cha_minister_master_court	Майордом	true
ministerial_positions_strings_on_screen_cha_minister_master_horse	Головний конюший	true
ministerial_positions_strings_on_screen_cha_minister_chamberlain	Камерарій	true
ministerial_positions_strings_on_screen_cha_leader_pope	Папа	true
ministerial_positions_strings_on_screen_cha_minister_gastald_lom	Гастальд	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_1_dread_rider	Багатур	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_king_of_kings	Султан	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_offices	Коннетабль	true
ministerial_positions_strings_on_screen_mk_minister_string_roman_emperor	Василевс	true
ministerial_positions_strings_on_screen_cha_minister_count_palace	Граф-палатин	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_horse	Маршал	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_high_king	Великий князь	true
ministerial_positions_strings_on_screen_cha_leader_kagan	Каган	true
ministerial_positions_strings_on_screen_mk_minister_byz_1_megas_stratopedarches	Великий стратопедарх	true
ministerial_positions_strings_on_screen_att_minister_string_roman_commander_chief	Протовестиарій	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_6_kan	Чинсанг	true
ministerial_positions_strings_on_screen_cha_minister_marshal_army	Маршал армії	true
ministerial_positions_strings_on_screen_cha_leader_dux	Вождь	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_1_castellan	Каді	true
ministerial_positions_strings_on_screen_att_minister_string_roman_military_count	Прево	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_5_warlord	Дворський	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_3_glorious_subjugator	Тархан	true
