key	text	tooltip
#Loc;1;text/db/mkscript_campaign_localised_strings.loc		
campaign_localised_strings_string_mk_faction_armenian_kingdom	Вірменське царство	true
campaign_localised_strings_string_mk_faction_armenian_kingdom_objective	Захопіть регіони Двін і Ван.	true
campaign_localised_strings_string_mk_faction_byzantine_empire	Візантійська імперія	true
campaign_localised_strings_string_mk_faction_byzantine_empire_objective	Захопіть регіон Константинополь.	true
campaign_localised_strings_string_mk_faction_goldenhorde	Золота Орда	true
campaign_localised_strings_string_mk_faction_goldenhorde_objective	Захопіть регіони Саксин, Біляр, Сувар, Дербент, Тана, Курськ, Рязань, Шарукань, Кафа і Білгород.	true
campaign_localised_strings_string_mk_faction_holy_roman_empire	Священна Римська імперія	true
campaign_localised_strings_string_mk_faction_ilkhanate	Ільханат	true
campaign_localised_strings_string_mk_faction_ilkhanate_objective	Захопіть регіони Бушир, Шираз, Керман, Ахваз, Ісфахан, Єзд, Гамадан, Тебріз, Рей, Нішапур, Мерв, Герат, Зарандж, Пахра і Ормуз.	true
campaign_localised_strings_string_mk_faction_italian_kingdom	Італійське королівство	true
campaign_localised_strings_string_mk_faction_italian_kingdom_objective	placeholder	true
campaign_localised_strings_string_mk_faction_polish_kingdom	Королівство Польське	true
campaign_localised_strings_string_mk_faction_polish_kingdom_objective	Захопіть регіони Гданськ, Познань, Вроцлав і Краків.	true
campaign_localised_strings_string_mk_faction_roman_empire	Римська імперія	true
campaign_localised_strings_string_mk_faction_serbian_kingdom	Королівство Сербія	true
campaign_localised_strings_string_mk_faction_spanish_kingdom	Королівство Іспанія	true
campaign_localised_strings_string_mk_faction_spanish_kingdom_objective	Захопіть всі регіони в Іспанії, за винятком тих, які спочатку належали Португалії.	true
campaign_localised_strings_string_mk_mission_crusades_take_jerusalem	Захопіть регіон Єрусалим.	true
campaign_localised_strings_string_mk_mission_story_england_take_normandy	Захопіть регіон Руан.	true
campaign_localised_strings_string_mk_mission_story_england_war_with_france	Ведіть війну з Францією.	true
campaign_localised_strings_string_mk_mission_story_france_survive_invasion	Подбайте про те, щоб регіон Руан не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_mission_story_hre_hold_frankfurt	Утримуйте регіон Франкфурт або вбийте фальшивого імператора, не допускаючи загибелі лідера вашої фракції.	true
campaign_localised_strings_string_mk_mission_story_sicily_take_frankfurt	Захопіть регіон Франкфурт або вбийте імператора Священної Римської імперії, не допускаючи загибелі лідера вашої фракції.	true
campaign_localised_strings_string_mk_story_spanish_reconquista_objective	Досягніть того, щоб весь Піренейський півострів належав тільки католицьким фракціям.	true
campaign_localised_strings_string_public_order_pope	Відлучення	true
campaign_localised_strings_string_public_order_pope_tooltip	Ваше відлучення дуже сильно вплинуло на стан громадського порядку	true
campaign_localised_strings_string_unit_restriction_mk_cuman_t1_light_HA	[[col:red]]Для найму цього загону половці спочатку повинні оселитися на вашій території.[[/col]]	true
campaign_localised_strings_string_unit_restriction_mk_cuman_t1_light_lancers	[[col:red]]Для найму цього загону половці спочатку повинні оселитися на вашій території.[[/col]]	true
campaign_localised_strings_string_mk_crusades_defend_aegyptus_alexandria_objective	Подбайте про те, щоб регіон Александрія не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_aegyptus_oxyrhynchus_objective	Подбайте про те, щоб регіон Каїр не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_africa_carthago_objective	Подбайте про те, щоб регіон Туніс не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_aquitania_elusa_objective	Подбайте про те, щоб регіон Тулуза не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_baetica_corduba_objective	Подбайте про те, щоб регіон Кордова не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_britannia_superior_londinium_objective	Подбайте про те, щоб регіон Лондон не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_carthaginensis_toletum_objective	Подбайте про те, щоб регіон Толедо не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_germania_uburzis_objective	Подбайте про те, щоб регіон Франкфурт не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_italia_roma_objective	Подбайте про те, щоб регіон Рим не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_lugdunensis_turonum_objective	Подбайте про те, щоб регіон Париж не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_macedonia_thessalonica_objective	Подбайте про те, щоб регіон Фессалоніки не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_palaestinea_aelia_capitolina_objective	Подбайте про те, щоб регіон Єрусалим не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_syria_antiochia_objective	Подбайте про те, щоб регіон Антиохія не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_tarraconensis_tarraco_objective	Подбайте про те, щоб регіон Барселона не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_defend_thracia_constantinopolis_objective	Подбайте про те, щоб регіон Константинополь не потрапив до рук ворога.	true
campaign_localised_strings_string_mk_crusades_take_aegyptus_alexandria_objective	Захопіть регіон Александрія або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_aegyptus_oxyrhynchus_objective	Захопіть регіон Каїр або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_africa_carthago_objective	Захопіть регіон Туніс або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_aquitania_elusa_objective	Захопіть регіон Тулуза або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_baetica_corduba_objective	Захопіть регіон Кордова або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_britannia_superior_londinium_objective	Захопіть регіон Лондон або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_carthaginensis_toletum_objective	Захопіть регіон Толедо або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_germania_uburzis_objective	Захопіть регіон Франкфурт або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_italia_roma_objective	Захопіть регіон Рим або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_lugdunensis_turonum_objective	Захопіть регіон Париж або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_macedonia_thessalonica_objective	Захопіть регіон Фессалоніки або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_palaestinea_aelia_capitolina_objective	Захопіть регіон Єрусалим або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_syria_antiochia_objective	Захопіть регіон Антиохія або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_tarraconensis_tarraco_objective	Захопіть регіон Барселона або надайте допомогу іншій католицькій фракції в його захопленні.	true
campaign_localised_strings_string_mk_crusades_take_thracia_constantinopolis_objective	Захопіть регіон Константинополь або надайте допомогу іншій католицькій фракції в його захопленні.	true
