key	text	tooltip
#Loc;1;text/db/mkscript_cdir_events_dilemma_choice_details.loc		
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_sicily_war_with_hreSECOND	Ви вирішили залишитися в Сицилії, захищаючи своє нинішнє королівство і розширюючи свої володіння традиційним способом.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_sicily_war_with_hreFIRST	Ви вирішуєте вступити у війну за трон з імператором Оттоном IV, хоча в разі вашого успіху Папа вимагатиме, щоб ви відмовилися від своїх сицилійських володінь.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_hungary_cumans_fleeing_mongolsSECOND	Ви вирішили відмовити половцям у переселенні на ваші землі.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_hungary_cumans_fleeing_mongolsFIRST	Ви вирішили дозволити половцям оселитися.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_france_pursue_englandSECOND	Немає ніякої необхідності в ще більшому взаємному кровопролитті, особливо тоді, коли наші армії можуть знадобитися в іншому місці.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_france_pursue_englandFIRST	Ми перетнемо Англійський канал і перенесемо війну на їхні землі.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_france_english_rebels_allianceSECOND	Ці англійські барони - не більше ніж ще одна перешкода на шляху до панування Франції.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_france_english_rebels_allianceFIRST	Барони Англії стануть добрими союзниками у війні проти англійської корони.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_england_war_with_franceSECOND	Король відсиджується у своєму замку, занадто сильно турбуючись за свій трон, щоб дати бій французам. Наслідки напевно дадуть про себе знати найближчим часом...	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_england_war_with_franceFIRST	Король сказав своє слово - підіймайте прапори, готуйте кораблі. Війна почалася...	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_england_magna_cartaSECOND	Ви відмовляєтеся підписати такий обурливий документ! Це неодмінно призведе до громадянської війни.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_story_england_magna_cartaFIRST	Ви неохоче підписуєте Велику хартію вольностей, обмежуючи тим самим свою королівську владу, але хоча б заспокоюючи своїх васалів... на якийсь час.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_rome_attacked_christianSECOND	Розграбувати Ватикан, спалити його дотла! Обезголовити Папу!	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_rome_attacked_christianFIRST	Для наших стосунків з іншими країнами буде краще, якщо Папа Римський залишиться при владі, незважаючи на наші з ним розбіжності.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_islam_hajjTHIRD	Ви вирішили відкласти паломництво на п'ять років. Це питання доведеться вирішити в майбутньому.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_islam_hajjSECOND	Ви вирішили відкласти паломництво на рік. Це питання доведеться вирішити в майбутньому.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_islam_hajjFOURTH	Ви вирішили не вирушати до Мекки, сильно розгнівавши своїх родичів і викликавши обурення своїх підданих.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_islam_hajjFIRST	Ви починаєте готуватися до подорожі до Мекки.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_crusades_join_fifth_crusadeSECOND	Ви вирішили відмовитися від хрестового походу.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_crusades_join_fifth_crusadeFIRST	Ви приєднуєтеся до хрестового походу!	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_crusades_owned_targetFIRST	Ви підкоряєтеся вимогам Папи і втрачаєте всі свої володіння, придбані в хрестовому поході.	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_crusades_owned_targetSECOND	Ви відмовляєтеся виконувати вимоги Папи Римського. Зрештою, це ж ви виконали всю найважчу роботу!	true
cdir_events_dilemma_choice_details_localised_choice_title_mk_dilemma_crusades_owned_targetTHIRD	Ви вирішуєте продовжити наступ на Єрусалим, оскільки Папа Римський обіцяє залишити вам ваші надбання, якщо ви відвоюєте місто.	true
