key	text	tooltip
#Loc;1;text/db/mkscript_dfn_campaign_localised_strings.loc		
campaign_localised_strings_string_mk_fact_achaea_lvl1	Ахейське князівство	true
campaign_localised_strings_string_mk_fact_achaea_lvl2	Ахейське королівство	true
campaign_localised_strings_string_mk_fact_achaea_lvl3	Ахейська імперія	true
campaign_localised_strings_string_mk_fact_alania_lvl1	Царство Аланія	true
campaign_localised_strings_string_mk_fact_alania_lvl2	Царство Аланія	true
campaign_localised_strings_string_mk_fact_alania_lvl3	Аланська імперія	true
campaign_localised_strings_string_mk_fact_antioch_lvl1	Антіохійське князівство	true
campaign_localised_strings_string_mk_fact_antioch_lvl2	Антіохійське королівство	true
campaign_localised_strings_string_mk_fact_antioch_lvl3	Антіохійська імперія	true
campaign_localised_strings_string_mk_fact_aragon_lvl1	Арагонська корона	true
campaign_localised_strings_string_mk_fact_aragon_lvl2	Арагонська корона	true
campaign_localised_strings_string_mk_fact_aragon_lvl3	Арагонська імперія	true
campaign_localised_strings_string_mk_fact_aragon_lvl4	Королівство Іспанія	true
campaign_localised_strings_string_mk_fact_aragon_lvl5	Іспанська імперія	true
campaign_localised_strings_string_mk_fact_armenia_lvl1	Кілікійське царство	true
campaign_localised_strings_string_mk_fact_armenia_lvl2	Кілікійське царство	true
campaign_localised_strings_string_mk_fact_armenia_lvl3	Кілікійська імперія	true
campaign_localised_strings_string_mk_fact_armenia_lvl4	Вірменське царство	true
campaign_localised_strings_string_mk_fact_armenia_lvl5	Вірменська імперія	true
campaign_localised_strings_string_mk_fact_austria_lvl1	Герцогство Австрія	true
campaign_localised_strings_string_mk_fact_austria_lvl2	Ерцгерцогство Австрія	true
campaign_localised_strings_string_mk_fact_austria_lvl3	Австрійська імперія	true
campaign_localised_strings_string_mk_fact_ayyubids_lvl1	Султанат Аюбідів	true
campaign_localised_strings_string_mk_fact_ayyubids_lvl2	Султанат Аюбідів	true
campaign_localised_strings_string_mk_fact_ayyubids_lvl3	Імперія Аюбідів	true
campaign_localised_strings_string_mk_fact_bavaria_lvl1	Герцогство Баварія	true
campaign_localised_strings_string_mk_fact_bavaria_lvl2	Королівство Баварія	true
campaign_localised_strings_string_mk_fact_bavaria_lvl3	Баварська імперія	true
campaign_localised_strings_string_mk_fact_bohemia_lvl1	Королівство Богемія	true
campaign_localised_strings_string_mk_fact_bohemia_lvl2	Королівство Богемія	true
campaign_localised_strings_string_mk_fact_bohemia_lvl3	Богемська імперія	true
campaign_localised_strings_string_mk_fact_bologna_lvl1	Болонська комуна	true
campaign_localised_strings_string_mk_fact_bologna_lvl2	Болонська республіка	true
campaign_localised_strings_string_mk_fact_bologna_lvl3	Болонська імперія	true
campaign_localised_strings_string_mk_fact_bologna_lvl4	Італійське королівство	true
campaign_localised_strings_string_mk_fact_bologna_lvl5	Італійська імперія	true
campaign_localised_strings_string_mk_fact_brabant_lvl1	Герцогство Брабант	true
campaign_localised_strings_string_mk_fact_brabant_lvl2	Королівство Брабант	true
campaign_localised_strings_string_mk_fact_brabant_lvl3	Брабантська імперія	true
campaign_localised_strings_string_mk_fact_brandenburg_lvl1	Маркграфство Бранденбург	true
campaign_localised_strings_string_mk_fact_brandenburg_lvl2	Королівство Бранденбург	true
campaign_localised_strings_string_mk_fact_brandenburg_lvl3	Бранденбурзька імперія	true
campaign_localised_strings_string_mk_fact_bulgaria_lvl1	Болгарське царство	true
campaign_localised_strings_string_mk_fact_bulgaria_lvl2	Болгарське царство	true
campaign_localised_strings_string_mk_fact_bulgaria_lvl3	Болгарська імперія	true
campaign_localised_strings_string_mk_fact_burgundy_lvl1	Бургундське герцогство	true
campaign_localised_strings_string_mk_fact_burgundy_lvl2	Бургундське королівство	true
campaign_localised_strings_string_mk_fact_burgundy_lvl3	Бургундська імперія	true
campaign_localised_strings_string_mk_fact_castile_lvl1	Королівство Кастилія	true
campaign_localised_strings_string_mk_fact_castile_lvl2	Королівство Кастилія	true
campaign_localised_strings_string_mk_fact_castile_lvl3	Кастильська імперія	true
campaign_localised_strings_string_mk_fact_castile_lvl4	Королівство Іспанія	true
