key	text	tooltip
#Loc;1;text/db/mkscript_dilemmas.loc		
dilemmas_localised_description_mk_dilemma_byzantium_greek_fire	Запаси текучого вогню почали вичерпуватися, незважаючи на всі ваші зусилля, тому настав час вирішити: чи слід вам заплатити непомірну суму, необхідну для поповнення запасів, або ж, можливо, настав час забути про цю чудо-зброю раз і назавжди?	true
dilemmas_localised_description_mk_dilemma_byzantium_greek_fire_explosion	Похмурі новини! Константинопольську гавань Контоскаліон сильно пошкодив вибух, викликаний випадковим загорянням запасів «грецького вогню». Витрати на ремонт пошкоджених будівель будуть величезними, але витрати на відновлення і виробництво «грецького вогню» будуть ще більшими.	true
dilemmas_localised_description_mk_dilemma_crusades_join_fifth_crusade	Настав час показати себе справжнім слугою Господа. Його Святість Папа Римський Гонорій III закликає всіх істинних християн Європи відгукнутися на його заклик до зброї. Головна мета хрестового походу - місто Каїр, і якщо воно буде взяте, то хрестоносці зможуть увійти в Святу землю і звільнити її від рук невірних раз і назавжди. Участь у хрестовому поході - серйозне зобов'язання, хоч він і обіцяє певну нагороду, але відмова від нього, в свою чергу, безсумнівно сильно засмутить Папу.	true
dilemmas_localised_description_mk_dilemma_crusades_owned_target	З захопленням мети хрестового походу у іновірців хрестоносці явно здобули перемогу. Однак тепер Папа вимагає, щоб всі надбання, захоплені під час хрестового походу, були передані Єрусалимському королівству, або ж, як альтернатива, щоб ви рушили на Єрусалим і взяли місто на користь Єрусалимського королівства.	true
dilemmas_localised_description_mk_dilemma_hre_border_dispute	Прикордонний спір між фракцією faction1 і фракцією faction2 нещодавно переріс у відкритий конфлікт між ними. Будучи імператором, ви повинні вибрати, яку з двох фракцій підтримати, щоб покласти край цій суперечці.	true
dilemmas_localised_description_mk_dilemma_hre_imperial_diet	Був скликаний Рейхстаг, на якому представники різних держав-членів імперії зібралися для обговорення політичних питань. Однак переговори між представниками фракції faction1 і фракції faction2 швидко переросли в запеклі суперечки. Ви можете підтримати одну з фракцій, знайти компроміс або ж висунути свою власну програму, незалежну від інших фракцій.	true
dilemmas_localised_description_mk_dilemma_hre_imperial_immediacy	Піддані фракції faction1 звернулися до вас з проханням надати їм імперський статус, підкоривши їх тим самим безпосередньо вам в обхід свого пана. Такий крок зміцнить вашу владу як імператора, але, швидше за все, розлютить фракцію faction1.	true
dilemmas_localised_description_mk_dilemma_hre_noble_conflict	Дворяни фракції faction1 і фракції faction2 деякий час перебували в суперечці один з одним, і тепер обидві сторони прагнуть представити вам свої аргументи. Будучи імператором, ви маєте право вирішити цю суперечку, хоча при цьому можете розлютити будь-яку зі сторін.	true
dilemmas_localised_description_mk_dilemma_hre_pretender_nomination	Невдоволений відсутністю богобоязливості або правлінням чинного імператора Священної Римської імперії, Папа Римський вирішив висунути прихильника своєї волі як претендента на імператорську корону. Його Святість обрав саме вас — як наймогутнішу державу християнського світу — щоби ви силою зброї здобули своє законне місце імператора Священної Римської імперії. Згода на виконання волі Його Святості, безсумнівно, призведе до війни з чинною імперською владою...	true
