key	text	tooltip
#Loc;1;text/db/mkscript_effect_bundles.loc		
effect_bundles_localised_description_mk_bundle_crusade_target	Хрестовий похід католицьких християн обрав метою ваші землі! Ваш народ мотивований захищати свою батьківщину від невірних до самої смерті, якщо це буде потрібно.	true
effect_bundles_localised_title_mk_bundle_hajj_did_not_go	Великий гріх	true
effect_bundles_localised_description_mk_bundle_the_new_emperor	Тепер у Священній Римській імперії править новий імператор, який зайняв трон за підтримки Папи Римського.	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_22	Імперія під контролем	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_1	Анексія васала - 1 регіон	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_10	Анексія васала - 10-15 регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_15	Анексія васала - 15-20 регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_2	Анексія васала - 2 регіони	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_20	Анексія васала - 20-25 регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_25	Анексія васала - 25+ регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_3	Анексія васала - 3 регіони	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_4	Анексія васала - 4 регіони	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_5	Анексія васала - 5 регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_6	Анексія васала - 6 регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_7	Анексія васала - 7 регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_8	Анексія васала - 8 регіонів	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_9	Анексія васала - 9 регіонів	true
effect_bundles_localised_title_mk_bundle_army_armenia_formed	Вірменія нарешті була завойована істинними вірменами! Тепер вони готові стати справжньою державою!	true
effect_bundles_localised_title_mk_bundle_christendoms_outcry	Крик обурення християнського світу	true
effect_bundles_localised_title_mk_bundle_christian_dejection	Зневіра християн	true
effect_bundles_localised_description_mk_bundle_byzantium_formed	Константинополь знову в руках римлян. Жоден претендент тепер не сміє претендувати на імператорський титул - тільки ви можете тепер називатися римським імператором, Василевсом.	true
effect_bundles_localised_title_mk_bundle_army_crusade_defense	Армія відсічі хрестоносцям	true
effect_bundles_localised_title_mk_bundle_crusade_target	Мета хрестового походу!	true
effect_bundles_localised_title_mk_bundle_army_crusade	Армія хрестоносців	true
effect_bundles_localised_description_mk_bundle_story_hungary_cumans	Половецькі біженці оселилися на ваших землях, що дає вам можливість набирати в свої війська їхні загони.	true
effect_bundles_localised_title_mk_bundle_crusade_target_lost	Поразка від хрестоносців!	true
effect_bundles_localised_description_mk_bundle_population_no_replenishment	Через нестачу в цьому регіоні необхідної кількості людей з одного або декількох класів населення поповнення військ неможливе.	true
