key	text	tooltip
#Loc;1;text/db/mkscript_message_event_text.loc		
message_event_text_text_mk_event_14th_century_primary	XIV століття	true
message_event_text_text_mk_event_14th_century_secondary	Кінець XIII століття ознаменувався закінченням своєрідної золотої епохи в Європі, оскільки XIV століття принесло тільки смерть і відчай. Катастрофічна зміна клімату, спустошливі епідемії та масові повстання ознаменували собою це століття.	true
message_event_text_text_mk_event_14th_century_title	На рубежі століть	true
message_event_text_text_mk_event_15th_century_primary	XV століття	true
message_event_text_text_mk_event_15th_century_secondary	У міру того як 1300-ті роки переходили в 1400-ті, світ побачив безліч змін. Використання пороху ставало все більш поширеним явищем, і все більше і більше артилерійських знарядь почали брати участь на полі бою.	true
message_event_text_text_mk_event_15th_century_title	На рубежі століть	true
message_event_text_text_mk_event_albigensian_crusade_title	Альбігойський хрестовий похід	true
message_event_text_text_mk_event_annexation_aborted_secondary	Анексія цієї васальної держави була перервана, тому що вона більше не є вашим васалом або вона була знищена.	true
message_event_text_text_mk_event_annexation_aborted_secondary_manual	Анексія цієї васальної держави була перервана вручну.	true
message_event_text_text_mk_event_annexation_aborted_title	Анексія перервана!	true
message_event_text_text_mk_event_annexed_vassal_secondary	Ця васальна держава була анексована дипломатичним шляхом і тепер повністю включена до складу вашої фракції.	true
message_event_text_text_mk_event_annexed_vassal_title	Анексований васал	true
message_event_text_text_mk_event_armenian_kingdom_formed_primary	Вірменське царство	true
message_event_text_text_mk_event_armenian_kingdom_formed_secondary	Вірменське царство, яке довгий час вважалося завойованим сельджуками, тепер відроджується з попелу. Мало хто міг передбачити, що Кілікійське царство відвоює свої споконвічні землі, але тепер Вірменія тріумфує, готова помститися всім своїм недоброзичливцям.	true
message_event_text_text_mk_event_armenian_kingdom_formed_title	Заснування царства	true
message_event_text_text_mk_event_black_death_primary	Спалах чуми	true
message_event_text_text_mk_event_black_death_secondary	З чуток з далеких країв доходять страшні звістки про жахливе море на сході, яке залишає за собою слід з почорнілих гнилих трупів. З цих розповідей зрозуміло одне: вона поширюється стрімко і вбиває без жалю. Найкращим варіантом було б підготуватися, бо насувається Чорна смерть.	true
message_event_text_text_mk_event_black_death_title	Чорна смерть	true
message_event_text_text_mk_event_byz_africa_reconquered_primary	Африка	true
message_event_text_text_mk_event_byz_africa_reconquered_secondary	Північна Африка, втрачена протягом більш ніж півтисячі років, нарешті була знову завойована Римською імперією. Повернення житниці Риму увійде в історію! Це славний день!	true
message_event_text_text_mk_event_byz_anatolia_reconquered_primary	Анатолія	true
message_event_text_text_mk_event_byz_anatolia_reconquered_secondary	Анатолія, що була полем битви між візантійцями і тюрками протягом останніх кількох століть, нарешті була повністю завойована імперією. Новоспечені грекомовні піддані тюрків тепер радіють, оскільки вони знову перебувають під владою Римської імперії.	true
message_event_text_text_mk_event_byz_antioch_reconquered_primary	Божий град Антіохія	true
message_event_text_text_mk_event_byz_antioch_reconquered_secondary	Велике місто Антіохія було знову завойоване своїми законними власниками - римлянами. Сподіваємося, що цього разу назавжди.	true
message_event_text_text_mk_event_byz_dalmatia_reconquered_primary	Далмація	true
message_event_text_text_mk_event_byz_dalmatia_reconquered_secondary	Фема Далмація, завойована Хорватією та Угорщиною понад сто років тому, нарешті була повернута імперії. Незважаючи на своє ненадійне розташування, Далмація, тим не менш, є цінним регіоном завдяки своїм прибережним містам і торговому потенціалу.	true
message_event_text_text_mk_event_byz_egypt_reconquered_primary	Єгипет	true
message_event_text_text_mk_event_byz_egypt_reconquered_secondary	Житниця Константинополя знову під візантійським контролем вперше з моменту його втрати в ході перших мусульманських завоювань. Єгипет знову стане важливим наріжним каменем подальшого процвітання славної Римської держави.	true
message_event_text_text_mk_event_byz_empire_restored_primary	Візантійська імперія	true
message_event_text_text_mk_event_byz_empire_restored_secondary_mk_fact_epirus	Більше немає ніякого Епірського царства, оскільки справжні римляни знову правлять в Константинополі. Справжня Римська імперія була відновлена, хоча претенденти на Заході і відмовилися б назвати її такою. Багато хто в межах імперії сподівається, що вона незабаром повернеться до своєї колишньої слави епохи до Франкократії. Незважаючи на своє хитке становище, Візантія повинна знову стати великою державою, як тільки тюрки в Анатолії та її суперники на Заході будуть переможені.	true
message_event_text_text_mk_event_byz_empire_restored_secondary_mk_fact_nicaea	Більше немає ніякої Нікейської імперії, оскільки справжні римляни знову правлять в Константинополі. Справжня Римська імперія була відновлена, хоча претенденти на Заході і відмовилися б назвати її такою. Багато хто в межах кордонів імперії сподівається, що вона незабаром повернеться до своєї колишньої слави епохи до Франкократії. Незважаючи на своє хитке становище, Візантія повинна знову стати великою державою, як тільки тюрки в Анатолії і її суперники на Заході будуть переможені.	true
message_event_text_text_mk_event_byz_empire_restored_secondary_mk_fact_trebizond	Більше немає ніякої Трапезундської імперії, оскільки справжні римляни знову правлять в Константинополі. Справжня Римська імперія була відновлена, хоча претенденти на Заході і відмовилися б назвати її такою. Багато хто в межах кордонів імперії сподіваються, що вона незабаром повернеться до своєї колишньої слави епохи до Франкократії. Незважаючи на своє хитке становище, Візантія повинна знову стати великою державою, як тільки тюрки в Анатолії та її суперники на Заході будуть переможені.	true
message_event_text_text_mk_event_byz_empire_restored_title	Відновлення імперії	true
message_event_text_text_mk_event_byz_greece_reconquered_primary	Греція	true
message_event_text_text_mk_event_byz_greece_reconquered_secondary	Латиняни нарешті були витіснені з Греції, і Візантійська імперія знову стала сильною. Цей день надовго запам'ятають в історії!	true
message_event_text_text_mk_event_byz_imperial_reconquest_title	Відвоювання імперії	true
message_event_text_text_mk_event_byz_italy_reconquered_primary	Італія	true
message_event_text_text_mk_event_byz_italy_reconquered_secondary	Мало хто міг уявити, що цей день колись настане. Після стількох років Італія нарешті була повернена назад. Рим знову знаходиться в руках справжніх римлян, і з часів великого Юстиніана римське панування в Італії жодного разу не було таким міцним. Не так давно Константинополь був захоплений латинянами. Тепер же духовна батьківщина латинян взята римлянами, і ніхто не зможе засумніватися в тому, чия імперія є по-справжньому римською.	true
message_event_text_text_mk_event_byz_oriens_reconquered_primary	Схід	true
message_event_text_text_mk_event_byz_oriens_reconquered_secondary	Палестина і Сирія тепер знаходяться під візантійським пануванням, і разом з встановленням контролю над святими землями зростає і повага до імперії.	true
message_event_text_text_mk_event_byz_pentarchy_primary	Відновлення Пентархії	true
message_event_text_text_mk_event_byz_pentarchy_secondary	Пентархія відновлена, оскільки Александрія, Антіохія, Константинополь, Єрусалим і Рим тепер знаходяться під владою римлян. Контроль над цими регіонами зміцнив авторитет православної церкви перед католицизмом. Мало хто тепер засумнівається в тому, що православна церква - єдина, істинна і первісна гілка християнства.	true
message_event_text_text_mk_event_byz_roman_empire_restored_primary	Римська імперія	true
message_event_text_text_mk_event_byz_roman_empire_restored_secondary	Тепер вже ніхто не зможе засумніватися в законності претензій Візантійської імперії на спадщину Риму. Як передова світова держава і володар території, небаченої в руках римлян з часів правління Юстиніана, Візантія тепер знаходиться в незаперечному становищі, щоб проголосити себе справжньою Римською імперією.	true
message_event_text_text_mk_event_college_of_cardinals_cardinal_added_secondary	Цей персонаж був визнаний Папою як людина виняткової віри і, таким чином, був призначений до Колегії кардиналів.	true
