key	text	tooltip
#Loc;1;text/db/mkscript_prologue_loading_screens.loc		
prologue_loading_screens_main_text_0	Test	true
prologue_loading_screens_title_0	Велика кампанія - 1212 р. н. е.	true
prologue_loading_screens_main_text_1	Test	true
prologue_loading_screens_title_1	Велика кампанія - 1212 р. н. е.	true
prologue_loading_screens_main_text_2	Test	true
prologue_loading_screens_title_2	Велика кампанія - 1212 р. н. е.	true
prologue_loading_screens_main_text_3	Test	true
prologue_loading_screens_title_3	Велика кампанія - 1212 р. н. е.	true
prologue_loading_screens_main_text_4	Test	true
prologue_loading_screens_title_4	Велика кампанія - 1212 р. н. е.	true
prologue_loading_screens_main_text_5	Test	true
prologue_loading_screens_title_5	Велика кампанія - 1212 р. н. е.	true
prologue_loading_screens_main_text_6	Test	true
prologue_loading_screens_title_6	Велика кампанія - 1212 р. н. е.	true
