key	text	tooltip
#Loc;1;text/db/mkscript_uied_component_texts.loc		
uied_component_texts_localised_string_Achievement_Progress_Text	Отримано досягнень: 0/0 (0%)	true
uied_component_texts_localised_string_Achievement_Unlocked_Text	Досягнення отримано!	true
uied_component_texts_localised_string_button_accept_Tooltip_1000043	Прийняти і відкрити	true
uied_component_texts_localised_string_button_accept_Tooltip_1000045	Прийняти і запустити	true
uied_component_texts_localised_string_button_annex_vassal_Tooltip_100001	Анексувати васала||Натисніть цю кнопку, щоб анексувати вибрану фракцію. Якщо вона неактивна, то обрана фракція або не є вашим васалом, або ще не минуло 20 ходів з того моменту, як вона стала васалом.	true
uied_component_texts_localised_string_button_cancel_Tooltip_1000042	Скасувати	true
uied_component_texts_localised_string_button_challenges_Tooltip_390068	Випробування	true
uied_component_texts_localised_string_button_change_capital_Tooltip	Змінити столицю||Перенесіть столицю своєї фракції в цей регіон. Ця дія відкриє вікно із запитом.	true
uied_component_texts_localised_string_button_college_of_cardinals_Tooltip_100666	Колегія кардиналів	true
uied_component_texts_localised_string_button_confirm_Tooltip_2d0066	Найняти загони хрестоносців	true
uied_component_texts_localised_string_button_decision_Tooltip_19003e	Рішення||Ухвалюйте рішення, які можуть вплинути на вашу фракцію або вашого лідера.	true
uied_component_texts_localised_string_button_gift_region_Tooltip	Подарувати регіон союзнику||Відкрийте список союзників і васалів, яким можна подарувати цей регіон.	true
uied_component_texts_localised_string_button_hre_Tooltip_19003e	Священна Римська імперія||Перегляд інформації про Священну Римську імперію та взаємодія з її державами-членами.	true
uied_component_texts_localised_string_button_join_crusade_Tooltip_100003	Відправити цю армію в хрестовий похід!	true
uied_component_texts_localised_string_button_MOTD_Tooltip_001212	Discord-конференція MK1212	true
uied_component_texts_localised_string_button_MOTD_Tooltip_101212	Інформація про оновлення	true
uied_component_texts_localised_string_button_pope_Tooltip_19666e	Папство||Перегляд панелі Папства та управління його справами.	true
uied_component_texts_localised_string_button_random_faction_Tooltip_19003f	Випадковий вибір фракції!	true
uied_component_texts_localised_string_button_release_buffer_state_Tooltip_100002	Звільнити буферну державу||Звільніть васальну буферну державу в цьому регіоні.	true
uied_component_texts_localised_string_button_select_NewState_Text_3a0063	Вибір кампанії	true
uied_component_texts_localised_string_button_trade_regions_Tooltip_100090	Обмін регіонами||Натисніть цю кнопку, щоб відкрити панель дипломатії для обміну регіонами. Якщо вона виділена сірим кольором, це означає, що обрана фракція не може обмінюватися з вами регіонами, ймовірно, через те, що або знаходиться в стані війни, або у неї відсутні доступні для обміну регіони.	true
uied_component_texts_localised_string_button_txt_NewState_Text_100047	Збільшити кількість слотів	true
uied_component_texts_localised_string_button_txt_NewState_Text_300066	Показати попередження про скрипт-сценарії	true
uied_component_texts_localised_string_button_txt_NewState_Text_b002e	Активувати випробування	true
uied_component_texts_localised_string_CoC_Heading_Text_Title	Колегія кардиналів	true
uied_component_texts_localised_string_date_NewState_Text_1e000f	Складність: Висока	true
uied_component_texts_localised_string_dy_achievement_description_Text	dy_achievement_description	true
uied_component_texts_localised_string_dy_achievement_name_Text	dy_achievement_name	true
uied_component_texts_localised_string_dy_cardinal_age_Text	16	true
uied_component_texts_localised_string_dy_cardinal_faction_Text	dy_cardinal_faction	true
uied_component_texts_localised_string_dy_cardinal_level_Text	5	true
uied_component_texts_localised_string_dy_cardinal_name_Text	dy_cardinal_name	true
uied_component_texts_localised_string_dy_cardinal_rank_Text	Кардинал	true
uied_component_texts_localised_string_dy_cardinals_Text_100071	Кардинали	true
uied_component_texts_localised_string_dy_conditions_NewState_Text_36005e	Умови	true
uied_component_texts_localised_string_dy_faction_rank_NewState_Text_33	N/A	true
uied_component_texts_localised_string_dy_faction_state_Tooltip_100034	Ця фракція - член Священної Римської імперії!	true
uied_component_texts_localised_string_dy_imperial_authority_NewState_Text_100031	40/100	true
uied_component_texts_localised_string_dy_ironman_NewState_Text_9005e	Режим «Незламний»: Відключено	true
uied_component_texts_localised_string_dy_pope_name_Text	dy_pope_name	true
uied_component_texts_localised_string_dy_population_NewState_Text_100007	Невід.	true
uied_component_texts_localised_string_dy_preferati_Text_100070	Преферати	true
uied_component_texts_localised_string_dy_regions_in_HRE_NewState_Text_100024	1	true
uied_component_texts_localised_string_dy_unlock_date_Text	Досягнення не отримано!	true
uied_component_texts_localised_string_game_name_NewState_Text_3a001f	Це Total War!	true
uied_component_texts_localised_string_header_faction_NewState_Text_410063	Особливість фракції	true
uied_component_texts_localised_string_heading_tx_NewState_Text_23001c	Випробування	true
uied_component_texts_localised_string_heading_tx_NewState_Text_6e002a	Досягнення	true
uied_component_texts_localised_string_heading_txt_0_Text_1000041	Відкрити Discord-конференцію MK1212?	true
uied_component_texts_localised_string_heading_txt_0_Text_1000044	Запустити виконуваний файл, щоб збільшити жорстко закодоване число слотів для будівництва?	true
uied_component_texts_localised_string_heading_txt_0_Text_1000045	Запустити виконуваний файл, щоб перемістити столицю в регіон dy_region?	true
uied_component_texts_localised_string_HRE_Button_Title_Back_Candidate	Підтримати кандидата	true
uied_component_texts_localised_string_HRE_Button_Title_Cast_Vote	Проголосувати	true
uied_component_texts_localised_string_HRE_Button_Title_Close_Panel	Закрити панель	true
uied_component_texts_localised_string_HRE_Button_Title_Information	Деталі	true
uied_component_texts_localised_string_HRE_Button_Title_Policies	Укази	true
uied_component_texts_localised_string_HRE_Hbar_Heading_Text_Authority	Імперська влада: (40 / 100)	true
uied_component_texts_localised_string_HRE_Hbar_Heading_Text_Decrees	Поточний указ: Немає	true
uied_component_texts_localised_string_HRE_Hbar_Heading_Text_Faction_Name	dy_faction_name	true
uied_component_texts_localised_string_HRE_Heading_Text_Title	Священна Римська імперія	true
uied_component_texts_localised_string_HRE_Panel_Heading_Text_Reforms	Підтримка наступної реформи: (6 / 18)	true
uied_component_texts_localised_string_HRE_Tooltip_Tab_Information	Ця вкладка містить детальну інформацію про обрану державу-члена Священної Римської імперії, а також виборчі можливості.	true
uied_component_texts_localised_string_HRE_Tooltip_Tab_Policies	Ця вкладка, відкрити яку можна тільки граючи за імператора, містить імператорські укази, дія яких може мати різні позитивні та негативні ефекти.	true
uied_component_texts_localised_string_ironman_mode_tx_NewState_Text_100050	«Незламний»	true
uied_component_texts_localised_string_ironman_mode_tx_Tooltip_100048	Встановіть тут прапорець, щоб активувати режим «Незламний».||- Доступ до досягнень MK1212.\\n- Автоматично активує налаштування «Щасливі нації».\\n- Ручне збереження вимкнено.\\n- Гра автоматично зберігається на початку і в кінці ходу.\\n- Гра автоматично зберігається перед і після битви.\\n- Гра автоматично зберігається при оголошенні вам або вами війни або при укладенні мирного договору.	true
uied_component_texts_localised_string_LandBanner_1_Text_300000		true
uied_component_texts_localised_string_lucky_nations_tx_NewState_Text_100051	«Щасливі нації»	true
uied_component_texts_localised_string_lucky_nations_tx_Tooltip_100049	Встановіть тут прапорець, щоб активувати налаштування «Щасливі нації».||- Надає деяким ШІ-фракціям невеликі бонуси в битвах з авторозрахунком, вербуванні та доходах.\\n - Це налаштування допомагає деяким ШІ-фракціям вижити на пізніх етапах гри.	true
uied_component_texts_localised_string_max_units_Tooltip_1e0666	Доступна кількість загонів хрестоносців	true
uied_component_texts_localised_string_merch_type_crusader_Tooltip_3f0666	Загін хрестоносців||Цей загін доступний для найму армії, якщо та знаходиться в хрестовому поході. Загони хрестоносців можуть бути набрані безкоштовно під час хрестових походів в регіонах, де більшість населення сповідує католицизм. Однак їх кількість обмежена і не поповниться до початку наступного хрестового походу.	true
uied_component_texts_localised_string_offers_title_faction_left_Text_001212	Запропонувати регіон	true
uied_component_texts_localised_string_pope_election_panel_Heading_Text	Конклав	true
uied_component_texts_localised_string_string_NewState_Text_10008	Досягнення	true
uied_component_texts_localised_string_string_NewState_Text_1c0025	Велика кампанія	true
uied_component_texts_localised_string_tab_events_Tooltip_3b006eqg	Необхідні регіони: (0 / 0)	true
uied_component_texts_localised_string_text_tx_NewState_Text_100040	Підтвердження відкриє запрошення до Discord-конференції MK1212 у вашому інтернет-браузері.	true
uied_component_texts_localised_string_text_tx_NewState_Text_100046	Щоб збільшити жорстко закодовану в інтерфейсі користувача кількість слотів для будівництва з 6 до 10, необхідно запустити виконуваний файл, який збільшить жорстко закодоване в пам'яті значення. Прийняття цього запиту разархівує вбудований в скрипт виконуваний файл в каталог гри і запустить його.\\n\\nПРИМІТКА: ПРАЦЮЄ ТІЛЬКИ НА ОС СІМЕЙСТВА WINDOWS	true
uied_component_texts_localised_string_text_tx_NewState_Text_100047	Щоб змінити столицю вашої фракції, скрипт-сценарії автоматично збережуть вашу гру, змінять її за допомогою виконуваного файлу, а потім перезавантажать кампанію зі зміненого файлу збереження. Якщо ви граєте на легендарному рівні складності, вам потрібно буде вручну перезавантажити своє збереження, щоб все запрацювало.\\n\\nПРИМІТКА: ПРАЦЮЄ ТІЛЬКИ НА ОС СІМЕЙСТВА WINDOWS	true
uied_component_texts_localised_string_textpanel_NewState_Text_000666	Його Святість відправився на зустріч з Творцем, і тепер потрібно скликати Колегію кардиналів для обрання нового Папи з їх числа. Оскільки у вашої фракції є принаймні один служитель церкви в Колегії кардиналів, ви зможете віддати свій голос, щоб допомогти визначити, хто стане наступним Папою Римським.	true
uied_component_texts_localised_string_tx_allies_Text_100082	Союзники	true
uied_component_texts_localised_string_tx_cardinal_age_Text	Вік:	true
uied_component_texts_localised_string_tx_cardinal_faction_Text	Фракція:	true
uied_component_texts_localised_string_tx_cardinal_level_Text	Рівень:	true
uied_component_texts_localised_string_tx_cardinal_name_Text	Ім'я:	true
uied_component_texts_localised_string_tx_chapter_select_NewState_Text_290078	Вибір дати початку	true
uied_component_texts_localised_string_tx_chosen_candidate_NewState_Text_100032	Обраний кандидат:	true
uied_component_texts_localised_string_tx_elections_Tooltip_100035	Вибори	true
uied_component_texts_localised_string_tx_faction_rank_NewState_Text_7c006e	Статус фракції:	true
uied_component_texts_localised_string_tx_header_NewState_Text_90059	Велика кампанія	true
uied_component_texts_localised_string_tx_imperial_authority_NewState_Text_100030	Влада:	true
uied_component_texts_localised_string_tx_population_NewState_Text_100006	Населення:	true
uied_component_texts_localised_string_tx_regions_in_HRE_NewState_Text_10023	Регіонів в СРІ:	true
uied_component_texts_localised_string_tx_title_NewState_Text_10080	Союзні фракції	true
uied_component_texts_localised_string_tx_type_battle_Text_6b003b	Складність: Висока	true
uied_component_texts_localised_string_tx_vassals_Text_100081	Васали	true
uied_component_texts_localised_string_tx_votes_NewState_Text_100033	Голосів:	true
uied_component_texts_localised_string_unit_tier_Tooltip_100052	13-те століття	true
uied_component_texts_localised_string_unit_tier_Tooltip_100053	14-те століття	true
uied_component_texts_localised_string_unit_tier_Tooltip_100054	15-те століття	true
