key	text	tooltip
#Loc;1;text/db/names.loc		
names_name_2147380140	Альда	true
names_name_2147380540	Сікст IV	true
names_name_2147381340	Агнеса	true
names_name_2147382040	Маріану	true
names_name_2147382240	Рафаїл	true
names_name_2147382540	Персі	true
names_name_2147382740	Хакім	true
names_name_2147383240	Мелессе	true
names_name_2147383740	Святослав	true
names_name_2147384540	Гупольд	true
names_name_2147384740	Рутгер	true
names_name_2147385340	Бедржих	true
names_name_2147386340	Йожеф	true
names_name_2147386740	Іоланда	true
names_name_2147386840	Матильда	true
names_name_2147386940	Абель	true
names_name_2147387940	Ейнар	true
names_name_2147388240	Самунд	true
names_name_2147388440	Едла	true
names_name_2147388840	Ховард	true
names_name_2147389240	Рагнфріда	true
names_name_2147390541	Еліз	true
names_name_2147380141	Алтун	true
names_name_2147380641	Аугусто	true
names_name_2147381341	Агостіна	true
names_name_2147381441	Береніче	true
names_name_2147382041	Маріейо	true
names_name_2147382141	Мойсей-Георгій	true
names_name_2147382941	Сісай	true
names_name_2147383641	Перегрін	true
names_name_2147383841	Збишко	true
names_name_2147384241	Бальдаріх	true
names_name_2147384641	Лютберт	true
names_name_2147385541	Міліч	true
names_name_2147385741	Сигізмунд	true
names_name_2147385941	Лібуше	true
names_name_2147386341	Ене	true
names_name_2147387241	Олуф	true
names_name_2147388041	Густав	true
names_name_2147388141	Коль	true
names_name_2147389441	Георгій	true
names_name_2147389641	Станіслав	true
names_name_2147389941	Тетяна	true
names_name_2147390040	Олександр	true
names_name_2147390440	Закаре	true
names_name_2147390540	Даліта	true
names_name_2147391040	Наср	true
names_name_2147322348	Наміорікс	true
names_name_2147322848	Аннавос	true
names_name_2147323248	Адгелей	true
names_name_2147323548	Дубнія	true
names_name_2147325448	Курігальзу	true
names_name_2147326048	Едіній	true
names_name_2147326148	Арсіній	true
names_name_2147327048	Муцій	true
names_name_2147328548	Барбат	true
names_name_2147328848	Дентер	true
names_name_2147329948	Дентон	true
names_name_2147330549	Тудітана	true
names_name_2147330949	Горація	true
names_name_2147332949	Адалард	true
names_name_2147333149	Арегісел	true
names_name_2147333849	Гунтрам	true
names_name_2147334149	Леудаст	true
names_name_2147334849	Віллігард	true
names_name_2147335349	Хамесінда	true
names_name_2147335449	Інгоберга	true
names_name_2147336849	Оарозбалакос	true
names_name_2147337649	Геміті	true
names_name_2147380242	Лашин	true
names_name_2147380342	Гоштасп	true
names_name_2147380442	Бенедикт XI	true
names_name_2147380542	Інокентій VIII	true
names_name_2147381142	Оттоне	true
names_name_2147381542	Євдокія	true
names_name_2147381742	Гуалтеріо	true
names_name_2147382642	Беріхун	true
names_name_2147382742	Хаеран	true
names_name_2147383042	Іекуно-Амлак	true
names_name_2147383142	Дебре	true
names_name_2147383242	Нішан	true
names_name_2147383442	Гауденцій	true
names_name_2147383742	Щенсний	true
names_name_2147384142	Мирослава	true
names_name_2147384242	Бальдевін	true
names_name_2147384542	Якоб	true
names_name_2147385042	Хайке	true
names_name_2147385142	Ізентруда	true
names_name_2147386442	Нандор	true
names_name_2147386542	Вільмош	true
names_name_2147387142	Йорген	true
names_name_2147387542	Фрея	true
names_name_2147387642	Кірстен	true
