key	text	tooltip
#Loc;1;text/db/naval_units.loc		
naval_units_onscreen_name_cha_castle_dromon	Дромон з вежею	true
naval_units_onscreen_name_att_lib_heavy_mis_sco_wr	Піратська лібурна з балістою	true
naval_units_onscreen_name_att_lib_heavy_mel_ft_ger	Бойова лібурна з вежею	true
naval_units_onscreen_name_cha_kuyl	Куїл	true
naval_units_onscreen_name_att_dro_light_mel_fs_nor	Легкий дромон з грецьким вогнем	true
naval_units_onscreen_name_mk_oar_dromon_small_t1_naft_mus	Вогнеметний шині	true
naval_units_onscreen_name_mk_sail_dhow_large_t3_gun	Гарматний самбук	true
naval_units_onscreen_name_cha_coracle	Коракль	true
naval_units_onscreen_name_cha_long_fhada_mis	Лімфад	true
naval_units_onscreen_name_att_dro_light_mel_fs_eas	Легкий дромон з грецьким вогнем	true
naval_units_onscreen_name_mk_oar_longship_large_t1	Дракар	true
naval_units_onscreen_name_att_dro_heavy_mel_fs_eas	Дромон з грецьким вогнем	true
naval_units_onscreen_name_att_dro_heavy_mel_ft_eas	Бойовий дромон з вежею	true
naval_units_onscreen_name_mk_sail_dhow_large_t2_tra	Транспортна багала	true
naval_units_onscreen_name_mk_sail_dhow_large_t1_tra	Транспортна багала	true
naval_units_onscreen_name_mk_sail_dhow_large_t2_art	Осадна багала	true
naval_units_onscreen_name_mk_sail_dhow_large_t3_art	Бомбова багала	true
naval_units_onscreen_name_mk_sail_dhow_large_t1_art	Осадна багала	true
naval_units_onscreen_name_att_dro_light_mel_fs_cel	Вогнеметний корабель	true
naval_units_onscreen_name_att_dro_light_mel_fs_ger	Легкий дромон з грецьким вогнем	true
naval_units_onscreen_name_mk_sail_nave_small_t1_tra	Легке транспортне судно	true
naval_units_onscreen_name_mk_sail_nave_small_t1_art	Легке облогове судно	true
naval_units_onscreen_name_cha_dromonian_galley_mis	Бойова галера	true
naval_units_onscreen_name_cha_longship_mis	Дракар	true
naval_units_onscreen_name_cha_kondura	Кондура	true
naval_units_onscreen_name_cha_dromont	Дромон	true
naval_units_onscreen_name_cha_sae_wylfing_mis	Севюльфінг	true
naval_units_onscreen_name_mk_sail_dhow_large_t1_med	Маркаб	true
naval_units_onscreen_name_cha_longboat_mis	Довга лодія	true
naval_units_onscreen_name_att_dro_light_mis_sco_er	Легкий дромон з балістою	true
naval_units_onscreen_name_mk_sail_dhow_small_t3_gun	Гарматний джалбут	true
