key	text	tooltip
#Loc;1;text/db/political_parties.loc		
political_parties_name_localised_mk_politics_ayyubid_council	Інші родини	true
political_parties_description_localised_mk_politics_antioch_council	Коли король вважає за потрібне, він радиться з наймудрішими та найдосвідченішими представниками знаті.	true
political_parties_description_localised_mk_politics_castile_council	Коли король вважає за потрібне, він радиться з наймудрішими та найдосвідченішими представниками знаті.	true
political_parties_description_localised_mk_politics_almohad_council	Коли король вважає за потрібне, він радиться з наймудрішими та найдосвідченішими представниками знаті.	true
political_parties_description_localised_mk2_politics_artuq_council	Сановники - це урядові чиновники, міністри і високопоставлені воєначальники, що обмежують вплив могутніх знатних родів.	true
political_parties_name_localised_mk2_politics_bosnia_ruler	Династія Костроманичів	true
political_parties_name_localised_mk_politics_denmark_ruler	Династія Естрідсенів	true
political_parties_name_localised_mk2_politics_separatists_navarre_council	Інші родини	true
political_parties_description_localised_pro_politics_visigothi_ruler	Спочатку вестготи жили в Дакії і були осілими землеробами. Покинувши рідні краї під натиском степових народів, вони виявили схильність до військової справи.	true
political_parties_name_localised_mk_politics_dauphine_council	Інші родини	true
political_parties_description_localised_mk2_politics_separatists_denmark_council	Коли король вважає за потрібне, він радиться з наймудрішими і найдосвідченішими представниками знаті.	true
political_parties_description_localised_mk2_politics_separatists_whitehorde_council	Старійшини знатних монгольських родів вважаються особливо мудрими, тому їх поради мають найбільшу цінність для воєначальника.	true
political_parties_name_localised_mk2_politics_separatists_brandenburg_ruler	Династія Люксембургів	true
political_parties_name_localised_mk_politics_timurids_ruler	Династія Тимуридів	true
political_parties_description_localised_mk_politics_provence_ruler	Коли король вважає за потрібне, він радиться з наймудрішими і найдосвідченішими представниками знаті.	true
political_parties_name_localised_cha_politics_mercia_ruler	Інклінги	true
political_parties_description_localised_mk_politics_georgia_council	Коли король вважає за потрібне, він радиться з наймудрішими і найдосвідченішими представниками знаті.	true
political_parties_name_localised_mk2_politics_verona_ruler	Рід делла Скала	true
political_parties_name_localised_mk2_politics_serbia_ruler	Династія Лазаревичів	true
political_parties_name_localised_mk_politics_england_ruler	Анжуйська династія	true
political_parties_name_localised_mk_politics_ireland_ruler	Рід Конхобайр	true
political_parties_name_localised_mk_politics_mamluks_ruler	Династія Бахрітів	true
political_parties_description_localised_mk2_politics_separatists_granada_council	Коли король вважає за потрібне, він радиться з наймудрішими і найдосвідченішими представниками знаті.	true
political_parties_description_localised_mk2_politics_separatists_venice_ruler	Змістивши Меровінгів, нащадки Карла Мартелла стали правити землями франків з благословення Папи Римського.	true
political_parties_description_localised_mk2_politics_separatists_candar_ruler	Сасаніди відродили перську культуру після довгих років еллінізації. Їх суспільство має жорстку ієрархію, на вершині якої стоїть шахіншах - Цар царів.	true
political_parties_description_localised_mk2_politics_separatists_mentese_council	Сановники - це урядові чиновники, міністри і високопоставлені воєначальники, що обмежують вплив могутніх знатних родів.	true
political_parties_name_localised_mk2_politics_verona_council	Інші патриції	true
political_parties_description_localised_mk2_politics_separatists_jalayirids_council	Старійшини знатних монгольських родів вважаються особливо мудрими, тому їхні поради мають найбільшу цінність для воєначальника.	true
political_parties_description_localised_mk2_politics_france_council	Коли король вважає за потрібне, він радиться з наймудрішими і найдосвідченішими представниками знаті.	true
political_parties_description_localised_att_politics_himyar_separatist_ruler	Оточені давніми ворогами і нещодавно змінивши віру, войовничі царі Хім'яра не терплять жодної загрози своїй владі.	true
political_parties_description_localised_mk2_politics_separatists_hospitaller_ruler	Змістивши Меровінгів, нащадки Карла Мартелла стали правити землями франків з благословення Папи Римського.	true
political_parties_name_localised_mk_politics_portugal_ruler	Династія Афонсіна	true
political_parties_description_localised_att_politics_franci_separatist_ruler	Франки - це конфедерація германських племен, що колись жили в нижній і середній течії Рейну. Боротьба на боці Риму в якості федератів, вони зуміли створити досить незалежну державу в провінції Галлія.	true
political_parties_description_localised_mk2_politics_separatists_mihrabanids_ruler	Сасаніди відродили перську культуру після довгих років еллінізації. Їх суспільство має жорстку ієрархію, на вершині якої стоїть шахіншах - Цар царів.	true
political_parties_name_localised_mk_politics_bologna_ruler	Сім'я Джеремеї	true
political_parties_name_localised_mk_politics_ottoman_ruler	Династія Османів	true
political_parties_name_localised_mk2_politics_separatists_whitehorde_ruler	Рід Борджигін	true
