key	text	tooltip
#Loc;1;text/db/projectile_shot_type_enum.loc		
projectile_shot_type_enum_button_tooltip_text_small_arm_heavy	Важкий постріл||Краще пробиває обладунки, але завдає меншої звичайної шкоди і довше перезаряджається. Найбільш ефективний проти воїнів у важких обладунках. Значення можуть змінюватися залежно від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_torch	Смолоскип	true
projectile_shot_type_enum_button_tooltip_text_small_arm_default	Звичайний снаряд||Це звичайний тип стрільби для даного виду військ. Значення можуть змінюватися в залежності від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_default	Звичайний снаряд||Це звичайний тип стрільби для даного виду військ. Значення можуть змінюватися в залежності від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_explosive	Вибуховий снаряд||Завдає більшої шкоди, але довше перезаряджається. Найбільш ефективний проти цілей, що стоять щільним строєм. Значення можуть змінюватися в залежності від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_flaming	Вогняний постріл||Підриває бойовий дух і завдає більшої звичайної шкоди, але гірше пробиває броню. Найбільш ефективний проти споруд і воїнів в легких обладунках. Значення можуть змінюватися в залежності від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_whistling	Свистячий постріл||Завдає незначної шкоди, але супроводжується лякаючим звуком. Послаблює бойовий дух, атаку в ближньому бою та швидкість стрільби цілі й будь-яких загонів, над якими пролітає. Значення можуть змінюватися залежно від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_flammable	Вогняний снаряд||Завдає шкоди, яку не зменшують обладунки, але має довший час перезаряджання. Найефективніший проти військ, що стоять на займистій поверхні, а також проти споруд. Значення можуть змінюватися залежно від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_whistling	Свистячий постріл||Завдає незначної шкоди, але супроводжується лякаючим звуком. Послаблює бойовий дух, атаку в ближньому бою та швидкість стрільби цілі й будь-яких загонів, над якими пролітає. Значення можуть змінюватися залежно від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_poison	Отруєний постріл||Знижує ефективність цілі в ближньому бою і дальність її стрільби, а також збільшує втому. Значення можуть змінюватися в залежності від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_extended	Дальній постріл||Має збільшену дальність, але завдає меншої шкоди. Значення можуть змінюватися залежно від характеристик загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_poison	Отруєний постріл||Отруєння зазначеного загону, що поступово зменшує його чисельність.	true
projectile_shot_type_enum_button_tooltip_text_oil	Палаюча олія	true
projectile_shot_type_enum_button_tooltip_text_explosives	Горщик з вибуховою сумішшю	true
