key	text	tooltip
#Loc;1;text/db/provinces.loc		
provinces_onscreen_cha_prov_munster	Мюнстер	true
provinces_onscreen_bel_prov_gallaecia	Галлеція	true
provinces_onscreen_cha_prov_alemannia	Алеманія	true
provinces_onscreen_att_prov_sarmatia_asiatica	Хозарія	true
provinces_onscreen_att_prov_belgica	Лотарингія	true
provinces_onscreen_cha_prov_navarre	Наварра	true
provinces_onscreen_cha_prov_franconia	Франконія	true
provinces_onscreen_att_prov_gallaecia	Леон	true
provinces_onscreen_cha_prov_exarchate	Екзархат	true
provinces_onscreen_bel_prov_aquitaine	Аквітанія	true
provinces_onscreen_att_prov_cilicia	Кілікія	true
provinces_onscreen_att_prov_liguria	Ломбардія	true
provinces_onscreen_cha_prov_obodrites	Ободрити	true
provinces_onscreen_bel_prov_lusitania	Лузітанія	true
provinces_onscreen_att_prov_thracia	Фракія	true
provinces_onscreen_cha_prov_carinthia	Каринтія	true
provinces_onscreen_bel_prov_tuscia_et_umbria	Тусція і Умбрія	true
provinces_onscreen_att_prov_baetica	Андалусія	true
provinces_onscreen_att_prov_aethiopia	Ефіопія	true
provinces_onscreen_mk_prov_colonia_agrippina	Брабант	true
provinces_onscreen_att_prov_khwarasan	Хорасан	true
provinces_onscreen_att_prov_aquitania	Аквітанія	true
provinces_onscreen_att_prov_lusitania	Лузітанія	true
provinces_onscreen_att_prov_venetia	Романья	true
provinces_onscreen_att_prov_maxima_sequanorum	Алеманія	true
provinces_onscreen_cha_prov_east_aquitaine	Східна Аквітанія	true
provinces_onscreen_cha_prov_croatia	Хорватія	true
provinces_onscreen_cha_prov_jutland	Ютландія	true
provinces_onscreen_att_prov_macedonia	Ахая	true
provinces_onscreen_att_prov_raetia_et_noricum	Баварія	true
provinces_onscreen_bel_prov_mauretania_caesariensis	Мавретанія Цезарейська	true
provinces_onscreen_bel_prov_zeugitana	Зевгітана	true
provinces_onscreen_att_prov_scythia	Ітиль	true
provinces_onscreen_cha_prov_sicilia	Сицилія	true
provinces_onscreen_cha_prov_benevento	Беневенто	true
provinces_onscreen_cha_prov_bohemia	Богемія	true
provinces_onscreen_cha_prov_moravia	Моравія	true
provinces_onscreen_cha_prov_west_aquitaine	Західна Аквітанія	true
provinces_onscreen_cha_prov_austrasia	Австразія	true
provinces_onscreen_att_prov_osroene	Ассирія	true
provinces_onscreen_cha_prov_bavaria	Баварія	true
provinces_onscreen_bel_prov_cantabria	Кантабрія	true
provinces_onscreen_bel_prov_austrasia	Австразія	true
provinces_onscreen_bel_prov_liguria	Лігурія	true
provinces_onscreen_bel_prov_sicilia	Сицилія	true
provinces_onscreen_att_prov_sarmatia_europaea	Сарматія	true
provinces_onscreen_att_prov_scandza	Скандинавія	true
provinces_onscreen_cha_prov_gascony	Гасконь	true
provinces_onscreen_bel_prov_baetica	Бетика	true
provinces_onscreen_att_prov_armenia	Вірменія	true
provinces_onscreen_bel_prov_burgundy	Бургундія	true
provinces_onscreen_cha_prov_burgundy	Бургундія	true
provinces_onscreen_mk_prov_brigantium	Галісія	true
provinces_onscreen_mk_prov_augusta_treverorum	Нижня Лотарингія	true
provinces_onscreen_mk_prov_londinium	Сассекс	true
provinces_onscreen_mk_prov_caralis	Сардинія	true
provinces_onscreen_mk_prov_yathrib	Хіджаз	true
provinces_onscreen_mk_prov_savaria	Паннонія	true
provinces_onscreen_mk_prov_asturica	Леон	true
provinces_onscreen_mk_prov_mediolanum	Ломбардія	true
provinces_onscreen_bel_prov_byzacena	Бізацена	true
provinces_onscreen_mk_prov_uburzis	Швабія	true
provinces_onscreen_mk_prov_trapezus	Понт	true
provinces_onscreen_mk_prov_avaricum	Овернь	true
provinces_onscreen_mk_prov_aelia_capitolina	Палестина	true
provinces_onscreen_mk_prov_carthago	Туніс	true
provinces_onscreen_mk_prov_lupfurdum	Ноймарк	true
provinces_onscreen_att_prov_frisia	Саксонія	true
provinces_onscreen_att_prov_aegyptus	Міср	true
provinces_onscreen_mk_prov_lugdunum	Ліонне	true
provinces_onscreen_mk_prov_dimmidi	Біскра	true
provinces_onscreen_mk_prov_corduba	Кордова	true
provinces_onscreen_mk_prov_ra	Нижнє Надволжя	true
provinces_onscreen_cha_prov_wessex	Вессекс	true
provinces_onscreen_bel_prov_novempopulania	Новемпопулана	true
provinces_onscreen_mk_prov_segusio	Савоя	true
provinces_onscreen_mk_prov_cyzicus	Мізія	true
provinces_onscreen_mk_prov_cydamus	Гадамес	true
provinces_onscreen_mk_prov_ravenna	Романья	true
provinces_onscreen_cha_prov_toledo	Толедо	true
provinces_onscreen_att_prov_carthaginensis	Кастелла Нова	true
provinces_onscreen_att_prov_makran	Макран і Сістан	true
provinces_onscreen_cha_prov_ulster	Ульстер	true
provinces_onscreen_mk_prov_sopianae	Альфельд	true
provinces_onscreen_mk_prov_berenice	Червоне море	true
provinces_onscreen_mk_prov_moramar	Рязанщина	true
provinces_onscreen_mk_prov_bolghar	Волзька Булгарія	true
provinces_onscreen_mk_prov_gortyna	Крит	true
provinces_onscreen_mk_prov_constantia	Кіпр	true
provinces_onscreen_att_prov_africa	Іфрікія	true
provinces_onscreen_mk_prov_bracara	Порткале	true
provinces_onscreen_mk_prov_nisibis	Ніневія	true
provinces_onscreen_mk_prov_turonum	Іль-де-Франс	true
provinces_onscreen_mk_prov_iuvavum	Австрія	true
provinces_onscreen_bel_prov_neustria	Нейстрія	true
provinces_onscreen_cha_prov_saxony	Саксонія	true
provinces_onscreen_att_prov_caucasia	Кавказ	true
provinces_onscreen_mk_prov_aquileia	Венето	true
provinces_onscreen_mk_prov_rotomagus	Нормандія	true
provinces_onscreen_mk_prov_caesarea_eusebia	Каппадокія	true
provinces_onscreen_mk_prov_abarshahr	Голестан	true
provinces_onscreen_mk_prov_octodurus	Швейцарія	true
provinces_onscreen_mk_prov_segontium	Уельс	true
provinces_onscreen_att_prov_italia	Італія	true
provinces_onscreen_att_prov_bithynia	Віфінія	true
provinces_onscreen_mk_prov_fiorentia	Тоскана	true
provinces_onscreen_mk_prov_kariskos	Сіверщина	true
provinces_onscreen_mk_prov_tarraco	Каталонія	true
provinces_onscreen_mk_prov_ascaucalis	Великопольща	true
provinces_onscreen_mk_prov_vesontio	Бургундія	true
provinces_onscreen_mk_prov_ctesiphon	Ірак	true
provinces_onscreen_mk_prov_hispalis	Андалусія	true
provinces_onscreen_mk_prov_casurgis	Богемія	true
provinces_onscreen_mk_prov_corinthus	Ахая	true
provinces_onscreen_mk_prov_ephesus	Лідія	true
provinces_onscreen_mk_prov_eboracum	Нортумбрія	true
provinces_onscreen_att_prov_mediterraneus_orientalis	Східні острови	true
provinces_onscreen_att_prov_media_atropatene	Азербайджан	true
provinces_onscreen_att_prov_germania	Франконія	true
provinces_onscreen_cha_prov_gharb_al_andalus	Гарб аль-Андалус	true
provinces_onscreen_att_prov_dardania	Балканія	true
provinces_onscreen_att_prov_hercynia	Богемія та Угорщина	true
provinces_onscreen_cha_prov_swabia	Швабія	true
provinces_onscreen_mk_prov_harmosia	Хормозґан	true
provinces_onscreen_mk_prov_palteskja	Литва	true
provinces_onscreen_mk_prov_ganzaga	Азербайджан	true
provinces_onscreen_mk_prov_domavia	Рашка	true
provinces_onscreen_mk_prov_serdica	Болгарія	true
provinces_onscreen_mk_prov_antiochia	Антіохія	true
provinces_onscreen_mk_prov_leopolis	Галичина	true
provinces_onscreen_mk_prov_constantinopolis	Фракія	true
provinces_onscreen_mk_prov_syracusae	Сицилія	true
provinces_onscreen_att_prov_germano-sarmatia	Балтія	true
provinces_onscreen_att_prov_pannonia	Паннонія	true
provinces_onscreen_cha_prov_brittany	Британія	true
provinces_onscreen_bel_prov_brittany	Британія	true
provinces_onscreen_cha_prov_pannonia	Паннонія	true
provinces_onscreen_mk_prov_tarentum	Апулія	true
provinces_onscreen_mk_prov_mtskheta	Картлі	true
provinces_onscreen_mk_prov_corinium	Вессекс	true
provinces_onscreen_mk_prov_emerita_augusta	Естремадура	true
provinces_onscreen_mk_prov_tulifurdum	Вестфалія	true
provinces_onscreen_bel_prov_lucania_et_brutii	Луканія і Бруттій	true
provinces_onscreen_att_prov_persis	Фарс	true
provinces_onscreen_cha_prov_france	Франція	true
provinces_onscreen_cha_prov_marca_inferior	Нижня марка	true
provinces_onscreen_mk_prov_angulus	Гольштайн	true
provinces_onscreen_cha_prov_mercia	Мерсія	true
provinces_onscreen_bel_prov_dalmatia	Далмація	true
provinces_onscreen_cha_prov_gallicia	Галіція	true
provinces_onscreen_att_prov_dalmatia	Далмація	true
provinces_onscreen_cha_prov_valencia	Валенсія	true
provinces_onscreen_cha_prov_calabria	Калабрія	true
provinces_onscreen_mk_prov_issatis	Єзд	true
provinces_onscreen_mk_prov_toletum	Нова Кастилія	true
provinces_onscreen_mk_prov_synnada	Фригія	true
provinces_onscreen_mk_prov_dumatha	Шаммар	true
provinces_onscreen_mk_prov_melitene	Малатья	true
provinces_onscreen_mk_prov_rhegium	Калабрія	true
provinces_onscreen_mk_prov_petrodava	Молдавія	true
provinces_onscreen_mk_prov_pachoras	Нубія	true
provinces_onscreen_att_prov_transcarpathia	Рутенія	true
provinces_onscreen_mk_prov_siahkuh	Мангишлак	true
provinces_onscreen_mk_prov_olisipo	Алентежу	true
provinces_onscreen_mk_prov_ptolemais	Киренаїка	true
provinces_onscreen_mk_prov_sirmium	Срем	true
provinces_onscreen_mk_prov_virunum	Штирія	true
provinces_onscreen_mk_prov_nitrahwa	Угорщина	true
provinces_onscreen_bel_prov_carthaginensis	Карфаген	true
provinces_onscreen_mk_prov_nicomedia	Віфінія	true
provinces_onscreen_mk_prov_caesarea	Ель-Джазаїр	true
provinces_onscreen_mk_prov_pompaelo	Наварра	true
provinces_onscreen_att_prov_asorstan	Ірак	true
provinces_onscreen_cha_prov_frisia	Фризія	true
provinces_onscreen_mk_prov_burdigala	Аквітанія	true
provinces_onscreen_mk_prov_tamousiga	Атлас	true
provinces_onscreen_mk_prov_segobriga	Валенсія	true
provinces_onscreen_mk_prov_trimontium	Македонія	true
provinces_onscreen_att_prov_spahan	Ірак аль-Джам	true
provinces_onscreen_mk_prov_gelonus	Донеччина	true
provinces_onscreen_cha_prov_provence	Прованс	true
provinces_onscreen_bel_prov_provence	Прованс	true
provinces_onscreen_bel_prov_italia	Італія	true
provinces_onscreen_mk_prov_ecbatana	Гамадан	true
provinces_onscreen_mk_prov_aregelia	Саксонія	true
provinces_onscreen_mk_prov_samandar	Хозарія	true
provinces_onscreen_mk_prov_macomades	Сурт	true
provinces_onscreen_cha_prov_pictland	Земля піктів	true
provinces_onscreen_mk_prov_budorgis	Сілезія	true
provinces_onscreen_mk_prov_viminacium	Нішава	true
