key	text	tooltip
#Loc;1;text/db/public_order_factors.loc		
public_order_factors_positive_tooltip_population_growth_base	text_rejected	true
public_order_factors_positive_tooltip_population_growth_taxes	text_rejected	true
public_order_factors_positive_tooltip_repression_buildings	text_rejected	true
public_order_factors_positive_tooltip_repression_military_crackdown	text_rejected	true
public_order_factors_positive_tooltip_happiness_food_shortage	text_rejected	true
public_order_factors_positive_tooltip_happiness_daimyo_honour	text_rejected	true
public_order_factors_positive_tooltip_population_growth_ports	text_rejected	true
public_order_factors_positive_tooltip_population_growth_technologies	text_rejected	true
public_order_factors_positive_tooltip_happiness_war	text_rejected	true
public_order_factors_positive_tooltip_repression_characters	text_rejected	true
public_order_factors_positive_tooltip_happiness_resistance	text_rejected	true
public_order_factors_positive_tooltip_happiness_characters	text_rejected	true
public_order_factors_positive_tooltip_happiness_bankruptcy	text_rejected	true
public_order_factors_positive_tooltip_happiness_devastation	text_rejected	true
public_order_factors_positive_tooltip_happiness_non_state_religion_unrest	text_rejected	true
public_order_factors_positive_tooltip_happiness_culture	text_rejected	true
public_order_factors_positive_tooltip_happiness_reform	text_rejected	true
public_order_factors_positive_tooltip_repression_events	text_rejected	true
public_order_factors_positive_tooltip_repression_policing	text_rejected	true
public_order_factors_positive_tooltip_repression_gov_type	text_rejected	true
public_order_factors_positive_tooltip_repression_garrison	text_rejected	true
public_order_factors_positive_tooltip_happiness_events	text_rejected	true
public_order_factors_positive_tooltip_population_growth_food_shortages	text_rejected	true
public_order_factors_positive_tooltip_population_growth_happiness	text_rejected	true
public_order_factors_positive_tooltip_happiness_tax_rate	text_rejected	true
public_order_factors_positive_tooltip_happiness_industrialisation	text_rejected	true
public_order_factors_positive_tooltip_population_growth_buildings	text_rejected	true
public_order_factors_positive_tooltip_happiness_gov_type	text_rejected	true
public_order_factors_positive_tooltip_population_growth_military	text_rejected	true
public_order_factors_positive_tooltip_happiness_religion	text_rejected	true
public_order_factors_positive_tooltip_happiness_gentlemen	text_rejected	true
public_order_factors_positive_tooltip_population_growth_unrest	text_rejected	true
public_order_factors_positive_tooltip_population_growth_policies	text_rejected	true
public_order_factors_positive_tooltip_population_growth_migration	text_rejected	true
