key	text	tooltip
#Loc;1;text/db/quotes.loc		
quotes_quote_onscreen_4022	Можна створити імперію, сидячи верхи на коні, але не можна керувати імперією, сидячи верхи на коні.	true
quotes_quote_onscreen_4422	Людина може померти лише раз.	true
quotes_quote_onscreen_4922	І там, де хвилі свій біг починають, де суша обривається над морем, собою Європи голову вінчають моєї країни поля, рівнини, гори. В обійми сонця води приймають, а берег красою пестить погляди...	true
quotes_quote_onscreen_4123	Здавайтеся, щоб не загинути, бо ніхто вас не врятує.	true
quotes_quote_onscreen_4323	І все-таки я вважаю, що натиск краще, ніж обережність, бо фортуна - жінка, і хто хоче з нею порозумітися, повинен бити її і штовхати - таким вона піддається швидше, ніж тим, хто холодно береться за справу.	true
quotes_quote_onscreen_4823	Коли людина або державець сильний і відважний, тоді він може укладати мир (на таких умовах), як хоче; якщо ж він, навпаки, виявиться слабким, той, хто сильніший за нього, прийде і зробить по-своєму, як хоче.	true
quotes_quote_onscreen_4020	Айбак лише накреслив межі майбутнього султанату; Ілтутміш наповнив його рушійною силою, забезпечив адміністративною системою, надав йому ім'я і статус.	true
quotes_quote_onscreen_4520	Все ще відчувається запах крові: всі пахощі Аравії не надушать цю маленьку руку.	true
quotes_quote_onscreen_4820	Коли султан на полюванні, за ним слідує більше людей, ніж солдатів у твоєму війську.	true
quotes_quote_onscreen_5020	Коли ми всі помремо, тоді все буде твоїм.	true
quotes_quote_onscreen_4121	Той, хто здійснить цю святу подорож і завершить її або прийме в ній смерть, отримає відпущення всіх гріхів, в яких він сповідався зі смиренністю і сердечним розкаянням, і знайде вічну нагороду.	true
quotes_quote_onscreen_4421	Дайте команду дати залп.	true
quotes_quote_onscreen_4621	Віддати тобі місто не в моїй владі, та й не в владі тих, хто в ньому мешкає. Бо за нашим спільним рішенням всі ми добровільно помремо і не пощадимо життя свого.	true
quotes_quote_onscreen_4326	Я вважаю, що кожну людину після смерті можна хвалити без сорому, бо тоді відпадає будь-який привід і будь-яка підозра в шукацтві.	true
quotes_quote_onscreen_4426	Змінити коня. Перев'яжіть рани!	true
quotes_quote_onscreen_4726	Не шукайте нових друзів серед старих ворогів.	true
quotes_quote_onscreen_5126	Франкський лицар непереможний, якщо його кінь у доброму стані. Покритий кольчугою з голови до ніг, він більше схожий на шматок заліза. Найстрашніші удари не справляють на нього ніякого впливу. Але якщо кінь лицаря вбитий, лицар стає безпорадним і легко береться в полон.	true
quotes_quote_onscreen_4227	Оскаженілому натовпу не важливо, чи стане краще, їй головне, щоб все було по-іншому. Коли ж після стає тільки гірше, натовп знову вимагає змін.	true
quotes_quote_onscreen_4627	Бог не дозволить мені жити імператором без імперії. Якщо місто впаде, я впаду з ним.	true
quotes_quote_onscreen_5027	Європейські торговці постачають нам найкращу зброю, сприяючи своїй власній поразці.	true
quotes_quote_onscreen_4224	Омана вільної волі є нічим іншим, як вченням Антихриста	true
quotes_quote_onscreen_5024	Те, до чого я приступаю, містить в собі розповідь про найжахливішу подію і найбільше лихо, яке коли-небудь переживали часи... Якщо хто-небудь скаже, що світ з часів створення Адама Всевишнім Аллахом, - нехай буде Він славний, - і до цього часу не зазнавав нічого подібного, він буде правий.	true
quotes_quote_onscreen_4025	Вчинки, скоєні в пориві гніву, приречені на невдачу.	true
quotes_quote_onscreen_4125	Вбивайте всіх, Господь пізнає своїх.	true
quotes_quote_onscreen_5125	Турки вили, немов вовки, і випускали град стріл. Ми були приголомшені. Але, розуміючи, що нам загрожує смерть, і багато хто вже був поранений, ми кинулися втекти. Це не дивно, тому що для нас така війна була абсолютно незнайомою.	true
quotes_quote_onscreen_4028	Я - покарання Боже. Якби ви не вчинили тяжких гріхів, Бог не обрушив би мене на ваші голови.	true
quotes_quote_onscreen_4528	Що сталося, те сталося.	true
quotes_quote_onscreen_4628	Хто захоче шукати порятунку, нехай шукає його, як зможе, а хто готовий зустріти смерть, нехай слідує за мною.	true
quotes_quote_onscreen_4928	І лиходії силою хвалилися, коли на битву з дамою збиралися!	true
quotes_quote_onscreen_4529	Я слів не витрачаю: мій голос - меч, негідник, кривавіший, ніж можна висловити!	true
quotes_quote_onscreen_4629	З нами віра наша в непереможну славу Божу, а також наші власні руки і м'язи, даровані нам божественною силою.	true
quotes_quote_onscreen_4829	Скільки панів правило вами, бояри? Будь-хто з вас пережив не менше семи... це ваша вина в відсутності порядку в країні!	true
quotes_quote_onscreen_4929	Коли безвольний цар країною володіє, будь-який народ слабшає і занепадає.	true
quotes_quote_onscreen_5129	Того ж літа, за гріхи наші, прийшли мови невідомі, їх же добре ніхто не знає, хто вони і звідки прийшли, і що мова їхня, і якого племені вони, і що віра їхня.	true
quotes_quote_onscreen_4032	Протягом семи років я зробив велику справу і в усіх країнах світу утвердив єдиновладдя.	true
quotes_quote_onscreen_4432	Коня! Коня! Півцарства за коня!	true
quotes_quote_onscreen_4732	Хто є серб і сербського роду, хто від сербської крові і коліна і на поле Косово не вийде, нехай навіки не знає він потомства, жіночого потомства і чоловічого! Нехай ніщо йому не родиться - ні вино, ні біла пшениця, нехай загине все його коліно!	true
quotes_quote_onscreen_4133	Вони не пощадили нікого, всіх віддали мечу, майже 20 000 чоловік, незалежно від рангу, статі чи віку. Після цієї великої різанини ціле місто було розграбоване і спалене. Так дивним чином здійснилася божа помста...	true
quotes_quote_onscreen_4330	Природа рідко народжує сміливців. Вони в більшості створюються працею і навчанням. Дисципліна на війні важливіша за стрімкість.	true
quotes_quote_onscreen_4536	Двоє людей - вороги держави і віри: жорстокий цар і неосвічений відлюдник.	true
quotes_quote_onscreen_4736	Не пощадимо тіл наших у боротьбі, та від Подвигоположника вінки світлі приймемо. Страждання народжують славу, а труди приводять до спокою.	true
quotes_quote_onscreen_4936	О марна, безглузда слава, о втілення безумної суєти!	true
quotes_quote_onscreen_5136	...а кличуть мене Татари... Бог один знає, хто вони і звідки прийшли.	true
quotes_quote_onscreen_4237	Твердиня наша - вічний Бог, Він - сила і захист. З бід Він вийти нам допоміг, в Ньому наше життя приховане!	true
quotes_quote_onscreen_4737	Не вирішую я, чи піду на битву, за тим, яка сила мені загрожує, але за тим, яку святиню я захищаю.	true
quotes_quote_onscreen_4837	Якби мені випало бути присутнім при Створенні, я б дав кілька корисних порад щодо кращого устрою Всесвіту.	true
quotes_quote_onscreen_4937	Блиск почестей, для багатьох жаданих, не може принести щастя титанам, і краще бажаних благ не мати, ніж без заслуг всюди процвітати.	true
quotes_quote_onscreen_4434	Розсудливість - найкраща частина доблесті.	true
quotes_quote_onscreen_4934	Відомо, що великими справами споконвіку край наш доблесний пишався. І долі, які подвиг завершує, безсмертними весь світ потім вважає.	true
quotes_quote_onscreen_5034	Не в звичаї у царів вбивати царів.	true
quotes_quote_onscreen_4338	Іди, біжи, лети - і повернися помстившись.	true
quotes_quote_onscreen_4139	Остерігайтеся людини однієї книги.	true
quotes_quote_onscreen_4639	Голод вражає і здає замки.	true
quotes_quote_onscreen_5139	Прибігши до половців у Роуську землю, промовляючи до них, як до роуських князів: Якщо ви не допоможете нам, ми зараз будемо побиті, а ви завтра будете побиті.	true
quotes_quote_onscreen_4102	Не всі принижені смиренні. Одні на приниження відповідають гнівом, інші - мовчанням, треті - прагненням до свободи. Перші заслуговують на осуд, другі - нешкідливі, треті - праведні.	true
quotes_quote_onscreen_4202	Несправедливий мир кращий за найсправедливішу війну	true
quotes_quote_onscreen_4402	Весь світ - театр. У ньому жінки, чоловіки - всі актори.	true
quotes_quote_onscreen_4702	Ніхто з наших перших царів не видається нам настільки великим, як цар Іван Олександр; за своєю військовою міццю він був другим після Олександра Македонського, у вірі і благочесті він був другим після святого Костянтина.	true
quotes_quote_onscreen_4802	Знай моя борода про мої плани, я б її збрив.	true
quotes_quote_onscreen_4303	Переходя до інших згаданих вище властивостей, скажу, що кожен державець бажав би прославитися милосердним, а не жорстоким, проте слід остерігатися зловживати милосердям.	true
quotes_quote_onscreen_4603	Хто з мечем до нас прийде, від меча і загине.	true
quotes_quote_onscreen_5101	Наші коні швидкі, наші стріли гострі, мечі - немов удари блискавки. Наші серця тверді, немов гори, а наші воїни численні, як піщинки. Фортеці нас не затримають, зброя не зупинить.	true
quotes_quote_onscreen_4006	Я прийму їжу тільки після того, як винищу млеччхей і звільню храм Сомнатх з їхніх рук і всіх їхніх полонених.	true
quotes_quote_onscreen_5106	Ваші молитви Богу не допоможуть проти нас. Нас не зворушують ні сльози, ні благання про пощаду.	true
quotes_quote_onscreen_4107	Вивчіть той урок, що, якщо ви повинні виконувати працю пророка, вам потрібен не скіпетр, а мотика.	true
quotes_quote_onscreen_4907	Колір нації великої і безстрашної, що серед племен невідомих і дивних могутню державу заснувала і тим собі безсмертя здобула...	true
