key	text	tooltip
#Loc;1;text/db/random_localisation_strings.loc		
random_localisation_strings_string_finances_vassal_income_breakdown_faction	%S	true
random_localisation_strings_string_building_construction_requires_main_slot_upgrade	Спочатку треба перебудувати місто.	true
random_localisation_strings_string_sea_region_control_status_hostile	Ворожий	true
random_localisation_strings_string_siege_suffering_attrition	У гарнізону закінчилися припаси. Він несе небойові втрати.	true
random_localisation_strings_string_finances_tribute_income_breakdown_other	Від решти	true
random_localisation_strings_string_cancel_construction_confirmation	Ця будівля ще будується. Ви дійсно хочете знести її?	true
random_localisation_strings_string_unit_stat_bonus_morale_superior	Відмінний бойовий дух	true
random_localisation_strings_string_unit_stat_bonus_armour_improved	Добра броня	true
random_localisation_strings_string_famous_battle_battle_of	Битва	true
random_localisation_strings_string_round_id_august	Серпень	true
random_localisation_strings_string_round_id_late_july	Кінець липня	true
random_localisation_strings_string_difficulty_level_4	Дуже висок.	true
random_localisation_strings_string_difficulty_level_5	Легенд.	true
random_localisation_strings_string_difficulty_level_2	Середн.	true
random_localisation_strings_string_difficulty_level_3	Висок.	true
random_localisation_strings_string_difficulty_level_1	Низьк.	true
random_localisation_strings_string_siege_turns_to_attrition	Термін, на який вистачить припасів у гарнізону:	true
random_localisation_strings_string_character_role_daughter	Дочка	true
random_localisation_strings_string_cannot_build_insufficient_funds	У вас недостатньо коштів, щоб побудувати цю споруду.	true
random_localisation_strings_string_StratHud_Building_Card_Recruit_Selection	ЛКМ - побудувати споруду; ПКМ - дізнатися більше	true
random_localisation_strings_string_finance_header_liege_lord	Володіння	true
random_localisation_strings_string_character_role_retainer	Слуга	true
random_localisation_strings_string_stats_clan_naval_ranked_games_won	text_rejected	true
random_localisation_strings_string_character_situation_conversion_catholic	Навернення провінції	true
random_localisation_strings_string_click_to_mark_current_selection_for_dismantling	ЛКМ - знести вибрану споруду. Частина вартості знесених споруд повертається до скарбниці.	true
random_localisation_strings_string_opponent_accepts_surrender_title	Згодні здатися	true
random_localisation_strings_string_replenish_prerequisites_not_met	Ви повинні мати можливість набирати загони в цій місцевості. Крім того, щоб поповнити військо, потрібно достатньо коштів. Ціна:	true
random_localisation_strings_string_unknown_ship_state	У вас немає всієї інформації про цей корабель. Підійшовши ближче, ви дізнаєтеся більше.	true
random_localisation_strings_string_round_id_late_june	Кінець червня	true
random_localisation_strings_string_StratHudbutton_Construction_Site	Пустир||Тут ви можете створити новий будівельний майданчик.	true
random_localisation_strings_string_mission_text_text_mis_activity_attain_fame_level_specific	PLACEHOLDER	true
random_localisation_strings_string_unit_upgrade_insufficient_funds	У вашій скарбниці недостатньо грошей, щоб поліпшити цей загін.	true
