key	text	tooltip
#Loc;1;text/db/region_economics_factors.loc		
region_economics_factors_positive_tooltip_metsuke_bonus_gdp	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_coffee_gdp	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_sugar_gdp	Експорт цукру	true
region_economics_factors_positive_tooltip_trade_commodity_cotton_gdp	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_tobacco_gdp	Експорт тютюну	true
region_economics_factors_positive_tooltip_trade_commodity_spices_gdp	Експорт прянощів	true
region_economics_factors_positive_tooltip_trade_commodity_furs_gdp	Експорт хутра	true
region_economics_factors_positive_tooltip_mine_gdp	Гірнича справа	true
region_economics_factors_positive_tooltip_trade_commodity_sho_medicine_gdp	Торгівля прянощами	true
region_economics_factors_positive_tooltip_base_gdp	Натуральне господарство	true
region_economics_factors_positive_tooltip_port_gdp	Порт	true
region_economics_factors_positive_tooltip_farm_gdp	Землеробство	true
region_economics_factors_positive_tooltip_town_wealth	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_sho_iron_gdp	Залізні копальні	true
region_economics_factors_positive_tooltip_trade_commodity_sho_wood_gdp	Торгівля лісом	true
region_economics_factors_positive_tooltip_trade_commodity_sho_silk_gdp	Торгівля шовком	true
region_economics_factors_positive_tooltip_industry_gdp	Виробництво	true
region_economics_factors_positive_tooltip_trade_commodity_sho_stone_gdp	Видобуток каменю	true
region_economics_factors_positive_tooltip_trade_commodity_sho_crafts_gdp	Торгівля ремісничими виробами	true
region_economics_factors_positive_tooltip_trade_commodity_tea_gdp	Експорт чаю	true
region_economics_factors_positive_tooltip_trade_commodity_sho_horses_gdp	Торгівля кіньми	true
region_economics_factors_positive_tooltip_trade_commodity_sho_cotton_gdp	Торгівля бавовною	true
