key	text	tooltip
#Loc;1;text/db/region_groups.loc		
region_groups_localised_name_roman_legacy_generic_herculia	Геркулія	true
region_groups_localised_name_roman_legacy_specific_armeniaca	Арменіка	true
region_groups_localised_name_roman_legacy_specific_cyrenaica	Кіренаїка	true
region_groups_localised_name_roman_legacy_specific_syriaca	Сиріка	true
region_groups_localised_name_roman_legacy_specific_britannica	Британіка	true
region_groups_localised_name_roman_legacy_generic_fulminata	Фульмінат	true
region_groups_localised_name_roman_legacy_specific_seleucena	Селевкена	true
region_groups_localised_name_roman_legacy_specific_italica	Італіка	true
region_groups_localised_name_roman_legacy_specific_pannonica	Паннонський	true
region_groups_localised_name_roman_legacy_specific_arabica	Аравіка	true
region_groups_localised_name_roman_legacy_specific_aegypta	Єгиптія	true
region_groups_localised_name_roman_legacy_generic_fretensis	Фретенсіс	true
region_groups_localised_name_roman_legacy_specific_aethiopica	Ефіопіка	true
region_groups_localised_name_roman_legacy_specific_macedonica	Македоніка	true
region_groups_localised_name_roman_legacy_generic_apollinaris	Аполлінаріс	true
region_groups_localised_name_roman_legacy_specific_sarmatica	Сарматіка	true
region_groups_localised_name_roman_legacy_specific_germanica	Германіка	true
region_groups_localised_name_roman_legacy_specific_moesica	Мізійський	true
region_groups_localised_name_roman_legacy_navy_specific_britannica	Британіка	true
region_groups_localised_name_roman_legacy_specific_pontica	Понтіка	true
region_groups_localised_name_roman_legacy_specific_aquitanica	Аквітаніка	true
region_groups_localised_name_roman_legacy_generic_vulcania	Вулканія	true
region_groups_localised_name_roman_legacy_specific_hispana	Хіспана	true
region_groups_localised_name_roman_legacy_generic_minervia	Мінервія	true
region_groups_localised_name_roman_legacy_specific_bactriana	Бактріана	true
region_groups_localised_name_roman_legacy_specific_persica	Персидський	true
region_groups_localised_name_roman_legacy_navy_specific_misenensis	Місенський	true
region_groups_localised_name_roman_legacy_specific_belgica	Белгіка	true
region_groups_localised_name_roman_legacy_generic_adiutrix	Адіутрікс	true
region_groups_localised_name_roman_legacy_specific_noricorum	Норікорум	true
region_groups_localised_name_roman_legacy_generic_equestris	Еквестріс	true
region_groups_localised_name_roman_legacy_specific_gallica	Галліка	true
region_groups_localised_name_roman_legacy_generic_primigenia	Примігенія	true
region_groups_localised_name_roman_legacy_specific_illyrica	Ілліріка	true
region_groups_localised_name_roman_legacy_generic_liberatrix	Лібератрікс	true
region_groups_localised_name_roman_legacy_specific_scythica	Скіфіка	true
region_groups_localised_name_roman_legacy_navy_specific_alexandrina	Александрійський	true
region_groups_localised_name_roman_legacy_specific_africana	Африкана	true
region_groups_localised_name_roman_legacy_specific_caucasia	Кавказія	true
region_groups_localised_name_roman_legacy_specific_parthica	Парфіка	true
region_groups_localised_name_roman_legacy_specific_thracica	Фракіка	true
region_groups_localised_name_roman_legacy_navy_specific_carpathia	Карпатський	true
region_groups_localised_name_roman_legacy_navy_specific_venetum	Венетський	true
region_groups_localised_name_roman_legacy_navy_specific_perinthia	Перинфський	true
region_groups_localised_name_roman_legacy_generic_martia	Марція	true
region_groups_localised_name_roman_legacy_navy_specific_atlantica	Атлантичний	true
region_groups_localised_name_roman_legacy_generic_gemina	Геміна	true
region_groups_localised_name_roman_legacy_navy_specific_rhodani	Родоський	true
region_groups_localised_name_roman_legacy_generic_dialis	Діаліс	true
region_groups_localised_name_roman_legacy_specific_dacica	Дакіка	true
region_groups_localised_name_roman_legacy_navy_specific_ravennas	Равеннський	true
region_groups_localised_name_roman_legacy_specific_graeca	Грека	true
region_groups_localised_name_roman_legacy_generic_antiqua	Антиква	true
region_groups_localised_name_roman_legacy_generic_invicta	Інвікта	true
region_groups_localised_name_roman_legacy_specific_alpina	Альпіна	true
region_groups_localised_name_roman_legacy_specific_libyca	Лівійський	true
region_groups_localised_name_roman_legacy_specific_asiana	Азіана	true
region_groups_localised_name_roman_legacy_specific_mauretanica	Мавретаніка	true
region_groups_localised_name_roman_legacy_generic_ferrata	Феррата	true
region_groups_localised_name_roman_legacy_specific_caspia	Каспія	true
region_groups_localised_name_roman_legacy_specific_indica	Індіка	true
region_groups_localised_name_roman_legacy_generic_alaudae	Алауда	true
region_groups_localised_name_roman_legacy_generic_rapax	Рапакс	true
region_groups_localised_name_roman_legacy_generic_veneria	Венерія	true
region_groups_localised_name_roman_legacy_navy_specific_anderetianorum	Андеретіанорум	true
region_groups_localised_name_roman_legacy_generic_iovia	Іовія	true
region_groups_localised_name_roman_legacy_navy_specific_sambrica	Самбрійський	true
region_groups_localised_name_roman_legacy_generic_augusta	Августа	true
region_groups_localised_name_roman_legacy_generic_fidelis	Фіделіс	true
region_groups_localised_name_roman_legacy_generic_victrix	Віктрікс	true
region_groups_localised_name_roman_legacy_generic_concordialis	Конкордіаліс	true
