key	text	tooltip
#Loc;1;text/db/region_unit_resources.loc		
region_unit_resources_string_Auxilia_Assyrian	Ассирійські союзники	true
region_unit_resources_string_Auxilia_Parthian	Парфянські союзники	true
region_unit_resources_string_Auxilia_Thracian	Фракійські союзники	true
region_unit_resources_string_Auxilia_local_Phazania_Libue_Aithiops	Ополчення Фазанії, Лівії, Ефіопії	true
region_unit_resources_string_Auxilia_Persian	Перські союзники	true
region_unit_resources_string_Auxilia_Germanic	Германські союзники	true
region_unit_resources_string_Auxilia_Egyptian	Єгипетські союзники	true
region_unit_resources_string_Auxilia_Scythian	Скіфські союзники	true
region_unit_resources_string_Auxilia_Sabaean	Сабейські союзники	true
region_unit_resources_string_Auxilia_Thracia	Ополчення Фракії	true
region_unit_resources_string_Auxilia_Caucasia	Ополчення Кавказу	true
region_unit_resources_string_Auxilia_Iberian	Іберські союзники	true
region_unit_resources_string_Auxilia_Nabatea_ArabiaMagna_ArabiaFelix	Ополчення Набатеї, Аравії Магни і Аравії Фелікс	true
region_unit_resources_string_mk_aor_mag_nav	Північні африканці	true
region_unit_resources_string_Auxilia_Bactrian	Бактрійські союзники	true
region_unit_resources_string_Auxilia_Gallic	Галльські союзники	true
region_unit_resources_string_Auxilia_Briton	Бритські союзники	true
region_unit_resources_string_Auxilia_Bosporus	Ополчення Боспору	true
region_unit_resources_string_Auxilia_Celtic	Кельтські союзники	true
region_unit_resources_string_Auxilia_Hellas	Грецьке ополчення	true
region_unit_resources_string_mk_aor_afr_nav	Східні африканці	true
region_unit_resources_string_Auxilia_Hellenic	Грецькі союзники	true
region_unit_resources_string_Auxilia_Italian	Італійські союзники	true
region_unit_resources_string_Auxilia_local_Gedrosia_Arachosia_Bactria_Aria	Ополчення Гедрозії, Арахосії, Бактії, Арії	true
region_unit_resources_string_Auxilia_Arabian	Аравійські союзники	true
region_unit_resources_string_Auxilia_Illyrian	Іллірійські союзники	true
region_unit_resources_string_Auxilia_Syria	Ополчення Сирії	true
region_unit_resources_string_Auxilia_Roman	Римські союзники	true
region_unit_resources_string_Auxilia_local_Macedonia	Ополчення Македонії	true
region_unit_resources_string_Auxilia_local_Raetia_et_Noricum	Ополчення Реція і Норика	true
region_unit_resources_string_Auxilia_Galatia_et_Cappadocia	Ополчення Галатії і Каппадокії	true
region_unit_resources_string_Auxilia_North_African	Північноафриканські союзники	true
region_unit_resources_string_Auxilia_Sarmatian	Сарматські союзники	true
region_unit_resources_string_Auxilia_local_Tarraconensis	Ополчення Тарраконської Іспанії	true
region_unit_resources_string_Auxilia_local_Cartaginensis	Ополчення Карфагена	true
region_unit_resources_string_CiG_Regional_Roman	Римляни	true
region_unit_resources_string_CiG_Regional_German	Германці	true
region_unit_resources_string_CiG_Regional_Greek	Греки	true
region_unit_resources_string_CiG_Regional_Celtic	Галли	true
region_unit_resources_string_CiG_Regional_Briton	Брити	true
region_unit_resources_string_mk_aor_ara	Каталонці	true
region_unit_resources_string_mk_aor_fre	Французи	true
region_unit_resources_string_mk_aor_ire	Ірландці	true
region_unit_resources_string_mk_aor_ita	Італійці	true
region_unit_resources_string_mk_aor_rus	Руси	true
region_unit_resources_string_mk_aor_eur	Європейці	true
region_unit_resources_string_mk_aor_tur	Тюрки	true
region_unit_resources_string_mk_aor_balt	Балти	true
region_unit_resources_string_mk_aor_balk	Балканці	true
region_unit_resources_string_mk_aor_dalm	Далматійці	true
region_unit_resources_string_mk_aor_arab	Араби	true
region_unit_resources_string_mk_aor_iran	Іранці	true
region_unit_resources_string_mk_aor_byz	Римляни	true
region_unit_resources_string_mk_aor_andal	Андалузці	true
region_unit_resources_string_mk_aor_croat	Хорвати	true
region_unit_resources_string_mk_aor_sco	Шотландці	true
region_unit_resources_string_mk_aor_ger	Німці	true
region_unit_resources_string_mk_aor_cel	Кельти	true
region_unit_resources_string_mk_aor_wel	Валлійці	true
region_unit_resources_string_mk_aor_gen	Генуезці	true
region_unit_resources_string_mk_aor_ven	Венеціанці	true
region_unit_resources_string_mk_aor_hanse	Ганзейці	true
region_unit_resources_string_Auxilia_Saka	Сакські союзники	true
region_unit_resources_string_mk_aor_his	Іспанці	true
region_unit_resources_string_mk_aor_cil	Кілікійці	true
region_unit_resources_string_Auxilia_Asia	Ополчення Азії	true
region_unit_resources_string_mk_aor_nord	Північани	true
region_unit_resources_string_mk_aor_cauc	Кавказці	true
region_unit_resources_string_mk_aor_outr	Утремер	true
region_unit_resources_string_mk_aor_eng	Англійці	true
region_unit_resources_string_mk_aor_low	Нідерландці	true
region_unit_resources_string_mk_aor_pol	Поляки	true
