key	text	tooltip
#Loc;1;text/db/regions.loc		
regions_onscreen_cha_reg_franconia_frankfurt	Франкфурт	true
regions_battle_name_cha_reg_gascony_bordeaux	Бордо	true
regions_onscreen_bel_reg_tuscia_et_umbria_faesulae	Фесули	true
regions_onscreen_att_reg_bithynia_nicomedia	Нікея	true
regions_onscreen_att_reg_gallaecia_brigantium	Сантьяго	true
regions_onscreen_att_reg_hercynia_budorgis	Вроцлав	true
regions_battle_name_cha_reg_northumbria_york	Йорк	true
regions_onscreen_att_reg_belgica_colonia_agrippina	Антверпен	true
regions_onscreen_att_reg_belgica_durocorterum	Турне	true
regions_onscreen_cha_sea_lake	Озеро	true
regions_onscreen_bel_reg_byzacena_thysdrus	Фісдр	true
regions_battle_name_att_reg_aethiopia_aksum	Лалібела	true
regions_battle_name_att_reg_media_atropatene_rhaga	Рей	true
regions_battle_name_cha_sea_atlantic_ocean	Атлантичний океан	true
regions_onscreen_att_sea_sinus_syracusanus	Сиракузька затока	true
regions_battle_name_att_reg_mediterraneus_orientalis_gortyna	Кандія	true
regions_battle_name_cha_reg_exarchate_ancona	Анкона	true
regions_onscreen_bel_reg_picenum_suburbicarium_ancona	Анкона	true
regions_onscreen_cha_reg_munster_cork	Корк	true
regions_onscreen_bel_reg_tuscia_et_umbria_arretium	Аррецій	true
regions_battle_name_bel_reg_sicilia_syracuse	Сиракузи	true
regions_onscreen_att_reg_tarraconensis_caesaraugusta	Сарагоса	true
regions_onscreen_att_reg_sarmatia_asiatica_samandar	Дербент	true
regions_battle_name_cha_reg_obodrites_rerik	Рерік	true
regions_battle_name_att_reg_terra_incognita	Terra Incognita	true
regions_battle_name_att_reg_pannonia_sirmium	Белград	true
regions_onscreen_bel_reg_austrasia_remorum	Реморум	true
regions_onscreen_cha_reg_rome_siena	Сієна	true
regions_onscreen_cha_reg_gascony_agen	Ажен	true
regions_onscreen_cha_reg_west_neustria_nantes	Нант	true
regions_onscreen_bel_reg_byzacena_sufetula	Суфетула	true
regions_onscreen_att_reg_mediterraneus_orientalis_constantia	Фамагуста	true
regions_battle_name_att_reg_syria_antiochia	Антіохія	true
regions_battle_name_att_sea_mare_tyrrhenum	Тірренське море	true
regions_battle_name_att_reg_sarmatia_asiatica_tanais	Тана	true
regions_battle_name_cha_reg_leon_valladoid	Вальядолід	true
regions_battle_name_bel_reg_austrasia_mettis	Меттіс	true
