key	text	tooltip
#Loc;1;text/db/religions.loc		
religions_onscreen_mk_rel_chr_cathar	Християнство катарів	true
religions_onscreen_mk_rel_ibadi_islam	Ібадитський іслам	true
religions_onscreen_att_rel_semitic_paganism	Сунітський іслам	true
religions_onscreen_cha_rel_paganism	Язичництво	true
religions_onscreen_att_rel_east_zoroastrian	Зороастризм	true
religions_onscreen_att_rel_east_manichaeism	Маніхейство	true
religions_onscreen_cha_rel_tengrism	Культ Тенгрі	true
religions_onscreen_att_rel_pag_slavic	Балтське язичництво	true
religions_onscreen_cha_rel_judaism	Іудаїзм	true
religions_onscreen_att_rel_chr_arian	Аріанське християнство	true
religions_onscreen_att_rel_pag_roman	Римське язичництво	true
religions_onscreen_mk_rel_shia_islam	Шиїтський іслам	true
religions_onscreen_att_rel_pag_celtic	Кельтське язичництво	true
religions_onscreen_att_rel_judaism	Іудаїзм	true
religions_onscreen_att_rel_pag_tengri	Культ Тенгрі	true
religions_onscreen_att_rel_church_east	Сх. християнство	true
religions_onscreen_att_rel_pag_germanic	Германське язичництво	true
religions_onscreen_cha_rel_christianity	Християнство	true
religions_onscreen_cha_rel_islam	Іслам	true
religions_onscreen_att_rel_other	Католицькі єресі	true
religions_onscreen_att_rel_chr_catholic	Католицизм	true
religions_onscreen_mk_rel_chr_bogomilist	Богомильство	true
religions_onscreen_att_rel_chr_orthodox	Православ'я	true
