key	text	tooltip
#Loc;1;text/db/resources.loc		
resources_long_description_res_att_industry	Ткацтво — одне з найдавніших ремесел. У давньому світі ткацтвом займалися представники всіх суспільних верств. Раби й діти виробляли дешеву, практичну тканину, а шляхетні пані ткали розкішні килими та вишукані вироби, що слугували символами багатства. Ткацтво мало величезне значення для давнього світу, і його роль важко переоцінити. У багатьох народів існували божества, які ткали нитки людського буття, подібно до грецьких Мойр. Ймовірно, це пов’язано з тим, що ткач мав змогу зобразити на полотні будь-яку сцену.	true
resources_onscreen_text_res_att_dye	Мідь	true
resources_description_res_mk_sugar	„Спайс повинен текти.“	true
resources_onscreen_text_res_rom_iron	Залізо	true
resources_onscreen_text_res_rom_wine	Вино	true
resources_onscreen_text_res_rom_lead	Скло	true
resources_onscreen_text_res_rom_glass	Скляний посуд	true
resources_description_res_mk_grain	Просте зерно тисячоліттями годувало держави по всьому світу.	true
resources_onscreen_text_res_rom_oil	Оливкова олія	true
resources_onscreen_text_res_cha_cloth	Тканини	true
resources_long_description_res_rom_textiles	Торгівля тонкими тканинами була неймовірно прибутковою: розкішний одяг і розшиті завіси були символом багатства і влади. У Китаї, наприклад, секрет виробництва шовку берегли протягом двох тисячоліть; в Європі шовк цінувався на вагу золота. У I ст. до н.е. відкрився Шовковий шлях. Деякі вважали шовк непотрібною надмірністю, проте попит на нього завжди залишався високим, а ціна - захмарною. Іншим предметом розкоші була тканина, пофарбована тирським (царським) пурпуром. Пурпур був кольором монарших і церемоніальних шат. Він був дуже гарний і, що важливіше, не вицвітав з часом. Пурпур добували з черевоногих молюсків-іглянок. Для отримання навіть невеликої кількості барвника були потрібні тисячі молюсків. Головним постачальником пурпурової фарби в Середземномор'ї була Фінікія (чия назва походить від грецького слова «фойникеос» - «пурпуровий»), а також їх найбільша колонія - Карфаген.	true
resources_onscreen_text_res_att_see	Престол пентархії	true
resources_description_res_mk_silver	Срібло дешевше за золото, але тільки дурень не розуміє цінності цього найкориснішого з металів.	true
