key	text	tooltip
#Loc;1;text/db/scripted_subtitles.loc		
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_01	370 р.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_02	Причорноморська Ольвія є головним поселенням вестготів.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_03	Зараз її захисники готуються до чергової битви тривалої громадянської війни.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_04	Ворожа група готських племен, що називає себе остготами, знову вирішила напасти.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_05	Якщо Ольвія впаде, вестготи як народ перестануть існувати.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.First_Hunnic_Attack_01	Вождь, біда! Нас знову атакують!	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Ostrogoth_Victory_01	Остготи рятуються втечею! Чудово! Ми перемогли!	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_04	Щоб зупинити його, римський полководець Арнегіскл зібрав величезну армію.	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_05	Війська Аттіли і Арнегіскла зійшлися в битві на річці Ут.	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_01	447 р.	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_02	Відмова платити щорічну данину призвела до загострення ставлення між гунами і Східною Римською імперією.	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_03	Військо гунів під проводом Аттіли вторглося в візантійські володіння на Балканах.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_04	Крім того, він знайшов Риму несподіваного союзника в особі вестготського царя Теодоріха I.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_05	Війська Аеція зійшлися з ордою Аттіли на Каталаунських полях.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_01	20 червня 451 р.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_02	Орда Аттіли вторглася в землі Галлії і розорила кілька міст.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_03	Побоюючись вторгнення в північну Італію, полководець Флавій Аецій підготував армію для боротьби з гунами.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_04	Наступ Феодсія підтримали його союзники-вестготи на чолі з вождем Аларіхом.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_05	Дві армії зійшлися в битві на березі річки Фригід. У цій битві вирішиться подальша доля Риму.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_01	6 вересня 394 р.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_02	Західний імператор Євгеній симпатизував язичництву і чинив опір християнізації Риму.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_03	Через це візантійський монарх Феодосій I, ревний християнин, пішов на нього війною.	true
scripted_subtitles_localised_text_Att.Pro.Intro_04	Ні ті, ні інші ще не знають про наближення нової біди. Зі сходу йде велика орда гунів. Всім, хто опинився на її шляху, залишається тільки втеча або смерть.	true
scripted_subtitles_localised_text_Att.Pro.Intro_05	Скоро цей вибір постане перед і готами, які загрузли в міжусобицях. Те, що почалося як громадянська війна, закінчиться переселенням готів на землі Риму, появою гунів біля кордонів імперії і смертю імператора на полі бою...	true
scripted_subtitles_localised_text_Att.Pro.Intro_02	Сенат Західної Римської імперії в Медіолані, що загруз у корупції, бореться з постійними заколотами і вторгненнями північних варварів.	true
scripted_subtitles_localised_text_Att.Pro.Intro_03	Візантійському двору в Константинополі доводиться мати справу з релігійними заворушеннями і загрозою нападу Сасанідів.	true
scripted_subtitles_localised_text_Att.Pro.Intro_01	370 рік нашої ери. З часу заснування імперії минуло вже 400 років. Колись великий Рим, влада якого на Середземномор'ї була безроздільною, занепадає. Справа дійшла до того, що він виявився розділений надвоє.	true
scripted_subtitles_localised_text_Att.HB.AD.Intro_04	Двом арміям доведеться зустрітися на березі Середземного моря.	true
scripted_subtitles_localised_text_Att.HB.AD.Intro_01	13 вересня 533 р.	true
scripted_subtitles_localised_text_Att.HB.AD.Intro_02	Візантійський полководець Велісарій вторгся в Північну Африку в надії повернути її провінції в лоно імперії.	true
scripted_subtitles_localised_text_Att.HB.AD.Intro_03	Попереджений про майбутній напад, вандальський цар Гелімер розгорнув війська біля Децима.	true
scripted_subtitles_localised_text_Att.HB.DA.Intro_08	Так римляни дізналися, що битва ось-ось почнеться.	true
scripted_subtitles_localised_text_Att.HB.CA.Intro_04	До того ж, вони підкупили капітанів декількох кораблів, щоб ті билися на їхньому боці.	true
scripted_subtitles_localised_text_Att.HB.DA.Intro_04	Він повинен переломити хід війни, яка поки що складається не на користь римлян.	true
scripted_subtitles_localised_text_Att.HB.RA.Intro_04	Її падіння означатиме кінець римського панування на півострові.	true
scripted_subtitles_localised_text_Att.HB.SA.Intro_04	Загони сасанідських стрільців виснажували і деморалізували його війська безперервними ударами.	true
scripted_subtitles_localised_text_Att.HB.CA.Intro_05	Зазнавши поразки при Карфагені, римляни втратять надію повернути собі Африку.	true
scripted_subtitles_localised_text_Att.HB.DA.Intro_05	Зараз Велісарій зміцнює місто Дара біля перської кордону. Туди прямує армія Сасанідів під командуванням Пероза.	true
scripted_subtitles_localised_text_Att.HB.SA.Intro_05	Зараз перси готуються дати бій при Самаррі в надії покласти край війні.	true
scripted_subtitles_localised_text_Att.HB.DA.Intro_06	Готуючись до зустрічі з переважаючим противником, римляни вирили рів перед міськими стінами.	true
scripted_subtitles_localised_text_Att.HB.DA.Intro_07	Пероз відправив до Велісарія гінця, наказавши приготувати лазню до його приходу.	true
scripted_subtitles_localised_text_Att.HB.CA.Intro_01	13 травня 461 р.	true
scripted_subtitles_localised_text_Att.HB.DA.Intro_01	530 р.	true
scripted_subtitles_localised_text_Att.HB.RA.Intro_01	2 вересня 476 р.	true
scripted_subtitles_localised_text_Att.HB.SA.Intro_01	26 червня 363 р.	true
