key	text	tooltip
#Loc;1;text/db/slots_gdp_values.loc		
slots_gdp_values_onscreen_name_port4	Порт	true
slots_gdp_values_onscreen_name_port5	Порт	true
slots_gdp_values_onscreen_name_port0	Порт	true
slots_gdp_values_onscreen_name_port1	Порт	true
slots_gdp_values_onscreen_name_port2	Порт	true
slots_gdp_values_onscreen_name_port3	Містечко	true
slots_gdp_values_onscreen_name_settlement4	Містечко	true
slots_gdp_values_onscreen_name_settlement5	Містечко	true
slots_gdp_values_onscreen_name_settlement2	Містечко	true
slots_gdp_values_onscreen_name_settlement3	Містечко	true
slots_gdp_values_onscreen_name_settlement1	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses5	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses4	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses3	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses2	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses1	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses0	Horses	true
slots_gdp_values_onscreen_name_rice4	Родючий ґрунт	true
slots_gdp_values_onscreen_name_rice5	Дуже родючий ґрунт	true
slots_gdp_values_onscreen_name_rice2	Бідний ґрунт	true
slots_gdp_values_onscreen_name_rice3	Звичайний ґрунт	true
slots_gdp_values_onscreen_name_rice0	Звичайний ґрунт	true
slots_gdp_values_onscreen_name_rice1	Мертвий ґрунт	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition3	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition2	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition1	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition0	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition5	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition4	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone3	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone2	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone1	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone0	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone5	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone4	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition5	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition4	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition3	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition2	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition1	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition0	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing3	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing2	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing1	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing0	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing5	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing4	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja4	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja5	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja2	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja3	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja0	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja1	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans2	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans3	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans0	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans1	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans4	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans5	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining4	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining5	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining0	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining1	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining2	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining3	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining4	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining5	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining2	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining3	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining0	Gold	true
