key	text	tooltip
#Loc;1;text/db/special_ability_phases.loc		
special_ability_phases_onscreen_name_chant	Натхнення	true
special_ability_phases_onscreen_name_att_form_wedge	Клин	true
special_ability_phases_onscreen_name_beehive	Вулик	true
special_ability_phases_onscreen_name_com_fear	Страх	true
special_ability_phases_onscreen_name_frenzied_charge	Несамовитість	true
special_ability_phases_onscreen_name_com_raise_banner	Вище стяг	true
special_ability_phases_onscreen_name_inspire	Натхнення	true
special_ability_phases_onscreen_name_heavy_infantry_charge_1	Натиск	true
special_ability_phases_onscreen_name_mk_focus_fire	Зосереджена стрільба	true
special_ability_phases_onscreen_name_att_form_diamond	Шикування ромбом	true
special_ability_phases_onscreen_name_att_gen_inspire_03	Натхнення	true
special_ability_phases_onscreen_name_att_gen_inspire_02	Натхнення	true
special_ability_phases_onscreen_name_att_gen_inspire_01	Натхнення	true
special_ability_phases_onscreen_name_att_gen_inspire_05	Натхнення	true
special_ability_phases_onscreen_name_att_gen_inspire_04	Натхнення	true
special_ability_phases_onscreen_name_fire_projectiles	Вогняні снаряди	true
special_ability_phases_onscreen_name_form_attacking_testudo	Щити напоготові	true
special_ability_phases_onscreen_name_prevent_special_ability	Придушення умінь	true
special_ability_phases_onscreen_name_mk_oared_ship	Галера	true
special_ability_phases_onscreen_name_form_defensive_testudo	Щити напоготові	true
special_ability_phases_onscreen_name_spec_far_shot	Дальний постріл	true
special_ability_phases_onscreen_name_raise_shields_1	Підняти щити	true
special_ability_phases_onscreen_name_form_spear_wall	Щити напоготові	true
special_ability_phases_onscreen_name_com_push	Удар	true
special_ability_phases_onscreen_name_screech	Переляк	true
special_ability_phases_onscreen_name_com_second_wind	Друге дихання	true
special_ability_phases_onscreen_name_rapid_advance_1	Стрімкий наступ	true
special_ability_phases_onscreen_name_mk_fatigue_4_excellent	Відмінна витримка	true
special_ability_phases_onscreen_name_slavic_attack	Гнів слов'ян	true
special_ability_phases_onscreen_name_form_shield_wall	Щити напоготові	true
special_ability_phases_onscreen_name_mk_sailing_ship	Вітрильне судно	true
special_ability_phases_onscreen_name_slavs_form_square_end	Останній рубіж	true
special_ability_phases_onscreen_name_morale_v_high	Бойовий дух	true
special_ability_phases_onscreen_name_aquila_1	Аквіла	true
special_ability_phases_onscreen_name_slav_poison_weapon_heavy	Сильна отрута	true
special_ability_phases_onscreen_name_MKTW_greek_fire	Грецький вогонь	true
special_ability_phases_onscreen_name_MKTW_quicklime	Негашене вапно	true
special_ability_phases_onscreen_name_stress_1	Напруга	true
special_ability_phases_onscreen_name_stress_2	Напруга	true
special_ability_phases_onscreen_name_replenish_ammo	Поповнити боєзапас	true
special_ability_phases_onscreen_name_precision_shot_1	Влучний постріл	true
special_ability_phases_onscreen_name_att_gen_presence_04	Натхнення	true
special_ability_phases_onscreen_name_att_gen_presence_05	Натхнення	true
special_ability_phases_onscreen_name_att_gen_presence_02	Натхнення	true
special_ability_phases_onscreen_name_att_gen_presence_03	Натхнення	true
special_ability_phases_onscreen_name_att_gen_presence_01	Натхнення	true
special_ability_phases_onscreen_name_MKTW_gun	Знаряддя	true
special_ability_phases_onscreen_name_normal_charge_1	Натиск	true
special_ability_phases_onscreen_name_replenish_ammo_01	Поповнити боєзапас	true
special_ability_phases_onscreen_name_Make_it_Count_1	Покажіть їм	true
special_ability_phases_onscreen_name_frenzy_2	Несамовитість	true
special_ability_phases_onscreen_name_frenzy_1	Несамовитість	true
special_ability_phases_onscreen_name_mk_fatigue_3_good	Добра витримка	true
special_ability_phases_onscreen_name_quick_march_2	Швидкий марш	true
special_ability_phases_onscreen_name_quick_march_1	Швидкий марш	true
special_ability_phases_onscreen_name_att_gen_second_01	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_03	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_02	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_05	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_04	Друге дихання	true
special_ability_phases_onscreen_name_mk_fatigue_1_poor	Слабка витримка	true
special_ability_phases_onscreen_name_com_relentless	Невблаганність	true
special_ability_phases_onscreen_name_com_force_concentration	Зосередження сил	true
special_ability_phases_onscreen_name_conveterani_1	Бойове братерство	true
