key	text	tooltip
#Loc;1;text/db/start_pos_regions.loc		
start_pos_regions_long_description_att_reg_tripolitana_macomadesmain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_syria_tyruspro_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_baetica_malacamain_attila	placeholder	true
start_pos_regions_long_description_att_reg_asorstan_arbelamain_attila	placeholder	true
start_pos_regions_rebel_faction_name_cha_reg_marca_inferior_coimbracha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_eastphalia_halberstadtcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_obodrites_havelbergcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_aquitania_burdigalamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_africa_hadrumentummain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_croatia_ptujcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_libya_augilamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_spahan_susamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_frisia_ghentcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_septimania_toulousecha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_apulia_et_calabria_tarentumbel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_aquitania_burdigalapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_makran_phramain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_france_parischa_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_sarmatia_asiatica_samandarmain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_osroene_nisibispro_attila	placeholder	true
start_pos_regions_rebel_faction_name_cha_reg_wilzi_cottbuscha_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_dalmatia_domaviapro_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_spahan_issatispro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_tarraconensis_caesaraugustapro_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_cilicia_iconiumpro_attila	placeholder	true
start_pos_regions_rebel_faction_name_bel_reg_italia_reatebel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_arabia_felix_eudaemonmain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_lugdunensis_rotomagusmain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_britannia_inferior_segontiummain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_media_atropatene_rhagapro_attila	placeholder	true
start_pos_regions_rebel_faction_name_bel_reg_flaminia_et_picenum_bononiabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_lugdunensis_lugdunumpro_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_liguria_segusiopro_attila	placeholder	true
start_pos_regions_long_description_att_reg_venetia_ravennapro_attila	placeholder	true
start_pos_regions_rebel_faction_name_bel_reg_carthaginensis_carthago_novabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_macedonia_dyrrhachiumpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_mauretania_tamousigapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_raetia_et_noricum_augusta_vindelicorumpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_britannia_superior_camulodunonpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_apulia_et_calabria_sipontumbel_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_thracia_marcianopolismain_attila	placeholder	true
start_pos_regions_long_description_att_reg_osroene_edessapro_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_cappadocia_trapezusmain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_northumbria_bamburghcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_mercia_chestercha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_syria_tyrusmain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_maxima_sequanorum_octodurusmain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_transcarpathia_belzpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_carthaginensis_ilicibel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_macedonia_corinthuspro_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_scandza_alabumain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_dacia_apulumpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_persis_sirafpro_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_phazania_garamamain_attila	placeholder	true
start_pos_regions_long_description_att_reg_dardania_serdicapro_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_maxima_sequanorum_octoduruspro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_apulia_et_calabria_hydruntumbel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_mauretania_sitifensis_tipasabel_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_cilicia_tarsuspro_attila	placeholder	true
start_pos_regions_long_description_att_reg_tarraconensis_pompaelopro_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_scandza_hafnpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_frisia_utrechtcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_friuli_veneziacha_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_germano_sarmatia_oiummain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_italia_romamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_transcaspia_siahkuhmain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_osroene_edessamain_attila	placeholder	true
start_pos_regions_long_description_att_reg_sarmatia_europaea_olbiamain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_mediterraneus_occidentalis_caralismain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_venetia_veronapro_attila	placeholder	true
start_pos_regions_long_description_att_reg_dacia_romulamain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_persis_stakhrmain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_mauretania_sitifensis_cirtabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_spahan_susapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_britannia_superior_londiniumpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_zeugitana_bulla_regiabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_mediterraneus_orientalis_constantiapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_gallaecia_brigantiummain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_palaestinea_aelia_capitolinamain_attila	placeholder	true
start_pos_regions_long_description_att_reg_scythia_saraimain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_britannia_inferior_eboracummain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_praeualitana_docleabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_mauretania_tingitana_tingisbel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_france_tourscha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_dacia_apulummain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_armenia_tosppro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_frisia_flevummain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_britannia_superior_londiniummain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_italia_cosabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_britannia_inferior_segontiumpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_gallaecia_brigantiumpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_cappadocia_melitenemain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_asorstan_meshanmain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_mauretania_caesareapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_italia_romapro_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_liguria_genuamain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_britannia_inferior_eboracumpro_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_macedonia_dyrrhachiummain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_tarraconensis_tarracopro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_east_neustria_reimscha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_tripolitana_sabratamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_flaminia_et_picenum_ravennabel_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_magna_graecia_tarentumpro_attila	placeholder	true
start_pos_regions_rebel_faction_name_bel_reg_tuscia_et_umbria_pisaebel_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_cilicia_tarsusmain_attila	placeholder	true
start_pos_regions_rebel_faction_name_cha_reg_gascony_agencha_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_dardania_scupipro_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_bithynia_nicomediamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_palaestinea_aelia_capitolinapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_wilzi_lipskcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_franconia_frankfurtcha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_asorstan_ctesiphonmain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_mediterraneus_orientalis_rhodesmain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_syria_emesamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_marca_inferior_bragacha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_franconia_hallstadtcha_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_tarraconensis_tarracopro_attila	placeholder	true
start_pos_regions_rebel_faction_name_bel_reg_tarraconensis_caesaraugustabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_khwarasan_abarshahrmain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_dalmatia_sisciamain_attila	placeholder	true
start_pos_regions_long_description_att_reg_mediterraneus_orientalis_gortynapro_attila	placeholder	true
start_pos_regions_rebel_faction_name_cha_reg_france_chatrescha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_makran_purapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_makran_phrapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_cappadocia_trapezuspro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_benevento_beneventocha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_tarraconensis_caesaraugustamain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_britannia_superior_londiniummain_attila	placeholder	true
start_pos_regions_long_description_att_reg_germania_uburzispro_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_aethiopia_pachorasmain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_dacia_apulummain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_palaestinea_aelia_capitolinamain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_hyperborea_kariskosmain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_macedonia_thessalonicapro_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_maxima_sequanorum_argentoratumpro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_syria_emesapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_aquitania_avaricummain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_mauretania_sitifensis_sitifisbel_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_gallaecia_brigantiummain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_macedonia_corinthusmain_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_mauretania_caesareamain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_baetica_cordubapro_attila	placeholder	true
start_pos_regions_long_description_att_reg_pannonia_sirmiumpro_attila	placeholder	true
start_pos_regions_long_description_att_reg_caucasia_gabalamain_attila	placeholder	true
start_pos_regions_long_description_att_reg_caucasia_kotaismain_attila	placeholder	true
start_pos_regions_long_description_att_reg_germano_sarmatia_dunamain_attila	placeholder	true
start_pos_regions_rebel_faction_name_att_reg_carthaginensis_carthago_novapro_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_sardinia_et_corsica_caralisbel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_dacia_romulamain_attila	Бунтівники	true
start_pos_regions_long_description_att_reg_bithynia_ancyramain_attila	placeholder	true
start_pos_regions_rebel_faction_name_cha_reg_west_aquitaine_bourgescha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_cha_reg_mercia_lincolncha_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_bel_reg_picenum_suburbicarium_anconabel_attila	Бунтівники	true
start_pos_regions_rebel_faction_name_att_reg_africa_constantinamain_attila	Бунтівники	true
