key	text	tooltip
#Loc;1;text/db/technology_node_sets.loc		
technology_node_sets_encyclopaedia_string_att_nomadic_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_eastern_civil	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_civil_lakhmid	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_nomad_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_bel_roman_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_barb_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_barb_military	PLACEHOLDER	true
technology_node_sets_localised_name_cha_frank_civil	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_lakhmid	PLACEHOLDER	true
technology_node_sets_localised_name_att_roman_civil	PLACEHOLDER	true
technology_node_sets_localised_name_cha_muslim_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_barbarian_civil	PLACEHOLDER	true
technology_node_sets_localised_name_cha_christ_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_eastern_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_christ_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_english_civil	PLACEHOLDER	true
technology_node_sets_localised_name_bel_other_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_civil_tanukhid	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_nomad_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_himyar	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_muslim_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_roman_civil_wes	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_celtic_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_frank_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_roman_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_roman_civil_eas	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_civil_himyar	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_civil_lakhmid	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_eastern_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_lakhmid	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_himyar	PLACEHOLDER	true
technology_node_sets_localised_name_bel_roman_civil	PLACEHOLDER	true
technology_node_sets_localised_name_cha_barb_military	PLACEHOLDER	true
technology_node_sets_localised_name_cha_celtic_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_civil_tanukhid	PLACEHOLDER	true
technology_node_sets_localised_name_att_barbarian_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_eastern_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_bel_other_civil	PLACEHOLDER	true
technology_node_sets_localised_name_cha_nomad_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_nomad_military	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_axum	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_christ_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_bel_other_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_axum	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_muslim_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_bel_roman_military	PLACEHOLDER	true
technology_node_sets_localised_name_mk_nomad_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_roman_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_english_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_barbarian_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_tanukhid	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_celtic_civil	PLACEHOLDER	true
technology_node_sets_localised_name_att_eastern_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_barb_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_civil_himyar	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_nomadic_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_barbarian_civil	PLACEHOLDER	true
technology_node_sets_localised_name_cha_english_civil	PLACEHOLDER	true
technology_node_sets_localised_name_mk_eastern_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_frank_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_nomad_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_nomad_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_muslim_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_christ_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_lakhmid	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_eastern_civil	PLACEHOLDER	true
technology_node_sets_localised_name_cha_barb_civil	PLACEHOLDER	true
technology_node_sets_localised_name_att_nomadic_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_celtic_civil	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_civil_tanukhid	PLACEHOLDER	true
technology_node_sets_localised_name_mk_nomad_civil	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_himyar	PLACEHOLDER	true
technology_node_sets_localised_name_cha_christ_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_roman_military_wes	PLACEHOLDER	true
technology_node_sets_localised_name_mk_barbarian_civil	PLACEHOLDER	true
technology_node_sets_localised_name_mk_eastern_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_nomad_military	PLACEHOLDER	true
technology_node_sets_localised_name_cha_muslim_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_roman_military_eas	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_frank_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_bel_other_civil	PLACEHOLDER	true
technology_node_sets_localised_name_mk_barbarian_military	PLACEHOLDER	true
technology_node_sets_localised_name_att_nomadic_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_civil_lakhmid	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_roman_civil	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_civil_axum	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_frank_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_celtic_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_nomad_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_muslim_military	PLACEHOLDER	true
technology_node_sets_localised_name_mk_roman_military_wes	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_barbarian_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_tanukhid	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_christ_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_bel_other_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_barbarian_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_axum	PLACEHOLDER	true
technology_node_sets_tooltip_string_bel_roman_military	PLACEHOLDER	true
technology_node_sets_localised_name_mk_roman_military_eas	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_roman_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_eastern_military	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_garamantes	PLACEHOLDER	true
technology_node_sets_localised_name_cha_celtic_military	PLACEHOLDER	true
technology_node_sets_localised_name_mk_roman_civil_wes	PLACEHOLDER	true
technology_node_sets_localised_name_att_eastern_military	PLACEHOLDER	true
technology_node_sets_localised_name_cha_english_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_bel_roman_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_garamantes_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_civil_himyar	PLACEHOLDER	true
technology_node_sets_localised_name_mk_roman_civil_eas	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_roman_civil_eas	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_nomadic_military	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_garamantes_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_roman_civil_wes	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_civil_axum	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_garamantes	PLACEHOLDER	true
technology_node_sets_localised_name_att_roman_military	PLACEHOLDER	true
technology_node_sets_localised_name_bel_roman_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_roman_military_eas	PLACEHOLDER	true
technology_node_sets_localised_name_bel_other_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_eastern_military	PLACEHOLDER	true
technology_node_sets_localised_name_att_sands_tanukhid	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_english_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_roman_military_wes	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_barbarian_civil	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_garamantes_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_sands_garamantes	PLACEHOLDER	true
technology_node_sets_tooltip_string_att_eastern_military	PLACEHOLDER	true
technology_node_sets_tooltip_string_cha_english_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_nomad_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_cha_barb_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_nomadic_military	PLACEHOLDER	true
technology_node_sets_localised_name_cha_frank_military	PLACEHOLDER	true
technology_node_sets_localised_name_att_barbarian_civil	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_mk_barbarian_military	PLACEHOLDER	true
technology_node_sets_encyclopaedia_string_att_sands_civil_axum	PLACEHOLDER	true
technology_node_sets_tooltip_string_mk_barbarian_civil	PLACEHOLDER	true
technology_node_sets_localised_name_cha_nomad_military	PLACEHOLDER	true
